,FIPS,Combined_Key,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20
0,01000_0,"Alabama Super-county, Cluster 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,7.0,5.0,6.0,6.0,7.0,6.0,22.0,49.0,58.0,21.0,48.0,32.0,37.0,26.0,31.0,86.0,111.0,42.0,39.0,77.0,70.0,60.0,202.0,95.0,96.0,159.0,90.0,89.0,45.0,126.0,100.0,92.0,73.0,116.0,117.0,147.0,87.0,98.0,0.0,185.0,58.0,96.0,63.0,99.0,110.0,153.0,153.0,110.0,198.0,122.0,187.0,180.0,139.0,120.0,159.0,164.0,85.0,178.0,132.0,137.0,30.0,144.0,159.0,310.0,99.0,176.0,195.0,173.0,218.0,347.0,171.0,209.0,256.0,154.0,279.0,126.0,108.0,36.0,74.0,153.0,316.0,184.0,182.0,197.0,241.0,401.0,400.0,462.0,507.0,317.0,293.0,215.0,422.0,364.0,226.0,169.0,178.0,296.0,454.0,530.0,443.0,384.0,151.0,588.0,313.0,363.0,607.0,689.0,402.0,350.0,362.0,354.0,486.0,780.0,516.0,602.0,581.0,729.0,785.0,765.0,803.0,762.0,829.0,694.0,791.0,583.0,543.0,857.0,645.0,762.0,405.0,780.0,441.0,579.0,841.0,704.0,467.0,707.0,441.0,393.0,343.0,675.0,558.0,619.0,417.0
1,01000_4,"Alabama Super-county, Cluster 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,5.0,2.0,6.0,1.0,7.0,6.0,18.0,15.0,15.0,13.0,12.0,10.0,14.0,5.0,24.0,33.0,29.0,33.0,39.0,28.0,14.0,35.0,45.0,36.0,40.0,27.0,30.0,8.0,36.0,14.0,33.0,31.0,31.0,21.0,31.0,25.0,21.0,0.0,43.0,25.0,13.0,16.0,9.0,7.0,28.0,34.0,14.0,27.0,30.0,43.0,40.0,29.0,36.0,40.0,20.0,20.0,32.0,19.0,38.0,4.0,27.0,30.0,58.0,11.0,21.0,34.0,34.0,46.0,70.0,37.0,42.0,37.0,28.0,57.0,28.0,9.0,7.0,19.0,25.0,39.0,49.0,54.0,46.0,61.0,85.0,85.0,79.0,108.0,69.0,67.0,46.0,103.0,113.0,81.0,49.0,64.0,102.0,129.0,153.0,146.0,136.0,44.0,276.0,143.0,102.0,153.0,322.0,138.0,121.0,144.0,190.0,211.0,381.0,200.0,231.0,229.0,286.0,211.0,308.0,328.0,358.0,340.0,317.0,314.0,278.0,217.0,469.0,274.0,397.0,187.0,309.0,227.0,242.0,321.0,378.0,179.0,314.0,157.0,163.0,181.0,271.0,242.0,403.0,132.0
2,01073,Jefferson - Alabama - US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,12.0,4.0,4.0,9.0,16.0,11.0,10.0,15.0,5.0,38.0,30.0,18.0,18.0,50.0,9.0,16.0,22.0,22.0,37.0,22.0,43.0,7.0,34.0,22.0,28.0,29.0,43.0,18.0,15.0,8.0,5.0,9.0,17.0,20.0,11.0,6.0,10.0,28.0,52.0,19.0,0.0,42.0,0.0,22.0,19.0,6.0,43.0,17.0,23.0,23.0,28.0,28.0,17.0,29.0,15.0,12.0,10.0,22.0,46.0,38.0,21.0,41.0,34.0,22.0,12.0,66.0,20.0,45.0,75.0,41.0,16.0,15.0,28.0,39.0,32.0,36.0,57.0,22.0,23.0,2.0,17.0,26.0,53.0,59.0,39.0,53.0,56.0,63.0,89.0,71.0,65.0,62.0,62.0,48.0,61.0,83.0,68.0,84.0,82.0,75.0,87.0,145.0,149.0,122.0,79.0,371.0,157.0,177.0,145.0,270.0,142.0,277.0,189.0,76.0,201.0,343.0,189.0,214.0,313.0,266.0,174.0,263.0,360.0,296.0,295.0,240.0,261.0,187.0,187.0,277.0,257.0,286.0,163.0,162.0,143.0,127.0,249.0,255.0,271.0,185.0,209.0,180.0,147.0,300.0,257.0,226.0,140.0
3,01097,Mobile - Alabama - US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,4.0,8.0,5.0,6.0,11.0,4.0,8.0,4.0,11.0,36.0,11.0,11.0,18.0,58.0,48.0,60.0,49.0,50.0,46.0,14.0,41.0,39.0,29.0,44.0,16.0,24.0,19.0,34.0,42.0,54.0,35.0,0.0,72.0,25.0,52.0,39.0,25.0,41.0,73.0,26.0,24.0,43.0,46.0,44.0,52.0,45.0,9.0,13.0,33.0,38.0,63.0,45.0,28.0,20.0,34.0,16.0,71.0,48.0,46.0,57.0,23.0,37.0,21.0,31.0,39.0,38.0,29.0,48.0,32.0,12.0,1.0,37.0,20.0,36.0,56.0,28.0,26.0,58.0,48.0,30.0,37.0,37.0,26.0,48.0,17.0,46.0,65.0,33.0,62.0,20.0,38.0,112.0,55.0,52.0,91.0,56.0,119.0,97.0,63.0,100.0,107.0,101.0,75.0,49.0,90.0,96.0,103.0,207.0,128.0,151.0,157.0,145.0,143.0,165.0,199.0,186.0,118.0,133.0,129.0,164.0,354.0,104.0,195.0,97.0,168.0,134.0,188.0,196.0,205.0,382.0,532.0,88.0,84.0,99.0,151.0,145.0,271.0,111.0
4,01101,Montgomery - Alabama - US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,4.0,4.0,1.0,0.0,3.0,1.0,7.0,6.0,10.0,14.0,3.0,5.0,4.0,3.0,3.0,11.0,4.0,10.0,17.0,16.0,26.0,13.0,23.0,10.0,8.0,11.0,5.0,14.0,8.0,10.0,11.0,0.0,15.0,3.0,10.0,14.0,21.0,18.0,24.0,30.0,29.0,18.0,21.0,38.0,18.0,43.0,32.0,34.0,42.0,21.0,48.0,34.0,29.0,7.0,40.0,44.0,87.0,34.0,68.0,45.0,45.0,88.0,110.0,62.0,95.0,49.0,42.0,78.0,48.0,44.0,21.0,35.0,47.0,88.0,61.0,74.0,93.0,69.0,146.0,107.0,101.0,147.0,80.0,51.0,34.0,103.0,47.0,73.0,36.0,39.0,53.0,87.0,73.0,54.0,55.0,6.0,145.0,61.0,51.0,36.0,72.0,74.0,106.0,31.0,88.0,29.0,64.0,58.0,33.0,117.0,52.0,91.0,42.0,74.0,49.0,130.0,72.0,121.0,66.0,85.0,100.0,93.0,82.0,38.0,126.0,70.0,47.0,72.0,90.0,46.0,105.0,51.0,56.0,45.0,99.0,72.0,88.0,226.0
5,01123,Tallapoosa - Alabama - US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,4.0,1.0,4.0,2.0,1.0,9.0,1.0,3.0,2.0,10.0,8.0,8.0,37.0,3.0,22.0,4.0,31.0,2.0,19.0,16.0,0.0,35.0,14.0,12.0,7.0,0.0,13.0,1.0,4.0,3.0,3.0,1.0,4.0,5.0,3.0,5.0,1.0,10.0,1.0,1.0,7.0,5.0,2.0,8.0,7.0,6.0,6.0,1.0,8.0,5.0,8.0,5.0,3.0,5.0,4.0,4.0,8.0,2.0,8.0,4.0,1.0,4.0,0.0,4.0,1.0,2.0,1.0,4.0,3.0,4.0,2.0,3.0,3.0,1.0,6.0,6.0,6.0,1.0,8.0,16.0,8.0,0.0,4.0,3.0,5.0,6.0,10.0,0.0,5.0,4.0,13.0,4.0,3.0,9.0,11.0,5.0,3.0,14.0,0.0,2.0,10.0,9.0,3.0,2.0,0.0,16.0,16.0,10.0,6.0,12.0,6.0,11.0,10.0,7.0,9.0,14.0,7.0,7.0,8.0,1.0,1.0,10.0,17.0,3.0,3.0,10.0,8.0,5.0,14.0,8.0,5.0,1.0
6,01125,Tuscaloosa - Alabama - US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,5.0,4.0,2.0,1.0,1.0,1.0,5.0,1.0,4.0,7.0,2.0,1.0,29.0,4.0,6.0,2.0,6.0,8.0,20.0,2.0,1.0,6.0,4.0,20.0,0.0,4.0,8.0,5.0,7.0,8.0,9.0,0.0,10.0,3.0,4.0,3.0,6.0,2.0,6.0,2.0,19.0,6.0,5.0,11.0,10.0,5.0,4.0,6.0,7.0,11.0,17.0,13.0,13.0,0.0,23.0,19.0,44.0,15.0,18.0,15.0,26.0,53.0,49.0,25.0,46.0,42.0,18.0,45.0,16.0,17.0,6.0,14.0,17.0,43.0,19.0,21.0,40.0,33.0,61.0,86.0,83.0,52.0,51.0,63.0,13.0,49.0,59.0,18.0,37.0,23.0,33.0,28.0,74.0,56.0,44.0,6.0,80.0,39.0,85.0,58.0,81.0,38.0,62.0,33.0,25.0,36.0,162.0,42.0,46.0,58.0,53.0,34.0,60.0,94.0,63.0,74.0,84.0,63.0,33.0,34.0,46.0,83.0,95.0,30.0,100.0,39.0,19.0,61.0,50.0,46.0,61.0,62.0,10.0,18.0,55.0,46.0,87.0,23.0
7,01127,Walker - Alabama - US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,8.0,6.0,5.0,2.0,0.0,2.0,0.0,2.0,14.0,1.0,0.0,5.0,9.0,2.0,4.0,3.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,3.0,1.0,5.0,3.0,7.0,0.0,13.0,9.0,16.0,4.0,11.0,12.0,7.0,41.0,33.0,10.0,17.0,31.0,14.0,10.0,16.0,8.0,3.0,5.0,11.0,36.0,19.0,8.0,7.0,14.0,19.0,23.0,17.0,28.0,10.0,33.0,5.0,26.0,22.0,5.0,14.0,12.0,17.0,19.0,20.0,12.0,17.0,6.0,41.0,16.0,24.0,4.0,34.0,9.0,25.0,39.0,7.0,33.0,33.0,5.0,5.0,14.0,38.0,13.0,9.0,25.0,42.0,24.0,11.0,20.0,1.0,13.0,22.0,45.0,18.0,8.0,34.0,9.0,0.0,13.0,21.0,9.0,7.0,13.0,4.0,5.0,19.0,4.0,18.0,6.0
8,04001,Apache - Arizona - US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,2.0,2.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,3.0,6.0,18.0,3.0,11.0,6.0,17.0,8.0,13.0,8.0,23.0,28.0,9.0,24.0,24.0,9.0,33.0,28.0,18.0,22.0,26.0,18.0,12.0,57.0,29.0,29.0,19.0,23.0,27.0,36.0,18.0,41.0,39.0,6.0,11.0,17.0,73.0,42.0,68.0,35.0,19.0,7.0,35.0,57.0,41.0,18.0,5.0,47.0,0.0,23.0,36.0,40.0,124.0,77.0,33.0,2.0,43.0,17.0,51.0,19.0,36.0,35.0,5.0,15.0,64.0,76.0,40.0,40.0,5.0,3.0,21.0,2.0,61.0,44.0,13.0,1.0,4.0,44.0,29.0,41.0,15.0,0.0,53.0,6.0,28.0,44.0,24.0,13.0,5.0,16.0,2.0,30.0,28.0,21.0,14.0,17.0,28.0,1.0,31.0,33.0,14.0,33.0,44.0,6.0,0.0,39.0,18.0,44.0,29.0,38.0,12.0,10.0,15.0,5.0,19.0,25.0,60.0,10.0,20.0,14.0,21.0,0.0,32.0,4.0,38.0
9,04003,Cochise - Arizona - US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,1.0,0.0,5.0,0.0,4.0,0.0,5.0,2.0,2.0,13.0,5.0,11.0,15.0,2.0,19.0,8.0,7.0,11.0,4.0,7.0,28.0,10.0,5.0,20.0,7.0,19.0,65.0,30.0,1.0,9.0,60.0,9.0,27.0,41.0,29.0,23.0,19.0,34.0,43.0,21.0,32.0,30.0,51.0,35.0,29.0,29.0,21.0,75.0,40.0,29.0,13.0,33.0,36.0,9.0,46.0,31.0,41.0,2.0,27.0,9.0,15.0,8.0,44.0,25.0,11.0,23.0,20.0,25.0,36.0,20.0,13.0,21.0,0.0,6.0,5.0,8.0,27.0,3.0
