FIPS;Combined_Key;2/3/2020;2/4/2020;2/5/2020;2/6/2020;2/7/2020;2/8/2020;2/9/2020;2/10/2020;2/11/2020;2/12/2020;2/13/2020;2/14/2020;2/15/2020;2/16/2020;2/17/2020;2/18/2020;2/19/2020;2/20/2020;2/21/2020;2/22/2020;2/23/2020;2/24/2020;2/25/2020;2/26/2020;2/27/2020;2/28/2020;2/29/2020;3/1/2020;3/2/2020;3/3/2020;3/4/2020;3/5/2020;3/6/2020;3/7/2020;3/8/2020;3/9/2020;3/10/2020;3/11/2020;3/12/2020;3/13/2020;3/14/2020;3/15/2020;3/16/2020;3/17/2020;3/18/2020;3/19/2020;3/20/2020;3/21/2020;3/22/2020;3/23/2020;3/24/2020;3/25/2020;3/26/2020;3/27/2020;3/28/2020;3/29/2020;3/30/2020;3/31/2020;4/1/2020;4/2/2020;4/3/2020;4/4/2020;4/5/2020;4/6/2020;4/7/2020
1000.0;AL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2236696434677060;2236696434677060;2236696434677060;2236696434677060;2236696434677060;2236696434677060;2236696434677060;2236696434677060;2236696434677060;2236696434677060;2236696434677060;2236696434677060;2236696434677060;2236696434677060;21787378058523800;21787378058523800;21787378058523800;20923065438933100;20923065438933100;20923065438933100;2024108418165650;1956394015974560;1956394015974560;1956394015974560;1956394015974560;1956394015974560;1956394015974560;17302754072362000;17302754072362000;17302754072362000;17302754072362000;17302754072362000;17302754072362000;17302754072362000;17302754072362000;17302754072362000;17302754072362000;17302754072362000;17302754072362000;17302754072362000
2000.0;AK;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4000.0;AZ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2315552073371580;2315552073371580;2315552073371580;2315552073371580;2315552073371580;2315552073371580;2315552073371580;2315552073371580;2315552073371580;2315552073371580;2315552073371580;2315552073371580;2315552073371580;2315552073371580;2315552073371580;2315552073371580;2315552073371580;2315552073371580;2315552073371580;22229079495716000;22229079495716000;22229079495716000;22229079495716000;2148211516009170;2148211516009170;2148211516009170;2148211516009170;2148211516009170;2148211516009170;2148211516009170;2148211516009170;2148211516009170;2148211516009170;2148211516009170;1802202096501820;1802202096501820;1802202096501820;1802202096501820;1802202096501820;1802202096501820;1802202096501820;1802202096501820
5000.0;AR;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6000.0;CA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2500364767780630;2500364767780630;2500364767780630;2500364767780630;2500364767780630;2500364767780630;2500364767780630;2500364767780630;2500364767780630;2500364767780630;2500364767780630;2500364767780630;2500364767780630;2500364767780630;2500364767780630;2500364767780630;2500364767780630;2500364767780630;2500364767780630;2500364767780630;2500364767780630;2500364767780630;2500364767780630;2500364767780630;2500364767780630;2500364767780630;2500364767780630;2500364767780630;2314798879799460;2314798879799460;2314798879799460;2314798879799460;185192035554683;185192035554683;185192035554683;185192035554683;185192035554683;185192035554683;185192035554683;185192035554683;185192035554683;185192035554683;185192035554683;185192035554683;185192035554683;185192035554683;185192035554683;185192035554683;185192035554683;185192035554683;185192035554683;185192035554683
8000.0;CO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25166949698278800;25166949698278800;25166949698278800;25166949698278800;25166949698278800;25166949698278800;25166949698278800;25166949698278800;25166949698278800;25166949698278800;25166949698278800;25166949698278800;25166949698278800;25166949698278800;25166949698278800;25166949698278800;25166949698278800;25166949698278800;2450241914420240;2450241914420240;2450241914420240;2450241914420240;2347586761346510;2347586761346510;2347586761346510;22687031766716800;22687031766716800;22687031766716800;21789188301098700;21055763355690700;21055763355690700;18684171551460100;18684171551460100;18684171551460100;18684171551460100;18684171551460100;18684171551460100;18684171551460100;18684171551460100;18684171551460100;18684171551460100;18684171551460100;18684171551460100;18684171551460100
9000.0;CT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;28267771819056900;28267771819056900;28267771819056900;28267771819056900;28267771819056900;28267771819056900;28267771819056900;28267771819056900;28267771819056900;28267771819056900;28267771819056900;28267771819056900;28267771819056900;28267771819056900;28267771819056900;28267771819056900;28267771819056900;28267771819056900;28267771819056900;28267771819056900;28267771819056900;28267771819056900;28267771819056900;26168019138010300;2507655246835110;2507655246835110;2507655246835110;2507655246835110;2507655246835110;2507655246835110;2092165037410410;2092165037410410;2092165037410410;2092165037410410;2092165037410410;2092165037410410;2092165037410410;2092165037410410;2092165037410410;2092165037410410;2092165037410410;2092165037410410;2092165037410410;2092165037410410;2092165037410410;2092165037410410
10000.0;DE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2259119305346520;2259119305346520;2259119305346520;2259119305346520;2259119305346520;2259119305346520;2259119305346520;2259119305346520;2259119305346520;2259119305346520;2093407025892880;2093407025892880;2093407025892880;2093407025892880;2004781977283820;2004781977283820;2004781977283820;2004781977283820;2004781977283820;2004781977283820;2004781977283820;2004781977283820;16692340757369900;16692340757369900;16692340757369900;16692340757369900;16692340757369900;16692340757369900;16692340757369900;16692340757369900;16692340757369900;16692340757369900;16692340757369900;16692340757369900;16692340757369900;16692340757369900;16692340757369900
11000.0;DC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2440230186553380;2440230186553380;2440230186553380;2440230186553380;2440230186553380;2440230186553380;2440230186553380;2440230186553380;2440230186553380;2440230186553380;2440230186553380;2440230186553380;2440230186553380;21689895420542000;21689895420542000;21689895420542000;21689895420542000;21689895420542000;21689895420542000;21689895420542000;21689895420542000;21689895420542000;2043119041823090;2043119041823090;2043119041823090;2043119041823090;2043119041823090;2043119041823090;2043119041823090;18150380392764300;18150380392764300;18150380392764300;18150380392764300;18150380392764300;18150380392764300;18150380392764300
12000.0;FL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2716354548111760;2716354548111760;2716354548111760;2716354548111760;2716354548111760;2716354548111760;2716354548111760;2716354548111760;2716354548111760;2716354548111760;2716354548111760;2716354548111760;2716354548111760;2716354548111760;2716354548111760;2716354548111760;2716354548111760;2716354548111760;2716354548111760;2716354548111760;2716354548111760;2716354548111760;2716354548111760;2716354548111760;2716354548111760;26061839776117100;24537234386807000;24537234386807000;24537234386807000;22702787623869600;22702787623869600;22702787623869600;22702787623869600;22702787623869600;22702787623869600;22702787623869600;22702787623869600;22702787623869600;22702787623869600;2010933664836990;2010933664836990;2010933664836990;2010933664836990;2010933664836990;2010933664836990;2010933664836990;2010933664836990;2010933664836990
