FIPS,County,State,Not_enough_data,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
01001,Autauga County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.953,,,,,,,,,,,,,,
01003,Baldwin County,Alabama,False,91.784,12.423,34.267,37.666,38.616,66.253,109.233,53.257,26.969,36.759,5.999,25.071,63.467,67.792,71.671,44.242,60.124,62.333,64.84,105.262,92.341,84.135,48.484,57.32,57.666,31.411,8.048,-25.451,-13.599,-27.274,-20.562,-13.001,-21.615,-6.193,-32.433,-27.197,-36.668,-46.419,-26.668000000000006,-33.719,-23.221,-42.118,-44.19300000000001
01005,Barbour County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01007,Bibb County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01009,Blount County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01011,Bullock County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01013,Butler County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01015,Calhoun County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,-21.948,,,,,,,,,,,,,,,,,,,,,
01017,Chambers County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01019,Cherokee County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01021,Chilton County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01023,Choctaw County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01025,Clarke County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01027,Clay County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01029,Cleburne County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01031,Coffee County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01033,Colbert County,Alabama,True,,-55.553,-28.568,,-30.229,-34.881,,,-42.217,,,-23.252,-32.555,,,-31.108,-19.044,,-16.275,-16.275,,,-48.885,-33.33,,-34.881,-55.81100000000001,,,-53.33,-52.378,,-13.954,,,,-48.885,-47.61600000000001,,-25.578000000000007,-23.252,,
01035,Conecuh County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01037,Coosa County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01039,Covington County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01041,Crenshaw County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01043,Cullman County,Alabama,True,3.225,-20.372,,-1.888,1.639,19.047,65.516,69.354,-11.112,,1.886,-11.477,14.285,,,,,16.98,32.786,15.872,,-8.065,9.258,,28.301,29.508000000000006,9.523,41.379,58.06399999999999,-11.112,,,,85.71799999999998,,,37.036,9.999,28.301,36.064,63.49100000000001,,
01045,Dale County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01047,Dallas County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01049,DeKalb County,Alabama,True,,,,,,,,35.84900000000001,,,,,,,,,,,,,,-3.769,,,,,,,9.439,,,,,,,,,,,,,,
01051,Elmore County,Alabama,True,5.6629999999999985,-26.527,,,,,,26.419,-2.0380000000000003,,,4.259,,,35.855,,,,,37.503,64.41,,14.29,,,,25.003,49.15600000000001,-11.317,0.003,,,,50.003,,,,-0.0,,,42.861,45.76600000000001,30.192
01053,Escambia County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01055,Etowah County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,-21.156,,,,,,,-17.305999999999994,,,,,,,19.227,,,,,,,
01057,Fayette County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01059,Franklin County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01061,Geneva County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01063,Greene County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01065,Hale County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01067,Henry County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01069,Houston County,Alabama,True,,,,,,,,,,,,-25.583,,45.61600000000001,,,,,,,,,,,,,,14.034,,,,,,,22.808000000000003,,,,,,,5.26,2.081
01071,Jackson County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
