,FIPS,x,y,cluster
0,01001,3.4132616200942575e-06,2.4541713335533673e-06,4
1,01003,9.682626032419536e-07,4.4324442776110205e-07,2
2,01005,7.375649064588638e-06,1.0964937768381007e-05,4
3,01007,7.665019132653061e-06,8.769132653061225e-06,4
4,01009,3.965666243885455e-06,2.2499110437722033e-06,4
5,01011,1.5392242800001138e-05,3.512389159797984e-05,4
6,01013,8.83289130147399e-06,1.2215261253222288e-05,4
7,01015,2.0401658009229894e-06,1.6631145527998499e-06,2
8,01017,6.197519403698276e-06,5.470065319757111e-06,4
9,01019,7.99362488567803e-06,6.168239250901637e-06,4
10,01021,3.6660919003657948e-06,3.868709264384892e-06,4
11,01023,1.7290180431068397e-05,1.7017273339031188e-05,4
12,01025,7.349260634668517e-06,9.404606771736334e-06,4
13,01027,1.532126783491334e-05,1.2966332223250733e-05,4
14,01029,1.1210534283512336e-05,1.048928465923553e-05,4
15,01031,4.5206160039349525e-06,2.617511261452526e-06,4
16,01033,3.821097484261844e-06,2.4872646945727454e-06,4
17,01035,1.247970397744089e-05,1.976450725613844e-05,4
18,01037,2.111291818374031e-05,1.7184730848399188e-05,4
19,01039,6.277942087308841e-06,5.291805166514753e-06,4
20,01041,1.217144833997771e-05,1.3924429936664094e-05,4
21,01043,2.6655397398320955e-06,1.7127302870573706e-06,4
22,01045,5.0219262071453865e-06,3.23070576785699e-06,4
23,01047,5.502651472644034e-06,8.067966330804608e-06,4
24,01049,2.6376529551345993e-06,2.938684101119011e-06,4
25,01051,2.415486757471603e-06,1.2764185440019417e-06,4
26,01053,4.694851311481981e-06,5.9403938833925e-06,4
27,01055,2.323904685041348e-06,1.6664993090755636e-06,2
28,01057,1.2120270005843392e-05,1.407551063006744e-05,4
29,01059,5.725684980280582e-06,6.037791743232665e-06,4
30,01061,8.26080343106867e-06,7.996515489130634e-06,4
31,01063,2.4918013612671003e-05,3.6277913246629956e-05,4
32,01065,1.2501436673771935e-05,1.7085143075000005e-05,4
33,01067,1.1774451312003946e-05,1.0254949422012041e-05,4
34,01069,2.159355673521662e-06,1.5530655728820972e-06,4
35,01071,3.824982295838929e-06,3.7532498675520487e-06,4
36,01073,3.1565544297093226e-07,2.3834737415865302e-07,4
37,01075,1.5480834403512756e-05,1.2386754591823147e-05,4
38,01077,2.044788334870793e-06,1.4814844722650077e-06,4
39,01079,5.549807246438746e-06,5.797467855146779e-06,4
40,01081,1.142515838392584e-06,1.1190010043200887e-06,4
41,01083,1.9829312281147224e-06,1.1495833241668308e-06,4
42,01085,1.7591356134331055e-05,2.4869151472191444e-05,4
43,01087,1.103540054434819e-05,1.4797201529481809e-05,4
44,01089,5.192197766098529e-07,3.1761362306254614e-07,1
45,01091,1.0643379615960014e-05,1.2376470636392893e-05,4
46,01093,7.642496701892965e-06,6.597156680334194e-06,4
47,01095,2.1048096285644754e-06,1.8773533468231955e-06,4
48,01097,4.834432668920528e-07,4.938174104344604e-07,1
49,01099,7.804992549555546e-06,1.027447056177058e-05,4
50,01101,8.235605144878899e-07,8.547756083165118e-07,1
51,01103,1.8583871846881609e-06,1.087208681162041e-06,4
52,01105,1.5968474831098066e-05,3.5228801670106155e-05,4
53,01107,1.1131407755254046e-05,1.0507545806485008e-05,4
54,01109,4.190126682402444e-06,6.581657007037552e-06,4
55,01111,8.382620440261849e-06,8.471694254133883e-06,4
56,01113,4.0237893458924594e-06,3.709290401930342e-06,2
57,01115,2.490110465327745e-06,1.3262282316995473e-06,4
58,01117,9.162787258743556e-07,3.635542273042783e-07,4
59,01119,1.2020254551117655e-05,2.5307106172704323e-05,4
60,01121,2.797485004143385e-06,2.326399011972047e-06,4
61,01123,5.094490422388189e-06,4.779857620718254e-06,4
62,01125,8.257758286533556e-07,7.636822521924623e-07,1
63,01127,3.5670543334861655e-06,2.766875282780794e-06,4
64,01129,1.1169148765173062e-05,1.0609945722857988e-05,4
65,01131,1.5389638234498933e-05,3.1027210801889677e-05,4
66,01133,8.365553427000855e-06,7.749257050251913e-06,4
67,02013,7.138680194006989e-05,4.4029954938093e-05,4
68,02016,3.996613534096655e-05,1.6792493840742247e-05,4
69,02020,7.84228087152357e-07,3.1855037821093794e-07,4
70,02050,6.973604599198916e-06,1.76871587695326e-05,4
71,02060,0.0003120412830617491,0.00012481651322469964,4
72,02068,0.00010873972545224285,3.1843520468661137e-05,4
73,02070,3.34e-05,4.364e-05,4
74,02090,2.503251868890557e-06,8.273390352972705e-07,4
75,02100,9.034949734310394e-05,4.231558736322589e-05,4
76,02105,0.00011800810106161903,7.996885969377113e-05,4
77,02110,7.891433968573179e-06,2.2293446416502503e-06,4
78,02122,4.380475480701647e-06,2.073195451720669e-06,4
79,02130,1.8950938410616855e-05,6.421946985237637e-06,0
80,02150,1.6076229290378788e-05,6.025076503170255e-06,4
81,02164,9.410105500385339e-05,0.00011435064911860665,4
82,02170,2.2365454742959576e-06,9.444803989487969e-07,2
83,02180,1.4546715944590452e-05,2.1645353581243718e-05,4
84,02185,2.0193648883997174e-05,1.1225534491408998e-05,4
85,02188,1.6246279733644624e-05,2.725840239829077e-05,4
86,02195,6.236240150571947e-05,2.236178848427653e-05,4
87,02198,3.823764094947287e-05,2.562916073785214e-05,4
88,02220,2.7096208351064787e-05,8.773500828380306e-06,4
89,02230,0.00022459906032609354,3.7180249851279e-05,4
90,02240,3.587642662600031e-05,1.918145581984175e-05,4
91,02261,2.5172991080997302e-05,1.0478823155760467e-05,4
92,02275,8.986419652389964e-05,4.580999005747637e-05,4
93,02282,0.0004139072847682119,0.0002165475198456208,4
94,02290,3.904580372315834e-05,4.4367027876765665e-05,4
95,04001,2.994285309933668e-06,5.125222233106482e-06,2
96,04003,2.213727375976586e-06,1.1370429598948776e-06,2
97,04005,1.3106116662789802e-06,1.0272811998755904e-06,1
98,04007,5.119447482754053e-06,3.72035451696205e-06,4
99,04009,6.572024799805335e-06,4.9107361458129725e-06,4
100,04011,2.705519122232185e-05,1.0953293610352248e-05,4
101,04012,1.1421495313489088e-05,1.1055306537702558e-05,4
102,04013,4.744695566630668e-08,2.750824297567648e-08,0
103,04015,1.3331222254731012e-06,7.836496848383963e-07,2
104,04017,2.1075416796382074e-06,2.5312142874011703e-06,4
105,04019,2.1348877316547038e-07,1.5275647897969412e-07,0
106,04021,5.299241380886768e-07,2.7208697758247776e-07,4
107,04023,3.7008734229079346e-06,5.217556623077923e-06,4
108,04025,1.257990596979367e-06,5.585206236552118e-07,2
109,04027,9.139903200101239e-07,8.811001801147975e-07,1
110,05001,1.1547572287462046e-05,9.881630701284033e-06,4
111,05003,1.0118401825258157e-05,9.645579310059177e-06,4
112,05005,6.35456292352376e-06,3.5886220707389563e-06,4
113,05007,6.022462050503627e-07,3.133951674774991e-07,2
114,05009,6.870971526329517e-06,3.895353936186813e-06,4
115,05011,1.5832297700352864e-05,1.961352199155416e-05,4
116,05013,3.637770166830007e-05,2.872868838562691e-05,4
117,05015,7.6016487098503785e-06,5.648194474916078e-06,4
118,05017,1.8466874227479802e-05,2.7893057046377295e-05,4
119,05019,8.403746023417755e-06,7.885960204859986e-06,2
120,05021,1.3355507286102897e-05,1.3768330371373061e-05,4
121,05023,8.766930221436789e-06,5.73284071764159e-06,4
122,05025,2.2367980848279697e-05,1.9163666484757014e-05,4
123,05027,6.501918086594029e-06,8.662605468507704e-06,4
124,05029,8.869613860249314e-06,8.46176284833395e-06,4
125,05031,1.6472859239220768e-06,1.5925545881713046e-06,1
126,05033,3.3798297584426916e-06,2.494079554600005e-06,4
127,05035,3.9076591490339455e-06,3.875138113628056e-06,1
128,05037,1.065845918322199e-05,1.0572155869997522e-05,4
129,05039,2.716109869959406e-05,2.795596311549938e-05,4
130,05041,1.3370946641290642e-05,2.0976993037690737e-05,4
131,05043,1.0163267685729044e-05,1.0094798102609017e-05,4
132,05045,1.4756809592187858e-06,1.1922418469351813e-06,4
133,05047,1.1667860985680468e-05,1.0094701668778399e-05,4
134,05049,2.085985643595761e-05,1.648194389095886e-05,4
135,05051,2.647913175547631e-06,2.0184069855785805e-06,1
136,05053,1.095817217615551e-05,7.11298734634315e-06,4
137,05055,3.930186138049979e-06,3.583118672552129e-06,4
138,05057,8.803161791063752e-06,9.359574084034137e-06,2
139,05059,6.5718259845176216e-06,5.1454650393248905e-06,2
140,05061,1.5355461142786454e-05,1.2759697129626068e-05,4
141,05063,5.4972004978158825e-06,3.7347715324730665e-06,4
142,05065,1.836340556126726e-05,1.2761836225602183e-05,4
143,05067,1.2059033171049342e-05,1.3205490549987133e-05,4
144,05069,3.0335054300122234e-06,2.9960015260174726e-06,4
145,05071,5.39758556544891e-06,8.055826539521028e-06,4
146,05073,2.6697052331866578e-05,3.35504902626981e-05,4
147,05075,1.2563113818078914e-05,1.0278574700556164e-05,2
148,05077,1.9546582460286714e-05,3.8374722726215614e-05,4
149,05079,1.2612735113819381e-05,1.4779065890340817e-05,4
150,05081,1.9673498124889867e-05,1.2782179109580504e-05,4
151,05083,9.066720990237298e-06,8.35983844804793e-06,4
152,05085,2.9207312601494155e-06,1.5945504311215823e-06,4
153,05087,8.76949608174534e-06,1.105206852955479e-05,4
154,05089,1.4630293589616882e-05,1.1021893141823327e-05,4
155,05091,5.245064925936462e-06,4.8561712788744535e-06,1
156,05093,4.742878141722892e-06,6.071189785927208e-06,4
157,05095,2.5309808863684102e-05,3.715605965133375e-05,4
158,05097,2.6055473975064296e-05,2.0706253775846276e-05,4
159,05099,2.3715320599110162e-05,2.5071306083487506e-05,4
160,05101,2.4097957870433257e-05,2.1996773532956788e-05,4
161,05103,8.389514125928303e-06,9.708507255887086e-06,4
162,05105,2.0771919619501733e-05,1.4015913418010602e-05,4
163,05107,1.3032048092096931e-05,1.9385017712063917e-05,4
164,05109,2.0752692611389178e-05,1.6293146144982365e-05,4
165,05111,7.462340201439968e-06,9.729402286419281e-06,4
166,05113,1.1914049642667947e-05,9.856643283409983e-06,4
167,05115,2.7011718750000002e-06,2.3552246093750003e-06,4
168,05117,2.4804617236070433e-05,1.9236233774911765e-05,4
169,05119,5.209744455760027e-07,4.1707528094162906e-07,4
170,05121,1.2622205674625787e-05,9.468206420956383e-06,4
171,05123,8.843489719171236e-06,1.1722298271821249e-05,4
172,05125,1.8142774550898247e-06,7.932546297770113e-07,4
173,05127,1.7448997673883326e-05,1.9289688494163805e-05,4
174,05129,2.4664547936733194e-05,3.0191175195284162e-05,4
175,05131,1.6284099285241154e-06,1.1964465769007186e-06,1
176,05133,9.729516678837584e-06,1.158146107117056e-05,4
177,05135,1.2381541573947135e-05,1.1741574374222499e-05,4
178,05137,1.797948610233734e-05,1.609131784857933e-05,4
179,05139,5.074978658372345e-06,4.57264134491008e-06,4
180,05141,1.2377584124049164e-05,9.740273556e-06,4
181,05143,6.360048464139906e-07,6.187120399100708e-07,3
182,05145,2.102956609379238e-06,2.017605677481001e-06,4
183,05147,2.8537444118128874e-05,3.5826125768932174e-05,4
184,05149,8.023611974157328e-06,7.445722157152715e-06,4
185,06001,1.0137665710630589e-07,5.3056343220479456e-08,2
186,06003,0.00019551213041401548,0.00015673968261039218,4
187,06005,7.864498576008356e-06,2.6627626757595107e-06,2
188,06007,1.1068947882937365e-06,7.856492233419426e-07,3
189,06009,7.328054465582324e-06,2.622692371893562e-06,2
190,06011,8.834210683554343e-06,5.024296976368031e-06,4
191,06013,1.7686996569085196e-07,6.725651307776992e-08,0
192,06015,8.832672184576444e-06,6.5405679261520005e-06,1
193,06017,1.4136877462443122e-06,4.235919955623388e-07,1
194,06019,1.9099111096152938e-07,2.1098339761392682e-07,3
195,06021,7.571498838795097e-06,5.429461306328721e-06,4
196,06023,1.8321186026288186e-06,1.4519081533232577e-06,1
197,06025,9.936161168994274e-07,1.119564899571245e-06,4
198,06027,1.3695701462070067e-05,6.713397331441251e-06,2
199,06029,1.9836836891605796e-07,2.2012453868603352e-07,2
200,06031,1.3998545571323186e-06,1.1121408652227297e-06,3
201,06033,4.4021267660404006e-06,2.8199956030167284e-06,1
202,06035,8.84941570731489e-06,3.850275795476571e-06,4
203,06037,1.7536053665182255e-08,1.3798809086490513e-08,0
204,06039,1.2632107581877276e-06,1.214820663228492e-06,1
205,06041,6.641609079194261e-07,2.4830025278877744e-07,0
206,06043,1.80974815470638e-05,8.416442812166348e-06,2
207,06045,2.9358376782362858e-06,1.9726869540430217e-06,1
208,06047,6.187231179373118e-07,7.531941652987383e-07,1
209,06049,3.291978972510275e-05,2.117199410159408e-05,2
210,06051,1.745767928593413e-05,6.4610649430594035e-06,0
211,06053,3.8168644421530025e-07,2.9310306134309613e-07,0
212,06055,1.6272489301708913e-06,6.085784436748387e-07,3
213,06057,2.987335391421087e-06,1.0233122816295257e-06,4
214,06059,5.957168887862818e-08,3.256613112481801e-08,0
215,06061,6.498577403098088e-07,1.7853846048214448e-07,1
216,06063,1.8462038857976285e-05,6.552779416962478e-06,4
217,06065,8.395753713895545e-08,5.1198801831445106e-08,3
218,06067,1.4759513893159028e-07,9.144177492960411e-08,0
219,06069,3.5629004857633755e-06,1.3980132798422256e-06,1
220,06071,9.257336689199353e-08,6.73289766089761e-08,0
221,06073,6.083994992232346e-08,3.3292650040573275e-08,0
222,06075,1.6855207283603045e-07,1.1226978664688292e-07,4
223,06077,2.6061034797687843e-07,1.8596918596343767e-07,3
224,06079,8.473912261096084e-07,4.2399315210891576e-07,1
225,06081,2.2417445206416836e-07,8.752118059060116e-08,0
226,06083,4.0163228470381715e-07,2.7097640747081093e-07,0
227,06085,7.855808618933586e-08,3.704513167490851e-08,0
228,06087,7.273737212786017e-07,4.258014653882248e-07,0
229,06089,1.7040573718319083e-06,8.30464197124034e-07,1
230,06091,0.00012530585331885105,4.393550492038427e-05,4
231,06093,6.972529785119876e-06,3.868629429163286e-06,1
232,06095,5.780793919940399e-07,1.7186862239772847e-07,0
233,06097,4.924382390452095e-07,1.954293369764814e-07,0
234,06099,3.6937241204654763e-07,2.8033401116310796e-07,3
235,06101,2.4137832886470193e-06,1.3883442097425562e-06,3
236,06103,4.048706818368111e-06,2.6311698664231455e-06,1
237,06105,2.3827976520151234e-05,1.690360727497908e-05,2
238,06107,3.6521351297633396e-07,4.7206683763690073e-07,0
239,06109,5.80567670663608e-06,2.1573355392022545e-06,1
240,06111,2.5382629426254135e-07,1.0523585380628173e-07,3
241,06113,6.830015262570303e-07,8.709607467589275e-07,2
242,06115,3.277125903003903e-06,2.176540957473808e-06,2
243,08001,3.7667811685355897e-07,1.7828023787245896e-07,0
244,08003,1.1342956910679253e-05,1.0613587175846217e-05,4
245,08005,2.9878020261105616e-07,1.237358026929259e-07,0
246,08007,1.6366255799405965e-05,8.04854566078494e-06,4
247,08009,7.181635864607102e-05,5.275351155150178e-05,4
248,08011,3.237188450960237e-05,3.9106392626332143e-05,4
249,08013,4.336063257803759e-07,2.887229002935051e-07,0
