FIPS,County,State,Not_enough_data,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
01001,Autauga County,Alabama,True,,1.31,-0.84,-1.449,-1.589,-2.0540000000000003,,,-0.5660000000000001,-0.878,1.716,0.5920000000000001,-1.42,,,-2.042,0.142,-0.8859999999999999,-1.781,-1.731,,,3.27,7.0939999999999985,8.493,11.188,13.59,,,12.486,13.414,13.125,14.277,15.708,,,13.15,17.094,14.47,15.51,16.632,,
01003,Baldwin County,Alabama,False,-2.036,2.519,3.113,-1.259,-0.154,-0.922,-2.687,-2.011,-1.043,-1.602,0.974,-0.444,-1.496,-2.214,-1.111,-0.951,-0.574,-1.726,-1.717,-0.353,-1.199,-0.247,1.508,4.349,5.841,7.774,10.324000000000002,8.609,7.705,10.34,11.563,10.718,12.011,12.893,8.939,9.252,11.651,14.67,12.079,13.929,14.582,11.663,11.182
01005,Barbour County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01007,Bibb County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01009,Blount County,Alabama,True,,2.5660000000000003,-0.212,-0.5539999999999999,-0.591,-0.975,,,2.28,-1.017,0.8740000000000001,1.755,0.028,,,-0.521,0.83,0.622,-0.66,0.586,,,4.846,7.607,8.68,10.012,14.277,,,15.602,13.806,12.741,13.186,15.33,,,12.225,16.113,14.279000000000002,14.855,14.43,,
01011,Bullock County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01013,Butler County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01015,Calhoun County,Alabama,False,-0.309,3.79,-0.276,-1.295,-0.774,-0.952,-2.597,-1.952,2.4930000000000003,-1.477,1.205,1.7819999999999998,-0.57,-1.938,-1.2990000000000002,-0.539,0.39,-0.914,-1.489,0.923,-0.6970000000000001,3.04,2.249,4.186,5.393,8.1,11.85,7.074,8.182,14.728,11.675,10.758,12.707,13.031,7.624,7.979,12.566,14.792,11.663,14.546,13.996,9.558,10.57
01017,Chambers County,Alabama,True,,1.881,0.599,-2.226,-1.305,-1.94,,,-0.105,2.202,1.485,2.112,-1.147,,,-0.6579999999999999,1.033,-0.113,-0.858,-1.705,,,2.071,5.475,5.058,9.318,12.041,,,11.31,11.74,9.989,11.247,13.278,,,15.036,,15.31,,,,
01019,Cherokee County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01021,Chilton County,Alabama,True,,1.693,-1.841,-2.105,-1.289,-1.188,,,0.725,1.005,2.499,1.582,-0.8809999999999999,,,-3.26,-0.6859999999999999,-1.198,-2.528,-0.353,,,1.995,5.3370000000000015,6.414,8.177999999999999,11.328,,,11.993,11.887,10.783,12.275,13.86,,,9.852,14.779000000000002,11.678,13.23,13.118,,
01023,Choctaw County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01025,Clarke County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01027,Clay County,Alabama,True,,6.664,3.258,4.298,2.103,3.446,,,4.442,8.693,7.524,3.156,5.745,,,3.3310000000000004,-2.177,6.449,-0.003,6.894,,,-3.3360000000000003,-9.785,-8.605,-12.634,-14.945,,,-15.558,-16.307000000000002,-19.357,-23.16,-19.542,,,-18.892,-21.741,-21.508000000000006,-23.16,-26.439,,
01029,Cleburne County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01031,Coffee County,Alabama,True,,0.242,0.16899999999999998,-1.584,-1.029,-2.302,,,-2.585,-2.373,2.774,1.482,-2.4530000000000003,,,-2.237,0.284,-1.653,-1.051,-1.997,,,0.236,3.233,4.902,7.692,8.847999999999997,,,7.973,9.124,8.72,11.151,11.121,,,10.233,13.491,10.364,13.306,13.373,,
01033,Colbert County,Alabama,True,,1.868,-1.17,-0.564,-2.249,-2.6910000000000003,,,0.5539999999999999,-2.527,-1.158,-1.7,-1.7519999999999998,,,-0.648,0.415,0.225,-1.669,0.619,,,4.229,5.403,5.85,6.428,10.487,,,12.279000000000002,13.021,11.465,11.154000000000002,12.348,,,12.826,13.779000000000002,10.711,12.378,11.981,,
01035,Conecuh County,Alabama,True,,10.769,2.857,10.606,8.824,3.031,,,13.845999999999998,2.857,7.576,10.294,1.516,,,9.231,0.0,6.061,5.8820000000000014,7.576,,,6.154,-8.571,-6.06,-13.235,-19.697,,,-9.231,-24.286,-15.151,-14.705,-21.212,,,-18.462,-20.0,-15.151,-23.529,-25.757,,
01037,Coosa County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
