FIPS,State,County,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17
01001,Alabama,Autauga County,,,5,0,0,2,0,,,1,-1,-1,-2,-2,,,-1,-1,2,1,-1,,,-2,0,-1,-2,-2,,,3,7,8,11,14,,,12,13,13,14,16,,,13,17,14,16,17,,,15,18,19,17,20,,,15,16,16,16,17,,,14,15,15,21,16,,,13,8,17,14,13,,,10,11,12,12,14,,,9,10,10,11,11,,,10,10,10,9,12,,,,12,11,10,10,,,9,9,8,8,10,,,9,8,9,7,8,,,7,7,8,8,8,,,8,9,10,9,9,,,8,9,8,8,15,,,8,9,8,8,9,,,7,7,8,7,9,,,7,8,7,8,10,,,7,8,9,8,7,,,6,7,7,6,7,,,6,8,7,8,8,,,5
01003,Alabama,Baldwin County,-2,2,1,0,-1,3,-1,-2,-2,3,3,-1,0,-1,-3,-2,-1,-2,1,0,-1,-2,-1,-1,-1,-2,-2,0,-1,0,2,4,6,8,10,9,8,10,12,11,12,13,9,9,12,15,12,14,15,12,11,14,15,14,15,18,11,12,13,14,13,14,15,10,10,12,13,12,18,13,8,7,11,6,14,11,10,5,5,8,9,8,9,11,5,2,7,8,7,8,8,3,3,8,7,7,6,6,2,1,13,7,7,6,6,1,1,4,6,6,5,5,4,8,7,6,4,4,4,-1,0,3,4,3,4,3,-1,-1,6,6,5,5,5,1,1,5,5,5,5,10,4,3,6,7,6,5,6,1,2,5,6,6,5,6,2,2,5,6,5,7,8,4,2,7,7,6,5,4,1,1,4,5,4,4,4,2,1,4,5,3,4,5,3,1,3
01005,Alabama,Barbour County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01007,Alabama,Bibb County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01009,Alabama,Blount County,,,4,2,0,3,1,,,3,0,-1,-1,-1,,,2,-1,1,2,0,,,-1,1,1,-1,1,,,5,8,9,10,14,,,16,14,13,13,15,,,12,16,14,15,14,,,15,17,16,16,20,,,5,8,11,14,15,,,13,13,14,17,15,,,12,7,14,11,12,,,10,10,10,11,15,,,9,9,9,9,10,,,9,8,7,8,9,,,,9,10,9,8,,,7,7,7,8,9,,,9,8,7,6,6,,,5,6,6,7,6,,,7,9,7,8,9,,,7,7,9,7,14,,,8,8,8,8,9,,,7,7,7,8,9,,,7,8,7,7,8,,,7,9,9,8,8,,,6,7,6,7,7,,,6,6,7,7,8,,,6
01011,Alabama,Bullock County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01013,Alabama,Butler County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01015,Alabama,Calhoun County,0,0,6,2,0,3,0,0,0,4,0,-1,-1,-1,-3,-2,2,-1,1,2,-1,-2,-1,-1,0,-1,-1,1,-1,3,2,4,5,8,12,7,8,15,12,11,13,13,8,8,13,15,12,15,14,10,11,15,16,16,17,20,9,12,15,14,13,15,16,8,12,14,13,13,14,14,7,7,13,6,14,13,12,5,4,10,10,10,11,15,5,3,9,8,8,9,9,3,5,9,8,7,7,10,3,2,17,8,9,8,8,2,2,6,5,6,7,9,2,2,7,7,6,6,6,1,1,6,5,5,5,6,0,1,7,7,6,7,7,1,2,7,6,7,8,12,3,2,7,6,6,7,7,2,5,6,5,5,7,8,3,3,7,6,6,6,8,3,3,7,7,6,7,8,2,2,5,5,4,6,6,1,3,6,6,6,6,7,2,2,5
01017,Alabama,Chambers County,,,4,3,0,3,0,,,2,1,-2,-1,-2,,,0,2,1,2,-1,,,-1,1,0,-1,-2,,,2,5,5,9,12,,,11,12,10,11,13,,,15,,15,,,,,,,,,,,,,,,,,,,16,,15,,,,,14,10,16,16,,,,11,13,11,12,14,,,10,11,10,9,12,,,10,10,8,9,10,,,,14,11,11,12,,,7,9,7,9,10,,,8,10,9,7,8,,,7,8,6,7,8,,,9,10,9,10,8,,,10,13,10,10,,,,9,9,7,8,9,,,7,8,6,7,8,,,7,9,7,7,8,,,7,7,7,7,6,,,5,6,5,6,7,,,7,7,6,6,6,,,5
01019,Alabama,Cherokee County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
