FIPS,State,County,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07
01001,Alabama,Autauga County,5,0,8,-2,-2,-8,-3,1,0,-2,10,17,14,12,21,15,15,22,5,7,4,9,10,15,13,12,14,8,6,-4,3,-6,-6,-13,-24,-30,-38,-22,-20,-20,-22,-27,-29,-42,-25,-27,-16,-24,-24,-39,-53,-30,-35,-31,-29,-30,-37,-55,-22,-23,-11,-18,-27,-27,-49,-14,-17,-16,-30,-21,-25,-21,-10,-14,-14,-9,-9,-12,-11,3,-2,-1,-6,-15,-7,-14,0,3,12,1,-5,-3,-11,3,3,13,2,-9,-9,-8,-18,-4,4,3,-6,-5,-6,13,8,17,4,-11,1,-6,-6,0,7,1,-8,-6,-8,0,5,5,-2,-3,1,-13,-8,-3,2,1,-8,-8,-10,-2,5,13,14,-2,-39,-15,4,2
01003,Alabama,Baldwin County,17,8,9,7,12,5,15,15,17,10,11,20,13,13,18,17,7,13,4,7,8,16,19,10,11,17,15,15,16,16,9,1,-3,-14,-28,-39,-40,-35,-36,-34,-36,-36,-43,-47,-41,-43,-36,-40,-39,-48,-55,-46,-47,-42,-41,-41,-44,-66,-42,-41,-31,-36,-40,-43,-45,-37,-36,-33,-46,-35,-38,-35,-32,-32,-35,-26,-25,-24,-20,-20,-19,-17,-17,-18,-13,-11,-10,-8,-2,-3,-5,-2,3,-3,-1,4,5,3,8,19,6,2,7,10,6,8,16,15,10,14,9,7,3,-17,1,5,15,15,13,20,25,18,16,24,19,14,21,26,12,12,23,18,13,16,22,14,15,21,26,17,-10,11,14,10
01005,Alabama,Barbour County,5,-3,12,4,1,-6,7,-1,3,5,5,18,19,17,12,17,21,29,5,14,17,11,17,20,10,11,17,24,13,17,18,7,8,2,-5,-12,-19,-11,-17,-10,-14,-14,-15,-27,-15,-23,-7,-10,-9,-22,-40,,,,,-18,,,,,,,-13,,,,,,,-7,,,,,,,,,,,,,,,,,,,,7,1,6,7,0,7,10,12,11,15,,,-1,6,14,5,12,,,12,21,14,12,15,,,6,13,12,9,19,,,12,14,12,16,23,,,-1,8,10,13,15,,,8,22,,25,-2,,,5
01007,Alabama,Bibb County,14,-3,7,-4,-1,-1,-5,6,-5,2,7,15,22,5,23,20,8,18,4,14,5,17,12,23,12,9,16,13,21,3,15,4,2,-1,-10,-10,-36,-16,-12,-9,-5,-9,-10,-25,-14,-19,-8,-8,-10,-12,-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01009,Alabama,Blount County,7,1,5,-8,2,-6,-4,9,4,1,6,14,15,8,19,15,10,34,7,8,6,19,15,12,10,3,17,6,19,-12,3,-10,-17,-19,-28,-24,-38,-30,-30,-24,-26,-29,-21,-36,-23,-28,-19,-23,-20,-23,-49,,,,,-25,-20,-61,,,,-11,-18,-6,-36,,,,-22,-20,-3,,,,,-5,-4,6,,,,,-5,-19,9,,,,,0,-8,4,-10,2,-4,7,6,-8,-6,-6,-11,-8,-5,-7,-3,9,5,7,10,14,4,-3,10,6,-8,-3,4,4,-2,11,9,12,5,4,2,0,13,2,0,-6,-3,-6,-9,-1,-2,3,2,6,15,5,-21,-10,7,-2
01011,Alabama,Bullock County,,,-40,,,,-5,,,,,,,19,,,,,,,3,,,,,,,3,,,,,,,-15,,,,,,,-37,,,,,,,-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01013,Alabama,Butler County,2,2,1,0,2,-6,6,8,15,-7,16,39,28,20,16,38,8,42,19,18,6,20,25,7,12,27,22,12,17,24,4,3,10,-1,-20,-27,-33,-31,-18,-10,-23,-28,-29,-37,-35,-25,-5,-23,-27,-41,-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16,-12,,,,,,-7,1,,,,,,-11,-1,,,,,,-10,2,,,,,,-5,8,,,,,,2,14,,,,,,-3,12,,,,,,9,-24,,,
01015,Alabama,Calhoun County,7,1,2,-2,0,-7,1,4,3,-8,10,19,16,15,18,27,5,34,8,6,9,15,15,10,10,8,15,6,3,-9,-2,-6,-12,-17,-28,-36,-44,-38,-29,-26,-25,-29,-36,-40,-30,-33,-22,-29,-29,-41,-53,-39,-36,-37,-32,-35,-40,-65,-31,-23,-10,-17,-25,-30,-46,-18,-15,-17,-22,-23,-28,-25,-15,-13,-15,-10,-10,-17,-15,-3,-1,-2,-6,-20,-11,-15,-4,0,3,0,-8,-11,-17,-2,3,5,9,-6,-11,-8,-14,-3,-6,3,-6,-8,-4,6,7,9,5,-6,-6,-5,-1,-2,6,4,-5,-5,-4,3,7,4,4,-3,-2,-8,-3,-1,2,-1,-8,-9,-7,-1,7,13,18,3,-35,-14,1,5
01017,Alabama,Chambers County,2,-4,2,-3,2,0,4,-2,14,-3,20,25,31,19,14,27,17,24,11,16,14,12,17,21,23,16,22,14,11,8,9,-2,-5,-4,-13,-25,-32,-25,-22,-25,-15,-23,-28,-34,-26,-33,-19,-18,-26,-39,-46,-30,-33,-37,-24,-31,-35,-51,-17,-19,-8,-14,-23,-24,-51,-7,-9,-12,-24,-16,-19,-16,-1,-5,-7,3,2,-10,-8,10,7,7,7,-10,2,2,8,8,5,14,-3,-7,-5,4,11,11,15,-2,-2,-5,-2,-4,-3,14,0,-3,4,16,15,15,14,-1,-4,2,5,-1,-1,16,-5,-3,2,3,9,6,7,-5,-2,-1,1,5,1,2,-8,-4,2,10,10,16,27,17,-25,-2,5,3
01019,Alabama,Cherokee County,4,-2,-8,-12,-2,-10,-1,3,-5,-12,7,12,13,6,16,19,5,35,10,10,8,16,14,13,10,14,16,10,12,-7,4,-7,-15,-13,-21,-22,-27,-33,-32,-23,-21,-24,-18,-24,-21,-28,-18,-16,-10,-23,-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,19,,,,,,,18,,,,,,,17,,,,,,,20,,,,,,,14,,,,,,,10,20,,,,,,,19,,,
