0,1,"Tallapoosa County, AL","1.093 (0.989,~1.196)","0.752 (0.217,~0.910)","8,277 (20.4)",855,"40,497",9.24\%
1,1,"St. John the Baptist Parish, LA","3.281 (2.990,~3.613)","0.761 (0.246,~0.905)","11,921 (27.6)","1,424","43,184",6.46\%
2,1,"Neshoba County, MS","1.015 (0.922,~1.125)","0.783 (0.717,~0.846)","10,383 (35.7)","1,286","29,125",7.15\%
3,1,"Madison County, IN","2.815 (2.554,~3.062)","0.789 (0.714,~0.871)","7,015 (5.4)",979,"129,641",6.64\%
4,1,"Walker County, AL","1.086 (0.937,~1.238)","0.795 (0.159,~1.018)","9,110 (14.3)","1,526","63,711",4.19\%
5,1,"Alamosa County, CO","2.912 (2.736,~3.098)","0.810 (0.246,~1.025)",935 (5.6),230,"16,683",3.91\%
6,1,"Chaffee County, CO","2.912 (2.736,~3.098)","0.810 (0.246,~1.025)","1,974 (9.9)",303,"20,027",6.27\%
7,1,"Crowley County, CO","2.912 (2.736,~3.098)","0.810 (0.246,~1.025)",103 (1.8),72,"5,858",1.39\%
8,1,"Delta County, CO","2.912 (2.736,~3.098)","0.810 (0.246,~1.025)",103 (0.3),121,"30,953",0.83\%
9,1,"Elbert County, CO","2.912 (2.736,~3.098)","0.810 (0.246,~1.025)",207 (0.8),105,"26,282",1.90\%
10,1,"Huerfano County, CO","2.912 (2.736,~3.098)","0.810 (0.246,~1.025)",103 (1.5),8,"6,889",12.50\%
11,1,"Kit Carson County, CO","2.912 (2.736,~3.098)","0.810 (0.246,~1.025)",311 (4.4),51,"7,163",5.88\%
12,1,"La Plata County, CO","2.912 (2.736,~3.098)","0.810 (0.246,~1.025)",207 (0.4),212,"56,310",0.94\%
13,1,"Logan County, CO","2.912 (2.736,~3.098)","0.810 (0.246,~1.025)",519 (2.4),651,"21,528",0.77\%
14,1,"Moffat County, CO","2.912 (2.736,~3.098)","0.810 (0.246,~1.025)",103 (0.8),31,"13,188",3.23\%
15,1,"Montezuma County, CO","2.912 (2.736,~3.098)","0.810 (0.246,~1.025)",415 (1.6),112,"26,158",3.57\%
16,1,"Montrose County, CO","2.912 (2.736,~3.098)","0.810 (0.246,~1.025)","1,350 (3.2)",305,"42,214",4.26\%
17,1,"Ouray County, CO","2.912 (2.736,~3.098)","0.810 (0.246,~1.025)",103 (2.1),13,"4,833",7.69\%
18,1,"Park County, CO","2.912 (2.736,~3.098)","0.810 (0.246,~1.025)",103 (0.6),42,"18,556",2.38\%
19,1,"Rio Grande County, CO","2.912 (2.736,~3.098)","0.810 (0.246,~1.025)",207 (1.8),89,"11,250",2.25\%
20,1,"Routt County, CO","2.912 (2.736,~3.098)","0.810 (0.246,~1.025)",727 (2.8),125,"25,733",5.60\%
21,1,"Saguache County, CO","2.912 (2.736,~3.098)","0.810 (0.246,~1.025)",207 (3.0),106,"6,843",1.89\%
22,1,"Sedgwick County, CO","2.912 (2.736,~3.098)","0.810 (0.246,~1.025)",103 (4.5),11,"2,303",9.09\%
23,1,"Teller County, CO","2.912 (2.736,~3.098)","0.810 (0.246,~1.025)",311 (1.2),132,"25,083",2.27\%
24,1,"St. Charles Parish, LA","2.976 (2.728,~3.225)","0.812 (0.269,~0.973)","7,615 (14.4)","1,474","52,879",3.53\%
25,1,"Robeson County, NC","0.884 (0.801,~0.966)","0.813 (0.284,~0.987)","7,410 (5.6)","2,804","131,831",1.89\%
26,1,"Chatham County, NC","0.857 (0.775,~0.936)","0.832 (0.377,~0.971)","4,170 (5.7)","1,300","73,139",4.00\%
27,1,"Howard County, IN","0.812 (0.734,~0.899)","0.838 (0.757,~0.915)","6,840 (8.3)",890,"82,366",7.30\%
28,1,"Comal County, TX","1.102 (0.924,~1.285)","0.848 (0.241,~1.108)","11,888 (8.0)","1,839","148,373",3.75\%
29,1,"Sumter County, GA","3.073 (2.168,~3.533)","0.852 (0.797,~0.903)","7,225 (24.3)",762,"29,733",7.35\%
30,1,"Wayne County, OH","1.286 (0.979,~2.386)","0.861 (0.777,~0.951)","6,836 (5.9)",539,"115,967",10.76\%
31,1,"Santa Cruz County, AZ","0.918 (0.812,~1.034)","0.890 (0.788,~0.994)","6,456 (13.9)","2,662","46,511",1.99\%
32,1,"Orleans County, NY","0.883 (0.798,~0.988)","0.891 (0.766,~1.008)","6,025 (14.8)",298,"40,612",18.12\%
33,1,"Clarendon County, SC","1.019 (0.909,~1.108)","0.892 (0.813,~0.976)","4,781 (14.2)",838,"33,700",6.21\%
34,1,"Acadia Parish, LA","0.947 (0.887,~1.020)","0.902 (0.233,~1.072)","11,098 (17.8)","2,598","62,190",3.19\%
35,1,"Habersham County, GA","0.801 (0.734,~0.866)","0.906 (0.841,~0.967)","6,120 (13.5)","1,141","45,388",4.29\%
36,1,"Washington Parish, LA","3.128 (2.205,~3.520)","0.914 (0.328,~1.052)","6,773 (14.5)","1,265","46,582",4.58\%
37,1,"Allamakee County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",191 (1.4),155,"13,832",2.58\%
38,1,"Appanoose County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",143 (1.2),49,"12,437",6.12\%
39,1,"Audubon County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",47 (0.9),28,"5,506",3.57\%
40,1,"Boone County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",143 (0.5),258,"26,346",1.16\%
41,1,"Bremer County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",335 (1.3),226,"24,947",3.10\%
42,1,"Buchanan County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",47 (0.2),127,"21,199",0.79\%
43,1,"Buena Vista County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",575 (2.9),"1,794","19,874",0.67\%
44,1,"Butler County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",95 (0.7),121,"14,539",1.65\%
45,1,"Calhoun County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",95 (1.0),83,"9,699",2.41\%
46,1,"Carroll County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",47 (0.2),192,"20,154",0.52\%
47,1,"Cass County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",47 (0.4),74,"12,930",1.35\%
48,1,"Cedar County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",47 (0.3),133,"18,627",0.75\%
49,1,"Cherokee County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",47 (0.4),108,"11,321",0.93\%
50,1,"Clay County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",47 (0.3),190,"16,134",0.53\%
51,1,"Clayton County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",143 (0.8),104,"17,556",2.88\%
52,1,"Crawford County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",143 (0.8),728,"17,158",0.41\%
53,1,"Davis County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",95 (1.1),57,"9,017",3.51\%
54,1,"Delaware County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",47 (0.3),112,"17,069",0.89\%
55,1,"Dickinson County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",191 (1.1),381,"17,153",1.05\%
56,1,"Emmet County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",191 (2.1),192,"9,253",2.08\%
57,1,"Floyd County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",95 (0.6),155,"15,761",1.29\%
58,1,"Franklin County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",479 (4.7),241,"10,124",4.15\%
59,1,"Grundy County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",47 (0.4),79,"12,304",1.27\%
60,1,"Guthrie County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",239 (2.2),132,"10,720",3.79\%
61,1,"Hamilton County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",47 (0.3),246,"14,952",0.41\%
62,1,"Hancock County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",95 (0.9),122,"10,712",1.64\%
63,1,"Humboldt County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",47 (0.5),111,"9,547",0.90\%
64,1,"Iowa County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",47 (0.3),97,"16,141",1.03\%
65,1,"Jackson County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",47 (0.2),156,"19,432",0.64\%
66,1,"Jasper County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)","1,246 (3.4)",478,"37,147",5.44\%
67,1,"Jones County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",95 (0.5),130,"20,744",1.54\%
68,1,"Keokuk County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",47 (0.5),35,"10,225",2.86\%
69,1,"Louisa County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",671 (6.0),378,"11,169",3.70\%
70,1,"Lucas County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",191 (2.2),68,"8,645",5.88\%
71,1,"Madison County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",95 (0.6),121,"16,249",1.65\%
72,1,"Monroe County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",335 (4.3),73,"7,790",9.59\%
73,1,"Montgomery County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",191 (1.9),59,"10,003",6.78\%
74,1,"O'Brien County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",95 (0.7),138,"13,840",1.45\%
75,1,"Plymouth County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",431 (1.7),462,"25,095",1.95\%
76,1,"Pocahontas County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",95 (1.4),115,"6,740",1.74\%
77,1,"Poweshiek County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",383 (2.1),159,"18,699",5.03\%
78,1,"Ringgold County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",47 (1.0),22,"4,968",4.55\%
79,1,"Shelby County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",47 (0.4),184,"11,578",0.54\%
80,1,"Sioux County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",143 (0.4),634,"34,909",0.47\%
81,1,"Tama County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)","1,390 (8.2)",551,"16,904",5.26\%
82,1,"Van Buren County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",47 (0.7),37,"7,020",2.70\%
83,1,"Washington County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",479 (2.2),298,"22,141",3.36\%
84,1,"Wayne County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",47 (0.7),19,"6,401",5.26\%
85,1,"Winneshiek County, IA","1.193 (0.935,~2.209)","0.914 (0.848,~0.976)",47 (0.2),97,"20,029",1.03\%
