,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
"Rt_adj[1,1]",3.4249248391535727,0.013904770749193112,0.19384828992500405,3.064040890260628,3.29999585000117,3.378447607271335,3.541006409286215,3.84499844907187,194.35525264082887,1.0054380362096693
"Rt_adj[2,1]",3.4249248391535727,0.013904770749193112,0.19384828992500405,3.064040890260628,3.29999585000117,3.378447607271335,3.541006409286215,3.84499844907187,194.35525264082887,1.0054380362096693
"Rt_adj[3,1]",2.86871252862446,0.06454627061852398,0.739193293934246,1.1859743711123205,2.379148386873225,3.1820700852756794,3.4143806184202026,3.7825307205152137,131.15164057310892,1.014143276203688
"Rt_adj[4,1]",2.86871252862446,0.06454627061852398,0.739193293934246,1.1859743711123205,2.379148386873225,3.1820700852756794,3.4143806184202026,3.7825307205152137,131.15164057310892,1.014143276203688
"Rt_adj[5,1]",2.86871252862446,0.06454627061852398,0.739193293934246,1.1859743711123205,2.379148386873225,3.1820700852756794,3.4143806184202026,3.7825307205152137,131.15164057310892,1.014143276203688
"Rt_adj[6,1]",2.86871252862446,0.06454627061852398,0.739193293934246,1.1859743711123205,2.379148386873225,3.1820700852756794,3.4143806184202026,3.7825307205152137,131.15164057310892,1.014143276203688
"Rt_adj[7,1]",2.866580619786706,0.06454023968515754,0.7389210039784263,1.184219867162308,2.3778924974247975,3.179218080461064,3.4125846675164673,3.7797885638711555,131.07952997995065,1.0141048733090499
"Rt_adj[8,1]",2.10017808065798,0.05646857371013864,0.7398972277090089,1.0827436509347639,1.4634487645162904,2.011672841554468,2.685712146625928,3.5727807657073485,171.68373914576162,0.9951722638674684
"Rt_adj[9,1]",1.6820455983430433,0.055508288299817694,0.6194553513553068,1.0508297278200391,1.1948764108236285,1.4483617134936502,2.1083322107972915,3.3556816872883006,124.53870562417728,0.9881800976032376
"Rt_adj[10,1]",1.6817759458714479,0.05549546071906876,0.6193044855549841,1.0506696291284503,1.1947167088843695,1.448200103478259,2.107970777422804,3.354819259449468,124.53560321218367,0.9881801054777931
"Rt_adj[11,1]",1.198087740141833,0.011920177952493118,0.1575291871923459,1.0391903676592165,1.1083367146852796,1.16123608867558,1.2364382001137444,1.6580607370225147,174.64517293325224,1.0070311723353178
"Rt_adj[12,1]",1.1979227152089322,0.011920237351246265,0.15753136253829308,1.0390076215464292,1.108172728334117,1.1611020961551404,1.236297617898317,1.657821919282284,174.6482558095709,1.0070315208093683
"Rt_adj[13,1]",1.1977447577773437,0.011920089085631465,0.15753059206903883,1.0388127520172694,1.1079934143142034,1.1609614248114208,1.2361422428538393,1.6575596112107234,174.65089207987026,1.007032835918875
"Rt_adj[14,1]",1.1975572893832591,0.011919676420877849,0.15752622549028056,1.0386107668791962,1.1078041037020916,1.1608157226735454,1.2359758375970396,1.6572741322290614,174.65330247340373,1.0070348463527707
"Rt_adj[15,1]",1.1973626003164237,0.011918946665084255,0.15751767171124395,1.0384048944016326,1.1076084995994375,1.1606659780081305,1.2358012256976447,1.656964754669343,174.6557205717246,1.0070373005612034
"Rt_adj[16,1]",1.1971618008971305,0.011917850982187459,0.15750435378063907,1.0381968213662198,1.107408587197371,1.160512646056948,1.2356198926968902,1.6566300091726887,174.65829839656584,1.0070400466768155
"Rt_adj[17,1]",1.1969552613517263,0.011916342444458019,0.15748568869136037,1.0379873087061025,1.1072052628287123,1.1603558776339236,1.2354324320207049,1.6562679843377965,174.66111871799586,1.0070430087592632
"Rt_adj[18,1]",1.196742967282992,0.011914373764571141,0.1574610692829755,1.0377766482674913,1.106998855331618,1.160195677298245,1.2352389639139778,1.6558764929571599,174.66422139792502,1.0070461540094178
"Rt_adj[19,1]",1.1965247272573414,0.011911895286205315,0.15742984654639786,1.0375649254920365,1.1067894384771237,1.1600319893192763,1.2350393938525377,1.6554531401300938,174.66762304920644,1.007049469981767
"Rt_adj[20,1]",1.1963002740813895,0.011908853410085962,0.15739131383622093,1.0373521491166104,1.1065769888134074,1.1598647374978353,1.2348335435712197,1.6549953391692802,174.67132816656323,1.0070529519315408
"Rt_adj[21,1]",1.1960693065383643,0.01190518940134039,0.15734469342047824,1.037138306932915,1.1063614547106275,1.1596938408330706,1.2346212077322347,1.6545003046377007,174.67533426840833,1.0070565967112095
"Rt_adj[22,1]",1.1958315026584494,0.011900838441356169,0.1572891247261191,1.036923385886684,1.1061427817641143,1.1595192183221603,1.2344021741616042,1.6539650369894399,174.67963363423067,1.0070604001242456
"Rt_adj[23,1]",1.1315451850542282,0.008111183276504903,0.07043606600223665,1.0029815672784972,1.087492989963244,1.122273985099149,1.1736127646982657,1.295421611618897,75.4087521509029,1.0146705013484472
"Rt_adj[24,1]",1.1313251467517116,0.008111233255394689,0.07044808809392718,1.0027359873306534,1.0872480307099337,1.122096268429893,1.1733438149960635,1.2952339221793314,75.43356641144669,1.0146518214321072
