,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
alpha[1],2.3291018026592667,1.3551948788585204,1.9188405430409134,0.6593938539076767,1.0233725090642556,1.5272923908914018,3.7975517677226587,5.596480178121393,2.004814840344914,1324.7876920943995
alpha[2],1.3300737172145525,0.6664822895512406,0.9436832637888823,0.5213809557605759,0.5277231878817795,0.9790546340533506,2.2040388899060295,2.8371123042797546,2.0048195054656066,859.2116212129888
alpha[3],1.6377253474337068,0.7455903734639094,1.0556924837374475,0.759437459912187,0.7665580185084115,1.2184584453266718,2.5921737502346365,3.354077877913667,2.004814869791696,1226.4627209393782
alpha[4],1.1907493467142813,0.38613994183613237,0.5467429234780631,0.6306695765379666,0.6439604735710126,1.1626478924973949,1.7404892628612454,1.8130370435456866,2.004826931182083,661.1047129992838
alpha[5],0.8928794189841527,0.6336338744792693,0.8971713794383346,0.23951460733154128,0.29826559846899475,0.4471889450237992,1.5753779889356425,2.439209524444064,2.0048138215769336,1305.1860468404177
alpha[6],1.1696116283460947,0.31954046560742605,0.4524443382169004,0.48701905969447595,0.7876719962577403,1.2213106941607692,1.538473961365308,1.754652139991249,2.0048347828290196,351.5911267188067
alpha[7],0.44640062788102824,0.1347865404699858,0.19085514070857093,0.28031362651704733,0.28428938926556363,0.37681683102739816,0.6184591120640202,0.7546253106448468,2.005001359230226,182.1606845717364
alpha[8],0.6177458780180185,0.3430338142327777,0.4857106854391576,0.1901221219133795,0.23866167848663794,0.42402000276379875,1.036707507076093,1.4284894101155532,2.004847997629998,570.4351988316442
alpha[9],-2.1941105052050967,1.3945012601658315,1.9744945935620173,-4.938999071775066,-4.153939088063068,-1.8160355762381588,-0.30806100398436637,-0.20497041487810827,2.0048139505586327,1901.1840815553712
alpha[10],-1.6274091507400545,1.4602080975806224,2.0675321226768886,-5.2001904432364245,-3.199201307228254,-0.5326397491474735,-0.26895467316975585,-0.25517220736532686,2.0048183401070276,1204.042472240557
alpha[11],-0.6315253590592154,0.38595876543420443,0.5465155154485477,-1.5098348118783862,-1.1348617133384358,-0.4420886704074166,-0.15883496292559063,-0.14803159604126434,2.0050406174986914,159.46304519797792
alpha[12],-5.131476350623915,0.7205912175648388,1.0203058684232604,-6.2837341413108145,-6.0449885323573085,-5.3325932535286,-4.178371159966305,-3.578604395471709,2.0048544077218127,389.55830870880476
alpha[13],-3.6415262171624208,2.564807018113253,3.6315471093876304,-9.189145646356474,-7.119436505385262,-2.564954765410259,-0.3810494777565443,-0.23939008591031766,2.00481349893738,1400.7607729362005
"E_deaths[1,1]",4.208687976698552e-15,2.2726917203247905e-15,3.217947418194793e-15,3.9351853822174003e-16,1.6081649128050604e-15,3.5854587125601525e-15,6.910727124791091e-15,9.28527513689123e-15,2.0048266522461717,424.3472224849011
"E_deaths[2,1]",7.529009577010462e-08,4.670800290021223e-08,6.613468909094078e-08,1.2209783908455576e-09,1.4960682784402708e-08,6.288648397374364e-08,1.3775906954116103e-07,1.7451940017118607e-07,2.0048229970077456,479.018086189736
"E_deaths[3,1]",1.5058019021098407e-07,9.341600497580798e-08,1.3226937701429249e-07,2.4419567601350895e-09,2.9921365304678824e-08,1.2577296683724432e-07,2.7551813665022493e-07,3.4903879726128186e-07,2.0048229970077456,479.0180861897359
"E_deaths[4,1]",1.249815569047824e-06,7.75352835279506e-07,1.0978358206952273e-06,2.026824095176226e-08,2.4834733010071007e-07,1.0439156166443545e-06,2.2868005164425582e-06,2.897021994776681e-06,2.0048229970077456,479.01808618973564
"E_deaths[5,1]",8.153917229276469e-06,5.058476625611637e-06,7.162386703266578e-06,1.3223195741561235e-07,1.62024191721003e-06,6.810606095227367e-06,1.4919306970343718e-05,1.8900450707938465e-05,2.0048229970077456,479.01808618973587
