,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],3.476801200376483,0.01293718649358084,0.2306383622697066,3.0717415720800463,3.313653921640315,3.458091001974513,3.6245101631700214,3.9498508690061205,317.8216029312545,1.0133690172983743
mu[2],2.843531293672051,0.01003953357121612,0.15686608147262351,2.5417275222358335,2.7377298899370084,2.846449209453689,2.9492539834195792,3.1611060854514177,244.13554953651422,1.0151220291054757
mu[3],3.005250269287185,0.010118701315605752,0.18792363023328112,2.6504000318687733,2.876203867240049,2.995486168801917,3.1207460292869262,3.3992593225945704,344.9159147688493,1.0116700786252772
mu[4],3.414940883715348,0.01103619792786241,0.18239563370961062,3.076423878795198,3.2880288417114745,3.4106680762829655,3.5339290758778397,3.7907542977756448,273.1428987367394,1.0160259156734381
mu[5],3.871569542532201,0.014631249943496235,0.27843253801747303,3.381898884443621,3.677376860337948,3.845400156593608,4.040206550743448,4.496112897341005,362.1405139510401,1.0186206196806857
mu[6],3.8410612163781153,0.01439281631606745,0.24268493336585586,3.3949484030009938,3.6682505989808103,3.835545090966243,3.99415335712085,4.342241297505438,284.31126251722253,1.0260468248464334
mu[7],2.3882576660946433,0.01040454387418149,0.17907547086290587,2.0467075163363155,2.2644891338628974,2.3854884180882507,2.5081877237240033,2.7364247299972018,296.2280036505063,1.0122848873643717
mu[8],3.6001864518365445,0.013773508484097528,0.22813293920322125,3.1796495347136906,3.4418467531562693,3.5899090272526846,3.7496276250469256,4.069941471794497,274.3385443737571,1.021339489163326
mu[9],3.011779022971951,0.010988460604440127,0.1628920871223982,2.695938551717949,2.9027905234102054,3.0058768015239856,3.1153111063579493,3.3432380245060775,219.7486748536987,1.0205497932592054
mu[10],3.472432727888752,0.012947197469906666,0.21964939288139831,3.069445297823126,3.3224862317926656,3.4593168869751896,3.607422059690247,3.9429240813219515,287.8117171688347,1.0111223714691147
mu[11],3.237211902468977,0.011613963143643307,0.17103903406562326,2.926346487633014,3.116897533439407,3.2334785084082958,3.343009916003808,3.604593261947007,216.8850332987759,1.0225617679719634
"E_deaths[1,1]",1.415535300736467e-13,1.8375925084633872e-15,4.876080237220365e-14,6.909570489467451e-14,1.067763057308499e-13,1.348525217426398e-13,1.6773680594423229e-13,2.5705952817469677e-13,704.1144604995231,1.004894559376263
"E_deaths[2,1]",1.9978944183471033e-06,2.7136720462351892e-08,6.860328569356213e-07,9.90711883438462e-07,1.5141488919172203e-06,1.8980530818748097e-06,2.3571929972076145e-06,3.68641206535423e-06,639.1092610659877,1.0051991389633088
"E_deaths[3,1]",3.995788808476403e-06,5.4273440541430945e-08,1.3720657041818712e-06,1.9814237528843354e-06,3.0282977624489474e-06,3.796106136941951e-06,4.714385961122772e-06,7.3728240786424155e-06,639.1092610659877,1.0051991389633088
"E_deaths[4,1]",4.2704992617231564e-05,5.800473920735874e-07,1.4663952119577961e-05,2.117646622339813e-05,3.236493212900116e-05,4.0570884078867805e-05,5.038499963697896e-05,7.879705683610102e-05,639.1092610659879,1.0051991389633088
"E_deaths[5,1]",0.0002687167955006084,3.6498888510194046e-06,9.227141796430994e-05,0.00013325074645446255,0.00020365302310790273,0.00025528813593333804,0.0003170424536798811,0.0004958224158393269,639.1092610659873,1.0051991389633088
"E_deaths[6,1]",0.0010718703403325865,1.4558850322809181e-05,0.00036805662255730233,0.0005315169179717036,0.0008123408690616569,0.0010183054640703288,0.0012646340251737742,0.0019777600451811777,639.1092610659875,1.0051991389633088
"E_deaths[7,1]",0.00298934948125918,4.06033174187053e-05,0.0010264766477018903,0.0014823526346723803,0.002265545247554481,0.002839961883671017,0.003526949972291347,0.005515793974934514,639.1092610659871,1.0051991389633088
"E_deaths[8,1]",0.006829555161731186,9.276094813354051e-05,0.002345058379465654,0.003386695498617125,0.005175986711594275,0.006488274899692313,0.008057737347081708,0.01260141123370358,639.1119817543379,1.0051990812530676
"E_deaths[9,1]",0.013550432988171338,0.000184045263532854,0.004652787462281648,0.006719513878872727,0.010269620668939012,0.012873306452610013,0.01598724628648667,0.02500226888334509,639.1122453867357,1.005199075459999
"E_deaths[10,1]",0.023905637364536193,0.0003246455291224113,0.008207346512235278,0.011855803559131673,0.01811864738371459,0.022711324057984074,0.028204013045933164,0.04410652929600296,639.1262962780663,1.0051987775073505
"E_deaths[11,1]",0.038610876796047335,0.0005240794090578705,0.013249741039502563,0.01915594780052994,0.029269891351948518,0.036683456840054265,0.04555026995452145,0.07122425622296828,639.1761876431381,1.0051977191981407
"E_deaths[12,1]",0.058168976540325046,0.000788626276510815,0.01993978055465382,0.02888410736164805,0.044116065519008485,0.055273705887146654,0.06862202782667817,0.10725373721537404,639.2905166204359,1.005195297430879
"E_deaths[13,1]",0.08303383596457461,0.0011236111365830177,0.028413710163623238,0.041288023084853465,0.06301859057816117,0.07892798104210917,0.09797365696996839,0.15298159265425423,639.4753703780357,1.0051913949899978
"E_deaths[14,1]",0.11282074897772991,0.0015224766387316963,0.03850836277817256,0.05621295455641677,0.08571262513868895,0.10725139070469647,0.13314040150276085,0.20750245099274026,639.7478488287446,1.0051856800424475
"E_deaths[15,1]",0.14700757562341665,0.0019763894830775426,0.0500038987203493,0.07344727542553851,0.11176906434860209,0.13976084435447,0.17348425217998809,0.2696304459179209,640.1218700276553,1.00517791009733
"E_deaths[16,1]",0.1854302008849183,0.002481353765374296,0.0628029278623297,0.0929579839218951,0.14126626898325695,0.17642818234894836,0.21867723771572756,0.33893435803581445,640.5933268204167,1.0051682402537774
"E_deaths[17,1]",0.2273419996435589,0.0030252201018214487,0.0766025963515268,0.11425396524260908,0.1734185615478513,0.21629110892553094,0.267952350902714,0.41381534162266326,641.1697501343277,1.005156606006883
"E_deaths[18,1]",0.27185636496320326,0.003593855221534816,0.09105032260724462,0.13735482444076946,0.20749834869230188,0.2587385015073036,0.32005164719341583,0.4924170834141359,641.8622330316745,1.0051428952583306
"E_deaths[19,1]",0.31849245016612393,0.00417843305609789,0.10592846423499613,0.16157951351982422,0.24357738567217513,0.3034860389371974,0.3743211015900845,0.5757485074795888,642.6854302811413,1.005126954219627
"E_deaths[20,1]",0.3664439752576936,0.004766455513334447,0.1209253589970765,0.1868249729549924,0.2806651971293318,0.34951635724480895,0.43076987678928236,0.6619025729722054,643.6409731233804,1.0051089130768684
"E_deaths[21,1]",0.4153353946567895,0.005351385701749907,0.1358801895046067,0.21304227794479622,0.3187741923807239,0.396708668742378,0.48779380224605884,0.7466930257370363,644.7328221725087,1.0050888747040168
"E_deaths[22,1]",0.4641182356837697,0.00591721889374762,0.1503941299474354,0.24027987099511794,0.3573023039754133,0.44354314883994783,0.5448155547594251,0.8309510982537401,645.9910493514686,1.0050664819572903
"E_deaths[23,1]",0.5129181330682155,0.006464579560350555,0.1644875978700877,0.26775159919294284,0.39640528845452283,0.49081015884591045,0.6008072887871074,0.9149572613873148,647.4194570226189,1.0050419011853373
"E_deaths[24,1]",0.5612079032852174,0.006985573248694015,0.17796542120122322,0.29523494147511087,0.43523291253766166,0.537122763350231,0.6558681440679007,0.9999760023224838,649.0335571281023,1.0050151126965745
"E_deaths[25,1]",0.6083232623983684,0.007470096490761135,0.1905781947042733,0.32217800073270797,0.4733146895469603,0.5822689338280339,0.710832862339119,1.0803170156273283,650.8696099040225,1.004985785135996
"E_deaths[26,1]",0.6541901327838218,0.007916912682517645,0.20229898828836712,0.3488618641234652,0.5102963726003653,0.6272728973573581,0.7629611045928155,1.1534572448085427,652.9436634979893,1.0049539896364805
"E_deaths[27,1]",0.6985124214145291,0.008321447719007235,0.21301813102990075,0.3752283931079596,0.546532890900111,0.669667860166069,0.8142428494338411,1.222148968364355,655.2927483405095,1.0049195057630225
"E_deaths[28,1]",0.741796568232567,0.008690823708892636,0.22291939212282227,0.4012175063668209,0.5826069652278022,0.7120801079624131,0.8630361077535832,1.287075903126954,657.9211068845664,1.0048826779499658
"E_deaths[29,1]",0.7834935519173236,0.009016955702672589,0.23180612416487492,0.4270750103686469,0.6183210685931787,0.753378997771111,0.9097776366746044,1.3528263295926153,660.8911539085453,1.0048430221613769
"E_deaths[30,1]",0.8238302555236076,0.009303197708483512,0.2397682050727966,0.45390545118907616,0.6539227732408774,0.7935194155533871,0.9533892251703362,1.4153062596482768,664.2303005587024,1.0048006677747647
"E_deaths[31,1]",0.8626869117239603,0.009548378874148632,0.24678146721510394,0.48174732915704604,0.6868117240298779,0.8336379237237221,0.99593314403747,1.473208830203042,667.9835960410534,1.0047555717978578
"E_deaths[32,1]",0.9002740136143899,0.00975560657549703,0.2529305902749128,0.5078866251206312,0.7199352079709191,0.8709377729428069,1.037980851287803,1.5249273444923885,672.1932693984375,1.0047078101591589
"E_deaths[33,1]",0.9367287289693277,0.009927154590071135,0.2582791242534898,0.535492462145893,0.7515492673334436,0.9073377924091179,1.0781335469793352,1.5686151110202016,676.9070548708764,1.0046574746722827
