,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],2.193830589188799,0.013336395332421888,0.12659474492098416,1.967407894762991,2.113520677070738,2.174425448268648,2.263642439905583,2.485279065182316,90.10615011450584,1.025306467995339
mu[2],2.912424114169391,0.010493719895917268,0.09969786292547894,2.7556263753681813,2.8367212881621384,2.9010863506553903,2.969191162899084,3.138137277989303,90.26362336397752,1.0035681162674925
mu[3],3.8524659334905222,0.026307558462345802,0.2432408637764049,3.4379620569931926,3.6885251033921005,3.83025554939511,4.032890018952758,4.342733169010484,85.48934420105526,1.012011544675531
mu[4],6.57157229148157,0.10993939589029354,0.9021596542673284,4.697268000623232,5.982686826907122,6.521083325600097,7.111881853779865,8.464444613163627,67.33798391314639,0.984369641235585
mu[5],2.267292936153844,0.008388558740323617,0.07444086192271777,2.1425069632600255,2.218832866048888,2.2608771863487087,2.307279848603854,2.4309915338655195,78.74955095705774,1.034233135960344
mu[6],3.2669382712482427,0.01616485207700779,0.17106565155012818,2.999630552571133,3.149439578701555,3.2448673059556494,3.3764708469792146,3.6678787139086633,111.99075232929995,0.9923073633992214
mu[7],6.912193166000899,0.03626971216308566,0.34796086986626584,6.313965389690493,6.671907635550865,6.854485367418022,7.120813181085341,7.687356196091825,92.03914967261397,0.9991078264456036
mu[8],2.855748605275559,0.013299260532705396,0.13031743655651298,2.6362310120287846,2.7948507415163037,2.847360656144553,2.9236551288965753,3.117256304753315,96.01742814545469,0.9803558952829874
mu[9],3.7940210945045174,0.11805242837492212,1.086901682207883,1.698607499704182,3.068667984220049,3.665742181218394,4.56624021568475,5.61150648571731,84.76775310217003,0.9954480539702528
mu[10],5.315657820135941,0.03233566236574443,0.37677460965806164,4.722034104625258,5.008878251105132,5.346467893469529,5.579085324915969,6.099419021401122,135.76872331173556,0.9829999389636136
mu[11],3.5380837499344686,0.019116496377673216,0.19451239399159626,3.201171013770835,3.409245290071305,3.522524780071531,3.677980615518176,3.9370009758221225,103.53280020852598,1.0000216909038517
mu[12],2.902558477089706,0.019000933672170983,0.17442557685154686,2.599922908775655,2.7854540695526016,2.886624102600484,3.0130599467730477,3.3107605988555027,84.26950676727668,1.0172581238689011
mu[13],3.517408588914803,0.017853228804831808,0.17189491062466858,3.217480822008002,3.405403201001974,3.495788698189389,3.632688648779729,3.885978974146603,92.70272389369596,1.0074385769084726
mu[14],2.1549216796123813,0.013066923935710115,0.16254943747114614,1.8734401276397543,2.0452497759715706,2.13288849474525,2.281257463569987,2.5285803962451388,154.74770458504273,0.9771615545861296
mu[15],2.69119940885961,0.030719671079738615,0.25053331436858756,2.302345287524443,2.539537346878782,2.6746805007711734,2.7900096466202813,3.3007368238125987,66.5116688689925,1.0825922757966624
mu[16],4.971650828795232,0.030794685663805277,0.3026716005697569,4.4421587511586065,4.716000725298716,4.972430503386664,5.211343961328009,5.555320147526487,96.60326299517615,0.9776319549133876
mu[17],3.8411112983656728,0.01900799952357336,0.20587929679489114,3.5162732233471887,3.6869338963629286,3.8408980897366964,3.9787159853910916,4.249318523531386,117.31472517714003,0.9883900162610832
