,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],4.217493033494889,0.03943047104209408,0.5089318266433198,3.385187477154442,3.8429178954213414,4.178514570859961,4.560164729241638,5.399208599990198,166.59244077682746,0.9902079906634692
mu[2],4.428501878685671,0.04559638307735245,0.6904732328718962,3.1449355874592086,3.982159221789372,4.355720225977586,4.844029579631684,6.065642990316836,229.31523401570334,0.9798612977073092
mu[3],2.9180656033003673,0.023727195563757773,0.3765426670641552,2.2635254578714914,2.6582281408282977,2.8747376442210886,3.186058496368251,3.678969178736123,251.84629674524135,1.0019830666130012
mu[4],2.9503097769822055,0.03567548505641658,0.5487645111374652,2.108232996809547,2.56628604061679,2.865384026330835,3.2437882172492936,4.300014684217336,236.60954579474105,0.991051630688685
mu[5],3.471441597528115,0.03500195400236767,0.5247801043411373,2.6389346295654628,3.0893320686193606,3.4552240587376906,3.7260073296569907,4.739810832190865,224.78645773476552,0.9757368174418392
mu[6],3.1978472395873236,0.03181449750471113,0.5362962354959878,2.2507223468898943,2.834663354528577,3.1498236019760872,3.577766145960566,4.41309651201475,284.15765534368643,0.9858926048006337
mu[7],3.164575442398383,0.038234629525750075,0.5917942590527977,2.189743419762261,2.7654983856346496,3.042517742722629,3.5583300783061804,4.376957933808207,239.56740172755377,0.9850678046054071
mu[8],3.301696896369842,0.04011781653111061,0.6035603864784873,2.3172889027925034,2.8927511900492933,3.2173697219245696,3.720650585490242,4.647413048234535,226.34290217136822,0.9776770453540258
mu[9],2.9502627692990746,0.031423169362037054,0.4748442741351263,2.052390608489463,2.625255346658132,2.9354138401183567,3.280265551305935,3.958487964603844,228.35074805408254,0.9905840697111471
mu[10],2.656734896962139,0.022052643946794622,0.32570882955652347,2.057133168840034,2.4342813118964095,2.639210188336518,2.855350354148006,3.4337412912684453,218.1412174655589,0.9951412582156988
alpha[1],0.1688518720738681,0.01345001855477649,0.19973310111675932,1.4061515732315415e-05,0.01591476212634068,0.10921264913928094,0.23804252247340116,0.6641258156605947,220.52321893463915,0.9921202999786883
alpha[2],0.052738146094744955,0.004930896084330103,0.06827201664234124,0.00044867638789112966,0.006081100198535345,0.02486661169762859,0.07659673857218723,0.24787685393150688,191.70514227565704,0.9943768974377684
alpha[3],0.03926641324209194,0.004099811587153561,0.059849787551987096,3.9049864933334954e-05,0.0033006493165647793,0.018186065445861793,0.05440463186969129,0.23302580601441297,213.10685957328312,0.9861042566244473
alpha[4],0.06590006774629459,0.005500647653035504,0.07404730981825282,0.00015405429217667778,0.00696518765568915,0.041284116336572835,0.09516623885021627,0.25873793880501017,181.21365342180493,1.0161580733050093
alpha[5],0.049734367853525245,0.00550137638177063,0.07809828350711828,9.473772177095583e-06,0.003936957228968427,0.01989944709552153,0.06180092737891674,0.3036435772639147,201.53025774119226,0.993747291113541
alpha[6],0.04417739987211862,0.0040698182985209296,0.05774715094272067,0.00020746449045379214,0.0038598160882254836,0.021632037498761688,0.0659565600614655,0.2087091733717285,201.33120117087336,0.9945985452482508
kappa,1.0386939323542577,0.01911718663900441,0.2666619150139246,0.5879942632214334,0.8501394351443815,1.0388256889124172,1.2131963332693543,1.6275745518662,194.569170322741,1.0011893682022763
