;mean;se_mean;sd;2.5%;25%;50%;75%;97.5%;n_eff;Rhat
mu[1];5.676943605342421;0.04501691406219966;0.4325611617746684;4.898339349388437;5.393007565547108;5.615520348879194;5.953497863171695;6.6060989902606835;92.33016357030709;1.0100863254841501
mu[2];3.67767411852378;0.08231081220097898;0.8519303821217197;2.228298432217472;3.089508659791385;3.6313618857828893;4.1006758553582285;5.230307104591952;107.12588900953163;1.0171779999908248
mu[3];4.140446858970968;0.07154462608552616;0.5618159972956108;3.147555093145489;3.703582526108577;4.146013957104537;4.5894983072587845;5.0801225637933145;61.66435113552295;1.039386292544277
mu[4];3.072970535460672;0.037309875925441445;0.35265709849655236;2.519050068359532;2.7945959600085475;3.0805709617099897;3.2747941021802256;3.828263767118808;89.34240734867977;1.0054108021188164
mu[5];4.274140264545492;0.051474568366971625;0.5358299870817119;3.39414635581854;3.8876810683227445;4.26512527269885;4.515301213831565;5.74127020540732;108.35990167045541;0.9977934514792021
mu[6];4.761652286076821;0.06166230828082719;0.5641334794844213;3.4444404817287992;4.368077602540445;4.796066652499803;5.1047106777264215;5.896905298686429;83.69975611806706;0.9935809640509163
mu[7];4.11550379409867;0.05126791457304107;0.5059307899655262;3.273841078538307;3.7608512683022006;4.060807385766182;4.384847391034144;5.187205930082265;97.3847417904979;1.0326562024802324
mu[8];3.5456788693173062;0.024883128371245067;0.3990109540119358;2.8194679723621388;3.2647855684652525;3.553260866571054;3.750115521226501;4.445975007815743;257.1341012700432;0.9839585379449539
mu[9];3.0559982040456277;0.057349012346123794;0.6230111156976457;1.9710582249946629;2.688974312684459;3.036933054959162;3.4867999558908425;4.2338784893040895;118.01567774130285;0.9869066712781086
mu[10];1.9959738725644467;0.006353865936403378;0.07748416428067656;1.8582454683283007;1.9412570204843647;1.9961515072582614;2.0442683268990147;2.1841569797236255;148.71330042608722;0.990715929402748
mu[11];3.522151800812348;0.03155952042313102;0.36192611952294834;2.9766606103999003;3.2666326447137664;3.5007945917720917;3.712027263387072;4.372577375423566;131.5161427020531;0.9839766458443443
mu[12];4.23603778068891;0.09344301315934839;0.674526474993201;3.202231254070247;3.754783238588363;4.207728997770001;4.758725181780774;5.821355333191757;52.10799131782542;1.029077155720307
mu[13];3.244684248707587;0.09140332320162875;0.9686972958673039;1.7617384134203087;2.6015656903682736;3.1483089561989326;3.6771673193235346;5.610028400763005;112.31873485794728;0.9905632884508898
mu[14];3.4143967933146113;0.0484456714660682;0.4755682551822139;2.5933389073177877;3.0469704250792544;3.410475630698303;3.8042126339086924;4.374429058758646;96.3642076921336;0.9967104953197303
mu[15];4.801146818888866;0.07246752433791404;0.6657011013844125;3.5759092448309286;4.323221348744389;4.775865037886578;5.190791657523761;6.447182989654612;84.38625251862136;0.9909799152406111
mu[16];4.0541251502244355;0.09063072797320906;0.9143493704115853;2.628067492705011;3.4253432119933658;3.9062690489867613;4.7237171348943345;6.054635588446857;101.78256789641108;1.009565131916359
mu[17];3.888688342733271;0.07732367940759831;0.9215730435368992;2.37296631279635;3.097674684136333;3.816491384057483;4.673199306370105;5.655162495329307;142.04779704041025;1.0353346414415303
mu[18];3.458879435806104;0.09287923391258446;0.791880611125456;2.183292098548502;2.8421229206746377;3.4022066811721943;4.044854176012592;4.979554894731351;72.69125550684933;1.009471992184855
mu[19];4.261935662007966;0.09683552772682338;0.9199276162481066;2.6714735477072944;3.588843887366634;4.21549614204689;4.728574637825334;6.409583571920404;90.24805809943454;0.9937409460776407
mu[20];3.3836308036461475;0.07770562697233244;0.7874411805775411;2.0627764627987557;2.7837149413919926;3.268156914135936;3.951542936034972;4.830692717478402;102.69074594641172;1.0066008836146334
alpha[1];0.03817886529811849;0.005758243862042171;0.056090154417465884;6.907078241650379e-05;0.00299867351247072;0.01566523247029341;0.04398832492661203;0.1935649472782586;94.88403927240441;0.9904300160868165
alpha[2];0.022807054471829197;0.0033179087274289197;0.028798346567608823;2.4998085547518962e-05;0.003067768296521006;0.0099753692548416;0.03105203554007628;0.10397024223999675;75.33663846968442;1.0228226444325703
alpha[3];0.03674056074830734;0.003967912373552577;0.04461918120149782;0.00018750750123389353;0.007031170461542579;0.020544141881797325;0.055747085559264956;0.16762181926764205;126.4500621869682;0.9740800296555601
alpha[4];0.022667489839164178;0.003785662678255904;0.034784239339810834;5.251392834282074e-06;0.0004943449409981482;0.009160641947971072;0.03219310251779866;0.1353576431280636;84.42696828012728;0.9729092961611004
alpha[5];0.0153865705002785;0.0019209447896195535;0.020315379289530016;1.3934260044847864e-06;0.0017591791163654269;0.008359387653331652;0.020078328371857624;0.07639598973314381;111.84590922343958;1.0117173313184034
alpha[6];0.019362262389548687;0.00258236047647009;0.025452543976440662;1.4879055882412141e-05;0.0019468629173204134;0.007844747585208301;0.03021585192465672;0.08989143735554092;97.1468360421134;0.9889575972818095
kappa;1.481896192131462;0.030997121786121722;0.2414006947972822;1.049093666126085;1.311584155176732;1.4892698385101655;1.624352290738376;2.0540229799210112;60.65048697265491;1.0262900429788788
y[1];38.652428064419404;1.5967962070737707;16.44928019386591;14.39209974056347;28.115451493042126;35.69414516983659;46.940656096487274;84.31864608055983;106.11940640134652;1.0026336107733647
y[2];143.67676187391623;12.651997935180052;125.05046885104596;26.899066766413803;70.87888216278225;113.70509330534387;170.28969784508647;440.53685050330176;97.69052060126383;1.0243588857602204
y[3];49.946548975621845;4.211116990866282;33.838135100492956;13.023202370568102;23.23063791784011;40.091541245057826;65.98709272042544;127.44163507447735;64.56813260806109;1.074709334132715
y[4];131.54021125116438;6.201967798797263;62.37059596074066;40.6015251447998;90.58840970801268;113.8402347051404;165.91871351455814;265.730649307171;101.13483578508017;0.9949768312953352
y[5];62.372435998745026;3.3961268820061945;33.57499091451086;12.878896876115846;41.65374651626374;53.426150875561675;80.0356594844688;141.2672813451268;97.73812261670784;0.9938568713008995
y[6];77.18829796564951;5.401679647153608;50.6183847255155;22.669220118892163;45.75256414175165;64.13443288039292;90.24345078258958;240.7054492329748;87.81302056476278;1.0038116294262514
