;mean;se_mean;sd;2.5%;25%;50%;75%;97.5%;n_eff;Rhat
mu[1];3.8910610518102398;0.08000403832517394;0.9269462733816954;2.3866595483469797;3.2207807589975452;3.855662387995645;4.420685684780339;6.020334952922768;134.24103970496841;0.9765271468497431
mu[2];4.193858146804945;0.054908306637695165;0.6761191241840229;3.0030153985282193;3.744753284256296;4.190758296068031;4.546553705921728;5.730195298431607;151.62483447019957;0.9845736750738535
mu[3];3.4820166522607625;0.06493663778070426;0.8180556734911395;2.086750617207719;2.931766852452751;3.394831549510215;4.0077576469153176;5.59490095770297;158.7033612797313;0.983856418715793
mu[4];3.8899576382616794;0.03128793321470907;0.33322941651887744;3.3379795979998717;3.631798183984431;3.9119791393552443;4.103343936965192;4.665102521139549;113.43130106401146;1.0067400634238581
mu[5];4.441238369117183;0.06762508748908674;0.7152591657725583;3.5280338349555542;3.942782166155877;4.282615603462264;4.74810667134774;5.933916434540169;111.86936777870716;0.9709975856645973
mu[6];3.593313486977922;0.029820591910241053;0.28356207305822967;3.1478354019878814;3.375997449026127;3.578001880813079;3.77118172489902;4.236149145125354;90.41984669785106;0.9959160614058773
mu[7];2.8690135214235433;0.09863841573221384;0.947217433518859;1.3851065053729459;2.177117153357809;2.714582657024005;3.442444009515402;5.023671702234789;92.21619291839515;0.997563839302791
mu[8];4.662972265261111;0.06503045733552028;0.4971346398440704;3.7022505252357822;4.342471329446441;4.65763945605054;4.980909475082111;5.755380666792165;58.44056880449041;1.0378110828829146
mu[9];3.944861121582029;0.06363784478927105;0.7501031986576993;2.6274131751953753;3.4284619345083165;3.983866375829951;4.344695244609256;5.539987866680603;138.93482191616323;0.9863975437533432
mu[10];3.90403576906444;0.08801704154860768;0.7005137391247996;2.708655106660916;3.329020806569407;3.943321234587912;4.3394650377787425;5.30034479036007;63.34316817500818;1.0539946839787728
mu[11];3.66688593887327;0.0451931557722131;0.41012443067435633;2.9034683925669307;3.396582014425959;3.685731381909527;3.9696956915941297;4.438233510851153;82.3542362569324;1.043690379116017
alpha[1];0.3001757377699011;0.029300854594779636;0.29711860621896435;0.00037735693473937366;0.056422660125154345;0.19866878145427327;0.44093683539594597;1.0984037845657895;102.82509602009742;0.9727585961623034
alpha[2];0.052336477631650266;0.008940006356444657;0.07360571375990195;9.285793032933212e-05;0.006898375174187539;0.018818238664007298;0.08754235367403468;0.3227815294962819;67.78715415562897;1.0377203420665104
alpha[3];0.07810537822036437;0.00827092017360603;0.08881312690233586;0.0007172543065757322;0.015874329104486908;0.047910721744557676;0.11451238584808773;0.3462071512425063;115.30460785099501;0.992908857430584
alpha[4];0.05530756443102032;0.007063321473094934;0.06359715940269531;0.0008786850800737219;0.010712064131548168;0.03230979073982235;0.0797473264325797;0.25977561813120775;81.06949929476947;1.006592843126824
alpha[5];0.9427207254833496;0.10586209110903497;0.8871743709563604;0.0031638857976842728;0.34678552295401044;0.6750549295203778;1.3979488312222208;3.150957050425231;70.23232369700682;1.040140755966925
alpha[6];0.06843246050348585;0.007953023957666104;0.08151138542353897;0.00022607980093898776;0.009181805642395704;0.03510959201873148;0.09133786819013187;0.29880529012027196;105.04417344066542;0.980551111683848
kappa;1.3665845429334829;0.02700384047922699;0.2366866256738181;0.8936850886467492;1.2097093124152272;1.347768286172509;1.516373495517485;1.8555686492078463;76.82390321964391;1.035842336915634
y[1];134.77127496985682;9.591499360876838;113.78114951157261;20.142649991882895;69.344269589004;99.76268475370657;176.25992643908808;389.5870397840976;140.72382454818768;1.0033650150710833
y[2];113.81604009325929;6.68032593611129;73.95768474517004;21.468077453216544;65.29428269871588;101.85281547959798;144.26214840250577;339.3677559590377;122.5663658569443;0.9752260815237741
y[3];98.10890552511331;7.017915376296236;73.19525849644825;14.351684372069002;49.07243397993943;79.64793848752613;127.53064404301898;348.9662955410522;108.78014755775345;0.9895875081164951
y[4];48.08680138282222;2.3938984816765005;26.337070032420307;15.870620909552633;30.199835399480527;40.63304635937343;58.31274423291944;100.23563690423263;121.03847927157162;0.9965248024586852
y[5];37.18755636755246;1.630268266106433;22.142283698168256;6.37859864239519;19.662157526415953;32.71122067880671;50.70267183018912;88.82233217443789;184.47039255242004;0.9699813577829539
y[6];69.29951728673043;3.1157386711398454;28.873124845886995;26.173104077548885;48.02878207185679;64.04571768122594;90.42883377402106;126.26703564486893;85.87475840646145;1.0092195332192844
y[7];90.37485005288228;6.027601760400704;67.31411911475178;12.21097426556937;37.02069755286921;71.43228371891047;126.55590623504182;248.15505098909907;124.71630393644276;0.9862478707456542
