,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
"prediction[1,1]",221.96557893919618,2.4377785547668482,69.28593685137703,116.908647584309,172.26804689679238,211.48277933144618,261.61524519436375,387.9202508773694,807.7959712869289,1.0027497532589926
"prediction[2,1]",221.96557893919618,2.4377785547668482,69.28593685137703,116.908647584309,172.26804689679238,211.48277933144618,261.61524519436375,387.9202508773694,807.7959712869289,1.0027497532589926
"prediction[3,1]",221.96557893919618,2.4377785547668482,69.28593685137703,116.908647584309,172.26804689679238,211.48277933144618,261.61524519436375,387.9202508773694,807.7959712869289,1.0027497532589926
"prediction[4,1]",221.96557893919618,2.4377785547668482,69.28593685137703,116.908647584309,172.26804689679238,211.48277933144618,261.61524519436375,387.9202508773694,807.7959712869289,1.0027497532589926
"prediction[5,1]",221.96557893919618,2.4377785547668482,69.28593685137703,116.908647584309,172.26804689679238,211.48277933144618,261.61524519436375,387.9202508773694,807.7959712869289,1.0027497532589926
"prediction[6,1]",221.96557893919618,2.4377785547668482,69.28593685137703,116.908647584309,172.26804689679238,211.48277933144618,261.61524519436375,387.9202508773694,807.7959712869289,1.0027497532589926
"prediction[7,1]",123.71940531376856,1.229001360987647,35.09659429903352,69.2830291895956,99.00221282141814,118.60053233220975,142.9485249736496,205.65808100771866,815.5023620804537,1.003177301279404
"prediction[8,1]",143.89653047619578,1.4241740746433116,40.673128342992634,80.76168399667795,115.34310053640206,138.03830758343682,166.21309635005662,239.13074821783607,815.6221337675426,1.0031854539838319
"prediction[9,1]",155.91816497865312,1.5309144925487677,43.73920291427603,88.00242990900489,125.30931051560117,149.73819395177694,180.05603548942986,257.690017756149,816.2813235795112,1.0032128571896772
"prediction[10,1]",162.1167497222706,1.5735514713148369,44.989581867051484,92.25280972303568,130.59211682226174,155.72078368142888,187.02850061062458,267.0571826801193,817.4515223380322,1.0032568265519743
"prediction[11,1]",165.08113314304907,1.5799380956538769,45.216961382574404,94.50827827733465,133.303142689528,158.33812427979075,190.15802065419842,269.7025674348822,819.0729926041515,1.0033132229322408
"prediction[12,1]",166.4875257187611,1.5684922760980418,44.94461386719901,96.17698233483088,134.88371371150882,159.9047756944588,191.14269695395183,269.1329617323855,821.0895756316943,1.003378205531198
"prediction[13,1]",167.22746488888612,1.5492537779135538,44.45721210117847,97.55639782750359,136.26688046369208,161.03511825994116,191.57523887984243,267.13237689894834,823.4539587169976,1.0034486362036106
"prediction[14,1]",167.7121240658729,1.52701427055689,43.890246248415686,98.82623196798,137.31447679759728,161.87249787927087,191.24712343959618,265.48102748627036,826.1327584931677,1.0035222355004596
"prediction[15,1]",168.10456674531954,1.5037899643534025,43.30048136150116,100.18184650298176,137.99941430630167,162.6573500011484,191.38105437307158,265.22652691217723,829.1079591737448,1.0035974943731147
"prediction[16,1]",168.45607899721213,1.4803114432601958,42.70831794110214,101.15106820770626,138.80332518441247,163.21309384697332,191.35763654806487,265.9601537401139,832.3744511863996,1.0036734509037073
"prediction[17,1]",168.77478598415428,1.4567937058093694,42.11962537363236,102.34108707280855,139.57279496640876,164.0219172402791,191.46025046646585,265.2992583563524,835.935726707654,1.0037494568301488
"prediction[18,1]",169.05586674928242,1.4332861048129786,41.53562341873939,103.11902319306131,140.1396571421654,164.44611273747702,191.48724122881873,264.1113032040987,839.7996425391876,1.0038250001370443
"prediction[19,1]",169.2929000483862,1.409809773518878,40.95673649447519,104.39418685781364,140.80400033570538,164.73939874093875,191.50545014541552,262.8840586262136,843.9751394017895,1.0038995951397742
"prediction[20,1]",169.48108787362727,1.3864003329275898,40.38377361448766,105.33947009933543,141.59667080886567,165.31746229735631,191.37822995150952,262.8396994315282,848.4699961900769,1.0039727252385433
"prediction[21,1]",169.6175231123128,1.3631142953809467,39.81809073111632,106.6069343652128,142.20176685132427,165.26142898787776,190.99966535698985,261.70566210485873,853.2893377168969,1.0040438187393985
"prediction[22,1]",169.70067169871746,1.3400246425233628,39.26145442817962,107.35938141569135,142.65551917516996,165.33366084208808,190.69234799760426,261.5233622228855,858.4345681616626,1.0041122426446287
"prediction[23,1]",169.72983407933862,1.3180241999038909,38.71587283279748,108.26681385081692,143.26874195227617,165.5715722266213,190.60984909132316,260.32840918613846,862.8421270927884,1.0041773053567962
"prediction[24,1]",169.7047736926866,1.2968546593951324,38.18346694465571,108.54705075824864,143.66655369154654,165.58302782809284,190.6703109405642,259.5268496590608,866.8982046539968,1.0042382638652314
"prediction[25,1]",169.62550245361086,1.2761860328584234,37.666386075454334,109.27064031953743,143.984958814457,165.67552984655111,190.36116041788034,257.2235441661356,871.1239071587096,1.0042943337526395
"prediction[26,1]",169.49217117257984,1.2561083504717219,37.1667538406256,109.25231741144431,144.2017669693151,165.53979665313415,190.20123001616005,254.8569361243965,875.4977958958373,1.0043447016793836
"prediction[27,1]",169.3050189333763,1.236711148081611,36.68663130374549,109.48460874694167,144.21768458868348,165.65406396128415,189.94207684815834,253.94098975942703,879.9928002317702,1.0043885404647037
"prediction[28,1]",169.06435204282513,1.2180823728331216,36.227988437445916,109.94199440962723,144.33574801766196,165.70989916005203,189.31358243401968,254.54913092517205,884.575942834095,1.0044250268800983
"prediction[29,1]",168.77053619550392,1.2107232789998077,35.79267905577696,110.57479145718969,144.42067068965514,165.45811323854412,188.97649677207636,252.82563184287818,873.9742291825532,1.0044533620577656
"prediction[30,1]",168.42399396185576,1.2133719298335162,35.38241709073468,110.54260372581645,143.81419636411403,165.07300467248498,188.67341269338723,251.68488200510336,850.3292294326876,1.0044727941192928
"prediction[31,1]",168.02520341485732,1.200137903674885,34.99875344393548,110.87963385164001,143.88388549625174,164.76828564581797,187.9977064105318,250.054710515126,850.4383735218794,1.0044826423153561
"prediction[32,1]",167.57470219606702,1.1874297570816161,34.64305473260566,111.2136060090919,143.50546148627907,164.27450397586875,187.27332767900137,249.66661653391458,851.1703828206561,1.0044823216655216
"prediction[33,1]",167.07306742868332,1.1751470270528115,34.31647856828664,111.45442058223043,143.55429937770074,163.5516141252884,186.75486612079004,248.5601749382182,852.7486078222147,1.0044713668575793
"prediction[34,1]",166.5209451368529,1.16368034399803,34.019960986127366,111.51712657266971,142.94835866248383,162.96360332587778,186.02119795917886,246.38158056628777,854.6734740322458,1.0044494539670024
"prediction[35,1]",165.91902640767825,1.1548867407389949,33.75419582973162,111.13561848734187,142.64875928769055,162.4102354946712,185.35002732864587,244.58830430783405,854.2337792710166,1.004416418597875
"prediction[36,1]",165.26803836600044,1.146919951607887,33.519621206069004,110.36816482969267,141.66431292183947,161.89449214191598,185.37990522127944,243.26059025948092,854.145759093256,1.0043722689361125
