,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],3.3181719900392728,1.8223894248729515,2.5804771010638894,0.2634209604375269,0.7713860048133463,3.2206065086803655,5.874566741111247,6.57749049942287,2.005015091749596,1267.070745469982
mu[2],1.5410404826336992,0.9550921106232209,1.3523969345484774,0.3321426499519965,0.3654350697466082,1.0833612861731607,2.8041496984652086,3.6689946572769236,2.0050159880648786,1029.1317692831392
mu[3],1.6420989144718794,0.737558247276601,1.0443811270127,0.2030223219940705,0.7474012732039039,1.619044021930765,2.5346186085195344,3.135667060972925,2.005050812070182,512.8026398646126
mu[4],2.8069940774623006,1.9159995136438415,2.7130265282391255,0.1461687152515012,0.4355317550744543,2.007972996221177,5.339033281526829,7.058438516521125,2.0050134565383995,2671.306196942945
mu[5],2.6399581804723122,0.9998435653651491,1.415766335396287,0.8969252384941755,1.2150980222488212,2.7579080762622232,4.036607060759119,4.152809295395842,2.005021577011491,949.6645592588243
mu[6],2.5839820564565184,1.3884632735598137,1.9660436324266062,0.21870450710032063,0.7811478595452107,2.3292416227009975,4.438527776992059,5.453598788663069,2.0050144666502874,1951.3132405639803
mu[7],3.5477932856918777,1.5178093279209914,2.14920410598884,1.0128622766750945,1.4860329176530707,3.3414259008733374,5.6415363869954716,6.512050612223975,2.0050300604307503,862.4178230028324
mu[8],3.1915360763371883,1.479904519154545,2.0955235834333847,0.3328052456178223,1.1018111598961935,3.5429698207540787,5.212551277048455,5.347011438901026,2.005015401077838,1200.787585174864
mu[9],0.5941763232949454,0.3130952938118747,0.4433382994825761,0.13672777365814265,0.19891518330680957,0.4818823403037581,1.0109304763568676,1.2772997705903235,2.005014061793113,1325.2388192695441
mu[10],1.597816627058637,1.4450193217533065,2.04612523844578,0.16969849626189198,0.26685577274096395,0.5485588497961845,3.1389015406554837,5.123947077551603,2.0050126464082796,8081.495123535168
mu[11],1.280979107083639,0.8159341275014975,1.1553504048268912,0.1450887131472464,0.3794377593680263,0.8951954988116033,2.258935124821207,3.1900576016621285,2.0050132401173832,2274.5392912848033
mu[12],1.5677526203948127,1.1331246411941882,1.6044912273654122,0.3246773777345279,0.3526399928238714,0.8413634700456141,2.921389700742305,4.275624046540097,2.0050228482239127,647.4257222598527
mu[13],2.7732374773560777,1.219299864047841,1.7265104286750272,0.48644256294064236,1.1255269294896664,2.780340243680479,4.419699165617736,5.044316895681782,2.0050137772954586,1436.9319152332155
mu[14],0.7821865694165137,0.757887525885712,1.0731579545026821,0.15019930989657812,0.15221400799670187,0.1693098772056824,1.5326407584150223,2.643460588465796,2.0050157105130086,970.8449107472535
mu[15],0.8067053370078154,0.3881404393291485,0.5496020825571097,0.1414584939829043,0.31012390503458775,0.7337593225977879,1.315872145046117,1.6208911874596856,2.0050211271108878,1120.510542413953
"E_deaths[1,1]",1.508938244461892e-15,1.0469179098765137e-15,1.482419939041046e-15,2.579568360059746e-16,4.28482243372418e-16,8.785346617290857e-16,2.7147303857961687e-15,4.0212046362300415e-15,2.005013202177015,2367.239355043821
"E_deaths[2,1]",2.2256041206665224e-08,1.1151483761133483e-08,1.579034459568551e-08,2.141056068553185e-09,9.842044373379176e-09,2.0268375530868076e-08,3.5067190449088405e-08,4.6384537464296024e-08,2.0050162787251598,1070.362724086266
"E_deaths[3,1]",4.45120821382836e-08,2.230296738445358e-08,3.15806889962292e-08,4.2821121106465565e-09,1.9684088625127412e-08,4.053675081125348e-08,7.013438046480594e-08,9.276907435535799e-08,2.0050162787251598,1070.3627240862656
"E_deaths[4,1]",5.722981956595193e-07,2.867524361660444e-07,4.060374276376937e-07,5.5055726823146485e-08,2.530811380237284e-07,5.211867931746788e-07,9.017277436946788e-07,1.1927452349148274e-06,2.0050162787251598,1070.362724086271
"E_deaths[5,1]",3.513275033051948e-06,1.760341343533343e-06,2.4926186519952528e-06,3.3798098952834194e-07,1.5536369855761737e-06,3.199507812368464e-06,5.535606424343067e-06,7.322130466948016e-06,2.0050162787251598,1070.362724086259
"E_deaths[6,1]",1.3410854378784518e-05,6.719565417732695e-06,9.51481038326561e-06,1.2901391979621512e-06,5.930534664960782e-06,1.2213143847774143e-05,2.113048678419002e-05,2.7949996658644577e-05,2.0050162787251598,1070.3627240862606
"E_deaths[7,1]",3.789885827240233e-05,1.8989383541562887e-05,2.6888700750835245e-05,3.6459125745625995e-06,1.6759595354527193e-05,3.451414762056391e-05,5.971441499862664e-05,7.898623996363875e-05,2.0050162787251598,1070.362724086269
"E_deaths[8,1]",8.706247584784506e-05,4.362300690743332e-05,6.17695659272286e-05,8.375510615059043e-06,3.8500711753303756e-05,7.928703236961932e-05,0.00013717783917714882,0.0001814496821392056,2.0050162787333825,1070.3618104667376
"E_deaths[9,1]",0.00017176581474307102,8.606395597211152e-05,0.00012186535452861091,1.6524070056067087e-05,7.595817275945356e-05,0.00015642562335753147,0.00027063855642214926,0.00035798260339480565,2.005016278734108,1070.3617301940326
"E_deaths[10,1]",0.000302641426921674,0.00015163936433863643,0.00021471921302167502,2.9114522436270415e-05,0.00013383458195785654,0.0002756134016800011,0.0004768486967706506,0.0006307435637916383,2.0050162787867833,1070.3558815384001
"E_deaths[11,1]",0.00048777667380998924,0.00024440005470508067,0.0003460670495415523,4.6925149192701245e-05,0.0002157090286360666,0.00044421747018492323,0.0007685477969544033,0.0010165834192914754,2.0050162789624717,1070.3363707987317
"E_deaths[12,1]",0.0007318885082574787,0.0003667060958406266,0.0005192506883907535,7.041038158624304e-05,0.0003236740447293477,0.0006665384392825502,0.001153160393614226,0.001525322478913145,2.0050162793379784,1070.2946780375285
"E_deaths[13,1]",0.0010313101582513295,0.0005167144218253531,0.0007316603741247861,9.921859884115614e-05,0.0004561194769391138,0.0009392454831149271,0.0016248959266488227,0.0021493007363709562,2.0050162799709015,1070.2244166291591
"E_deaths[14,1]",0.0013742607168502948,0.0006885143572188196,0.0009749266732864096,0.00013221797659735668,0.0006078508354332285,0.0012516212048599125,0.0021651745139680666,0.002863941105609436,2.0050162808966263,1070.1216819075842
"E_deaths[15,1]",0.001751633980247988,0.0008775348644207387,0.0012425770608147902,0.00016853410335698472,0.0007748574840428346,0.0015953848177854136,0.0027596293949642783,0.003650239277650287,2.005016282111516,1069.986911484447
"E_deaths[16,1]",0.0021444608042686824,0.0010742632673667895,0.0015211417208934222,0.00020634369729415143,0.000948766767763257,0.0019532731172899843,0.0033783540129768584,0.00446863596458136,2.005016283622636,1069.8193659588928
"E_deaths[17,1]",0.0025393686757769706,0.0012719926919315008,0.0018011238138844223,0.00024436157138176483,0.0011236778792466564,0.0023131173976414596,0.004000263568082891,0.005291240883943808,2.005016285419641,1069.6202489110553
"E_deaths[18,1]",0.00291341576007929,0.0014592231363146013,0.002066239498577496,0.0002803816452400847,0.0012894551201352827,0.002654031906684389,0.0045891992287948324,0.006070225009624101,2.0050162875304216,1069.3865374584288
"E_deaths[19,1]",0.00325539786572532,0.001630340626999318,0.0023085394672154053,0.00031332607616133326,0.0014411439642221086,0.002965813223588865,0.005127507175123852,0.0067822370411566675,2.0050162899284736,1069.1212453965293
"E_deaths[20,1]",0.003555037483056613,0.001780200930374156,0.0025207395571140573,0.00034220511768782817,0.0015741890834248572,0.0032390939481823817,0.005599005908878363,0.007405873764530361,2.0050162925678885,1068.8295340176035
"E_deaths[21,1]",0.0038004147717605875,0.0019028359549562689,0.002694389034406826,0.00036587121659547163,0.0016833107664469024,0.0034630124309155933,0.005984924058500855,0.007916306147783853,2.0050162954804165,1068.5079776710631
"E_deaths[22,1]",0.003992873955085377,0.001998930380732658,0.002830457396261645,0.0003844515261130268,0.0017690816940102046,0.003638776623712171,0.006287404702977201,0.00831637014213604,2.005016298599923,1068.1639703819292
"E_deaths[23,1]",0.0041218973044648685,0.002063222928233126,0.0029214947446730274,0.00039693254912620015,0.0018268338204159025,0.0037567955243839914,0.006489895329193841,0.008584172143727547,2.0050163019808243,1067.7915991772584
"E_deaths[24,1]",0.00419375769683779,0.0020988716957383072,0.0029719729023883683,0.0004039148246375664,0.001859311716468461,0.0038227598591135106,0.006602313553977634,0.008732832172228493,2.0050163055467864,1067.399371733414
"E_deaths[25,1]",0.004209921136787959,0.00210662171755499,0.00298294682745075,0.0004055373513830289,0.0018671431787328826,0.003837989424847991,0.006626992883720565,0.008765437988671104,2.0050163093080906,1066.9862391977763
"E_deaths[26,1]",0.00417404812138843,0.002088319249392398,0.002957030791949484,0.000402149917573529,0.0018519231709078468,0.0038058000783349312,0.0065697283040939665,0.008689656150871729,2.0050163132478813,1066.5541423887346
"E_deaths[27,1]",0.004091096788302513,0.0020464583039379786,0.002897756282789298,0.00039422761794876944,0.001815825238013853,0.0037306929588910393,0.006438353932216934,0.008515850174963369,2.0050163173638693,1066.1034219195199
"E_deaths[28,1]",0.00396589479362856,0.0019834633340110887,0.002808556291111525,0.00038223380821518905,0.0017609734081751496,0.003617056478146418,0.0062404888596131036,0.00825409869310835,2.0050163216962322,1065.6297717022399
"E_deaths[29,1]",0.003804609815558689,0.0019024334681556033,0.002693819139393316,0.0003667601215480495,0.0016900778865057019,0.0034704946181782275,0.005985870936615413,0.007917283250152743,2.0050163262251064,1065.1354768100923
"E_deaths[30,1]",0.0036213149944269367,0.0018104236816287225,0.002563534573615585,0.0003491597149914257,0.001609354995170489,0.0033038183759098428,0.005696682336669011,0.00753474533671866,2.005016330860844,1064.6304140669738
"E_deaths[31,1]",0.00341878132305015,0.001708823355489982,0.0024196699378625608,0.00032969897735467745,0.0015200281803463686,0.003119549822399233,0.005377291343775858,0.0071122631298375745,2.005016335649414,1064.109640708351
"E_deaths[32,1]",0.003202252654840989,0.0016002613886800944,0.002265947716148537,0.00030888209301093024,0.0014244134634147229,0.0029224623168914417,0.005035963663762683,0.006660770110620698,2.00501634058144,1063.5742677939938
"E_deaths[33,1]",0.0029801720704946883,0.0014889670395075907,0.002108356478927246,0.00028752152238031717,0.0013262467401398232,0.0027202465391313237,0.004685999889953928,0.006197859285276051,2.0050163455829435,1063.0323979157874
"E_deaths[34,1]",0.0027569207620121,0.0013771312722411103,0.0019499986009066373,0.0002660395669270613,0.0012274737124926985,0.002516898553922051,0.004334293623962743,0.005732648578986055,2.0050163506558105,1062.483868141199
"E_deaths[35,1]",0.002536957188222511,0.0012669873590919925,0.001794036364218051,0.0002448652571985029,0.0011300671636996942,0.0023164795091606023,0.003987868381928264,0.005274428159421139,2.0050163556981517,1061.9397358181482
"E_deaths[36,1]",0.002318290162904626,0.0011575275649100046,0.0016390428301063314,0.00022380900151285863,0.0010331662944382562,0.002117190764306828,0.003643564041344848,0.004819016911618857,2.0050163609539213,1061.3736702808503
"E_deaths[37,1]",0.0021046683863967354,0.001050625806555683,0.0014876714385978567,0.00020323227946365067,0.0009384373919994967,0.0019224525928465642,0.0033072773047334437,0.004374214116044562,2.005016366418321,1060.786317112813
"E_deaths[38,1]",0.001904799003356208,0.0009506413746543227,0.0013460948841011449,0.0001839733851760151,0.0008497375282139,0.001740199437440265,0.0029927197561637146,0.003958156166706006,2.0050163717677187,1060.2125669494048
"E_deaths[39,1]",0.0017132139695708961,0.0008548277613262061,0.0012104241500414269,0.00016550760499053815,0.0007646619190503328,0.0015654615055951224,0.00269126048432052,0.0035594259215151964,2.0050163773482415,1059.6166377601492
"E_deaths[40,1]",0.0015322118991589343,0.0007643303824488412,0.0010822811292944532,0.0001480572943490025,0.0006842394259138717,0.0014003413457979183,0.0024065069831521496,0.0031827944361087377,2.005016383216582,1058.9958274105402
"E_deaths[41,1]",0.0013667424655709292,0.000681627554940198,0.0009651750838533507,0.00013209893588460192,0.0006106621378682429,0.0012493490037775675,0.002146254339541707,0.0028385723498348045,2.005016388939515,1058.391793713907
"E_deaths[42,1]",0.0012143249772268217,0.0006054704632928207,0.000857337708525652,0.0001173950221996995,0.0005428446139492415,0.0011102339592832433,0.001906580579777005,0.002521571290451756,2.005016394710413,1057.7840576408619
"E_deaths[43,1]",0.0010749513624339756,0.0005358519497211293,0.0007587588680135947,0.00010394536501631932,0.0004807893822914902,0.0009829934179604216,0.0016874659474960087,0.0022317647888311903,2.005016400478459,1057.1780696921392
