,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
"prediction[1,1]",201.95640384739465,3.555011069216894,57.10205552461442,106.10707681542506,160.69015190013306,195.79831408536688,236.20960634444992,327.1794102847048,258.0011069662649,1.011684916371578
"prediction[2,1]",201.95640384739465,3.555011069216894,57.10205552461442,106.10707681542506,160.69015190013306,195.79831408536688,236.20960634444992,327.1794102847048,258.0011069662649,1.011684916371578
"prediction[3,1]",201.95640384739465,3.555011069216894,57.10205552461442,106.10707681542506,160.69015190013306,195.79831408536688,236.20960634444992,327.1794102847048,258.0011069662649,1.011684916371578
"prediction[4,1]",201.95640384739465,3.555011069216894,57.10205552461442,106.10707681542506,160.69015190013306,195.79831408536688,236.20960634444992,327.1794102847048,258.0011069662649,1.011684916371578
"prediction[5,1]",201.95640384739465,3.555011069216894,57.10205552461442,106.10707681542506,160.69015190013306,195.79831408536688,236.20960634444992,327.1794102847048,258.0011069662649,1.011684916371578
"prediction[6,1]",201.95640384739465,3.555011069216894,57.10205552461442,106.10707681542506,160.69015190013306,195.79831408536688,236.20960634444992,327.1794102847048,258.0011069662649,1.011684916371578
"prediction[7,1]",113.95919985596747,1.8219732377351738,29.640612462710973,64.51613206839346,92.78865876872777,109.6717616895281,132.20836952397048,179.00621811289236,264.66125004315006,1.0105228438130915
"prediction[8,1]",132.59382275969278,2.112799138926332,34.38005998882362,75.17435286454344,108.04688652736755,127.65233405455379,153.7655519456066,208.0075636652407,264.78710897469415,1.010493688829028
"prediction[9,1]",143.79753717922154,2.2742189928806287,37.04179758911572,81.77997515590397,117.35059694171548,138.51943051609774,166.59785921916426,225.00461582630817,265.2891841638349,1.0103996477003097
"prediction[10,1]",149.70901767787566,2.3419789693545834,38.20653926584868,85.52512610429274,122.23758505365477,144.34933464276338,173.067203775192,233.97915637976058,266.1395515646924,1.0102472509403904
"prediction[11,1]",152.69163578569376,2.356859525850041,38.53212786701345,88.0694403434349,124.95195655628511,147.4119192733095,176.0992918455409,237.5011230188745,267.28746301968863,1.0100471932841109
"prediction[12,1]",154.27115949560556,2.3457510522201055,38.45065264557126,89.97586670235657,126.31013162200075,149.22604913095694,177.78060182765768,237.67582887554823,268.6851053623308,1.009809486661468
"prediction[13,1]",155.2562013491019,2.323259833293741,38.195711553637956,91.61931418103387,127.71975354822385,150.4703458667379,178.2138682578108,237.1590761118701,270.2922801637321,1.0095425526007449
"prediction[14,1]",156.017743044539,2.2963210194932526,37.8774827150122,92.64291843463451,129.05314396679785,151.08412504885644,179.13672463352873,237.7063737532555,272.08024815163975,1.0092526685071128
"prediction[15,1]",156.70157562600698,2.2678268098367687,37.54144030307247,93.24364974375679,130.34244980858318,152.0653197969386,179.7894750253968,238.67739695381738,274.03251144854823,1.0089440097831563
"prediction[16,1]",157.35256081781336,2.238804942692619,37.20343534895777,93.82404783891789,130.8603345629051,153.0886048367003,180.23574573415178,238.16391086079807,276.1427048525866,1.0086191501211166
"prediction[17,1]",157.97690992046284,2.209540436612054,36.86764241760957,94.48971543281561,131.38926097043122,153.55678007893044,180.56585528315495,238.17963098545118,278.4112788763058,1.008279694003374
"prediction[18,1]",158.56944820849444,2.1800829436190776,36.53459916736852,96.04798240780654,132.07009302437686,154.3564398194843,180.68121390413268,238.05378859502446,280.8423895676203,1.0079268119384333
"prediction[19,1]",159.12375475397073,2.1504445984106155,36.20429143986076,97.59836745333507,132.93164933647125,155.00846785262075,181.1129116647642,238.2813267294756,283.44159796519097,1.0075616019821911
"prediction[20,1]",159.63497916298672,2.1206606499675034,35.877065175077455,98.45514921796064,133.93376150579547,155.71321534933196,181.22095061726463,239.31371708422364,286.21438891570085,1.0071852958547052
