,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
"prediction[1,1]",201.63850082712182,2.4599314356597866,59.16954335399088,109.19428840777107,159.38774348030122,193.22857933668212,237.75847893117233,343.7893855842971,578.5626988477361,1.0014941968849365
"prediction[2,1]",201.63850082712182,2.4599314356597866,59.16954335399088,109.19428840777107,159.38774348030122,193.22857933668212,237.75847893117233,343.7893855842971,578.5626988477361,1.0014941968849365
"prediction[3,1]",201.63850082712182,2.4599314356597866,59.16954335399088,109.19428840777107,159.38774348030122,193.22857933668212,237.75847893117233,343.7893855842971,578.5626988477361,1.0014941968849365
"prediction[4,1]",201.63850082712182,2.4599314356597866,59.16954335399088,109.19428840777107,159.38774348030122,193.22857933668212,237.75847893117233,343.7893855842971,578.5626988477361,1.0014941968849365
"prediction[5,1]",201.63850082712182,2.4599314356597866,59.16954335399088,109.19428840777107,159.38774348030122,193.22857933668212,237.75847893117233,343.7893855842971,578.5626988477361,1.0014941968849365
"prediction[6,1]",201.63850082712182,2.4599314356597866,59.16954335399088,109.19428840777107,159.38774348030122,193.22857933668212,237.75847893117233,343.7893855842971,578.5626988477361,1.0014941968849365
"prediction[7,1]",114.0149581597254,1.219842435706598,30.19351489090545,65.50410889961853,92.5470240562159,110.29948253021237,132.67025133780683,182.07478172955686,612.660486289745,1.001749826623706
"prediction[8,1]",132.66369756559178,1.4137368910471337,35.01197654820409,76.32351771867172,107.74209335251922,128.37599017718128,154.33419710217348,211.40050582147032,613.3326379909994,1.0017554653918046
"prediction[9,1]",143.89364328750702,1.5186173680084558,37.688181252510155,82.8991080004881,117.10033006164053,139.40687245490957,167.33889708546897,228.86810429352522,615.9048653120046,1.0017731119332045
"prediction[10,1]",149.8433301196299,1.5586562925705842,38.81726188538129,86.59899125880997,122.24235053009411,145.46771001060364,174.1965966768911,236.9594069883552,620.2247330072598,1.0018014142885519
"prediction[11,1]",152.87335030906073,1.5618297322713566,39.07783331637754,88.71467614417134,125.17142791291786,148.51200555017016,177.6114723487018,239.53076668122887,626.0277431536413,1.001838136716343
"prediction[12,1]",154.5067138202121,1.5467516902167073,38.917648577958765,90.23010170945841,127.02276804682995,150.38582498875655,179.41562109945582,239.94346397878894,633.0703674740705,1.0018811244842576
"prediction[13,1]",155.55001709771577,1.5236382800023187,38.58003471877036,91.86357604365351,128.05427707493558,151.29459081889357,179.97393000924777,240.37308784304525,641.1527030018262,1.0019285253912034
"prediction[14,1]",156.37298956894963,1.4974090727007219,38.180565543965834,93.0997594377929,129.16908359015838,152.31946444026718,180.4612474265936,240.75352134461696,650.1353695074768,1.0019789146395495
"prediction[15,1]",157.12073072984174,1.470163281307624,37.76749878533576,94.5260842890847,130.19691412976806,153.10808669505178,181.20930799523134,240.3633311433038,659.9412948483066,1.0020312854722102
"prediction[16,1]",157.8377525472398,1.4424944300709979,37.35809463627996,95.51977360805576,131.48722848132138,153.9995787985107,181.6295047954657,239.6386414232425,670.7198292939668,1.0020849448063238
"prediction[17,1]",158.5300951978547,1.414238645993485,36.957299617077815,97.10639177873746,132.4994948808351,154.5893368016246,181.79364773622535,240.06236758407567,682.8967724740767,1.0021393840021575
"prediction[18,1]",159.19249104929463,1.3861076408524895,36.566167374066175,98.55859886318608,133.4794700054137,155.69847596349638,181.83822201551186,240.03134018281446,695.9290580220382,1.0021941713134137
"prediction[19,1]",159.818451180393,1.358152909081819,36.18511476433438,99.39190610004684,134.40870974578996,156.23567101587645,182.15023606354174,240.16121487385698,709.8434386389448,1.0022488807460948
"prediction[20,1]",160.4030577870831,1.3304420023509593,35.814896590907445,100.38969742673649,135.06833968554582,157.05058128615516,182.3732481403314,240.36127160937906,724.6620340689734,1.0023030532475776
"prediction[21,1]",160.94313672754973,1.3030663412309569,35.45672015864796,101.62182555551526,135.9410653682668,157.85782220319214,182.26699864735173,240.6320307851687,740.396003086068,1.002356180308501
"prediction[22,1]",161.4367566716805,1.2761371727307524,35.11211311554172,102.44874716331975,136.63995856593488,158.43313177699054,182.2647464652704,239.73632333789277,757.0406761273015,1.0024077010928
"prediction[23,1]",161.8827303838051,1.2497797443287078,34.782769034688414,103.11867387151007,137.25225314755724,158.71613114299618,182.5141230819575,239.06501260041045,774.571195770091,1.0024570072119978
"prediction[24,1]",162.28027692863077,1.2241286063521037,34.47043083126236,104.14364555603828,137.95431595928216,159.20422225929548,182.3710492608657,239.22270938744424,792.9381789319026,1.002503451939433
"prediction[25,1]",162.62882965906886,1.1993242865795875,34.17681362530525,104.43963936758394,138.71160132114946,159.88187468840368,182.85764428008852,238.74991225875692,812.0632998387536,1.002546362392596
"prediction[26,1]",162.92794005582576,1.1755108651259198,33.90355475431781,105.11840697532338,138.83774978655268,160.01170647063356,183.32382744646145,237.37498319706768,831.8349751074547,1.00258505406221
"prediction[27,1]",163.17723476695534,1.1528339404469523,33.65217933768318,105.57635138041348,138.94365714023596,160.35314688173855,183.65452663004967,237.1757803551269,852.1045441306375,1.002618847348351
"prediction[28,1]",163.37639901538748,1.1314386309649174,33.424073991727056,106.05107664347013,139.78619878382918,160.73811612764484,183.87560806080108,236.78732423911543,872.6834951680155,1.002647085721748
"prediction[29,1]",163.52517162187775,1.1114674083748817,33.22046481781353,106.42474013615744,140.30209416768045,160.87725724350133,183.71467422817872,236.1177814635683,893.3423953241528,1.0026691549517632
"prediction[30,1]",163.62334461948228,1.0930576755991261,33.042398108786465,106.94717662166754,140.46662600562072,160.9953044747984,183.57659132475413,235.00588820730337,913.8122221144683,1.0026845026367734
"prediction[31,1]",163.67076375331646,1.0763390785739713,32.890723316941305,107.18635423001697,140.56854925507818,160.75616638371736,183.31402496452878,235.3107200982764,933.7887380839965,1.0026926571051757
"prediction[32,1]",163.66733393066096,1.0614306455693323,32.766079492318006,108.22973205753841,140.55371395672822,160.74288355896653,183.20733966719175,235.00872595797097,952.9403495060194,1.0026932446468024
"prediction[33,1]",163.61300227352567,1.048437660925979,32.668880685499225,108.71384308012217,140.5788669917245,160.49704786789795,183.11154070658307,234.32447838587564,970.9196346999715,1.0026860040885126
"prediction[34,1]",163.50778695284265,1.0374489138607383,32.59931327767776,108.5886996238115,140.52268447703753,160.631436846026,183.204930708579,233.29323465336307,987.3780362785378,1.0026707976614355
"prediction[35,1]",163.35175670093994,1.0285337939844357,32.55732804153554,108.50463732685049,140.49424857227243,160.63836335649853,183.19077721221512,233.11951752140334,1001.983060777505,1.0026476175981949
"prediction[36,1]",163.14502399837303,1.021739907761232,32.5426392891421,108.24122403006197,140.28030983572407,160.37250355421517,182.90677461466234,233.32721753386244,1014.4364170499041,1.0026165878241458
