,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],3.319722368029898,0.02554482635266089,0.3008567562413778,2.804053515327894,3.0984325899745926,3.303035230913408,3.523963969116517,3.9371876951009286,138.71187041889237,1.0088233617552924
mu[2],3.51690631320382,0.029510602070939546,0.31521728224537937,2.9242095799388226,3.3246231569901203,3.50029616931121,3.7344491852190913,4.161295272407064,114.09428749607508,0.9891707218925192
mu[3],2.0951624174513213,0.022977084424428276,0.204290808312433,1.7853012444395242,1.9359849996603717,2.063127842952608,2.229055574592971,2.5306753297650717,79.0510810896115,1.0383937677096167
mu[4],3.1746739503858747,0.033365579117042854,0.3335839286936665,2.5786487642322466,2.962961525814354,3.136236819864635,3.3513641427625913,4.10948629207234,99.95692882316058,0.9998500051936619
mu[5],3.5200509074325774,0.03153873134479985,0.3188574872807437,2.8699044398885203,3.3326261042724363,3.4940413694129653,3.738143677813202,4.1523794427557235,102.21268558688536,1.0157440706831973
mu[6],3.4339429230570175,0.0352423378564723,0.4120439864414748,2.6407508857361206,3.147569766122663,3.443027547951858,3.73128354469966,4.152319675129892,136.69660855230043,0.9829761058057117
mu[7],3.8292902326769878,0.043645202112428276,0.3904048554686011,3.1656233850661684,3.561065049561946,3.767029185129952,4.087928892671406,4.707035523192718,80.01241940948861,1.0757590817127411
mu[8],2.6107879322338774,0.024962641429412222,0.28054798586737884,2.0339216765778505,2.4001128008837957,2.6120851426088203,2.8070136275129616,3.1495439364461384,126.30869071487774,1.0320670971698378
mu[9],3.650250622519596,0.04801666964556097,0.4245087530806542,2.7696489983197594,3.359712555958674,3.614763421163638,3.905505423224734,4.52498221849385,78.16084202421406,1.052165417254634
mu[10],3.1624122834367916,0.05343979525911778,0.6405936118936415,1.5875072828558747,2.7922633398127035,3.107017685529785,3.5605029667318626,4.387999614014207,143.693007878572,1.0062524059505478
mu[11],3.326611554312599,0.059284676759743464,0.6889207941794845,1.8406817131552395,2.87776664847706,3.3843835429076456,3.7994780128510315,4.58820376673934,135.03727782305612,1.0214091572887496
mu[12],3.2836410616686327,0.058573807519507505,0.7152503372438033,1.913870265681534,2.7508249020284827,3.298467540093479,3.7589905296431394,4.908783447130416,149.11084489799134,0.9805552977270433
mu[13],3.1827907957617385,0.057380598583142796,0.6487908789833461,1.6820974671457636,2.8034039337037155,3.15461131512662,3.6654798192589277,4.3893538985197145,127.84369744065961,0.9937587271856607
mu[14],2.908930377574664,0.04972109013502628,0.5499984906264207,1.7774875874913283,2.5770399819865126,2.910730727007799,3.240531953195145,4.050515999767989,122.36063196176806,0.9923511484347267
mu[15],3.2728438200175765,0.06199983423700058,0.6779991775684934,1.832337033406299,2.8622474891714145,3.222932382780657,3.6877032598223423,4.453205860499326,119.58515681757498,0.9923850347137109
mu[16],3.3294782527449267,0.0593333269531069,0.7231062360746758,1.8250344255706425,2.8869455598698277,3.3308799460230083,3.748918567578005,4.860643793126797,148.52747979829286,0.995513163705403
mu[17],4.029607080438967,0.04264258048546782,0.3951745083967329,3.3055118537042145,3.732543838191538,4.002845389389095,4.274219117880442,4.970249218007224,85.8797729790937,1.0123615987112011
mu[18],3.168189177977298,0.10674820000997812,0.8256184742736817,1.6048057772260875,2.6475298544464256,3.19696496376235,3.6344751483394564,5.202110109827486,59.81879815980041,1.0571485941579517
mu[19],2.6337616150407244,0.04588836527826009,0.5544420248899342,1.4922338975834282,2.2897419261406617,2.618958599338746,2.977702190402265,3.9351997398134926,145.9846215966082,0.9925129454311923
mu[20],3.416084636471087,0.058117214218790625,0.7099067634115652,2.1155651761777765,2.956367899225106,3.372753704916744,3.8272324062483714,5.148503195731765,149.2083233175256,1.0061480778156382
alpha_hier[1],0.4813642344047731,0.03371951924560078,0.4144691928046454,1.5565938054244692e-07,0.043688906739323505,0.4598844585875953,0.8158333416288852,1.2593131071761083,151.08514386438918,1.0045142909734486
alpha_hier[2],0.2567669656492799,0.028557455169090886,0.33952271558226504,9.643912223825831e-09,0.0010058624441121125,0.0685070546280844,0.46468814657091917,1.0288650126496413,141.35092806321404,1.000223512425436
alpha_hier[3],0.23851210329498787,0.03326754726849646,0.3015679080053368,3.3512794898231654e-09,0.0050306620818592425,0.11273651817015658,0.35649831993866443,1.1331325523519782,82.17291271305191,1.0739469959614867
alpha_hier[4],0.0664396905597711,0.010871856191265938,0.13880630144567468,1.0783485085996025e-09,0.00023515125501292084,0.0054349791353672985,0.06624986447719101,0.5181249852394546,163.00876858695315,0.9957012994403985
alpha_hier[5],0.08469702273796235,0.014322599290354423,0.1853490987656373,2.8312996556489387e-11,0.00016550812613656704,0.009648779755487901,0.07940996743669283,0.5757448773117059,167.47009784383772,0.9996892203743643
alpha_hier[6],0.06418289915732758,0.010472523583592849,0.15156225721074795,1.5267599301989857e-11,2.821934322506757e-05,0.002989204618971862,0.04823152731052541,0.570941133365902,209.44955166629342,1.0016260411228664
alpha_hier[7],0.0952553384743164,0.014065933314843654,0.17022507118087776,1.6902923846559347e-10,0.00017364053448607765,0.006950769924092668,0.11295514541898774,0.6299012487383163,146.45693483257193,0.9906950950630256
alpha_hier[8],0.06824928351235009,0.012632442252646217,0.1321617918282154,8.546817669625676e-11,5.0155720475494494e-05,0.008459204429618259,0.07494660557058698,0.48122914381088633,109.4554001504418,1.0387642608138337
gamma,0.16162443796409978,0.009882946738580896,0.12489071770970014,0.00615099389653323,0.06066007191938677,0.12036332412997626,0.24320927034962272,0.4415672020785622,159.69356383600152,0.9946701954107842
kappa,0.6805742298065894,0.026326025627141127,0.17577629038859677,0.41368651077483537,0.5542825217119257,0.6559909861382204,0.7670826306509846,1.0069891810451317,44.5810189108486,1.0963004014629065
y[1],410.33265511769605,15.998544785887571,177.54416298533934,136.9787960942777,290.87726604257506,399.0862334887994,519.9240310461272,735.511144540289,123.1549394029399,1.0192789106330704
y[2],97.58797558499447,5.525914109559569,58.9942774221417,28.511542593253942,57.9795176138982,83.13143453623299,129.4498689360613,248.06656330167553,113.97550146699425,0.9876253453794719
y[3],73.79304305324538,3.5165807753220926,32.990987960051726,25.569704404717562,50.3764425916856,66.99273364572218,90.838078843824,153.7161482825666,88.01353155674491,1.010898262014116
y[4],97.81953078174412,3.4193343105571636,48.1193253962478,28.705674152574765,61.47750824396239,93.75842044178371,122.12785946192903,223.7987607919592,198.04137458938092,0.9871086377127289
y[5],270.8241569322071,10.330669610641253,120.77818421478473,107.04266399965871,178.29229532697352,239.49538005192048,321.56482255889034,571.5013897439513,136.6847451605944,1.0138528712887127
y[6],129.12875813102596,5.080841399974563,62.94802763229949,41.9350855493173,80.92062581482473,122.23668352879928,158.26223848449195,304.27517677393087,153.49455588245746,1.0013591220208904
y[7],101.99812109216717,6.6261953870996955,62.94209272218915,26.00718146711163,54.066779575423084,85.45039921714816,136.0568553649126,269.4133650841622,90.23060746192411,1.0368649059974833
y[8],126.4502767907006,5.515541457227075,61.155120538992705,44.89621054283757,81.40562659475451,113.42307266154695,163.51292448222063,275.95730302104295,122.93890666127605,1.0351847300951738
y[9],79.65028949320568,5.226671641011178,58.161033936326824,14.04979947572019,39.3750124758724,61.36815122320539,101.56717303863557,230.25442934878743,123.82655854542449,1.01275158452111
y[10],124.12458268127708,10.199557975563529,114.74952757664667,1.185268665200841,35.62767955364032,94.40092808363514,174.30402979287393,411.9116118663575,126.57242787098859,1.003346384644922
y[11],117.72235494401436,13.6818963669699,145.5297542850309,2.5305261065262874,20.645649053509693,54.71949021797759,160.20318430125386,554.9725099665156,113.13865175217983,1.013248835074996
y[12],108.84685616494632,10.02469526443815,118.38069681608656,2.4786540349194848,26.951698494885733,70.75567332658571,154.05178374570835,457.9450693492533,139.4502909781993,1.0044658597730534
y[13],114.89710492296585,13.04306586429923,169.82370364933132,3.1452862333066562,30.63836878061647,68.76498607165374,161.65503810173468,419.6874303340714,169.52636168326796,0.9913531566166431
y[14],78.46355835009298,4.397300803668985,45.603890620236506,22.268453446632375,42.95663609888683,71.86747993528488,102.26783229716781,196.58261974841096,107.55520698080066,1.0163328478680507
