FIPS,workplaces,retail_and_recreation,parks,grocery_and_pharmacy,residential,transit_stations
01000_0,,,,,,
1123,-0.23931936649260768,-0.6498154874926192,-0.34845815321172197,-0.29263955522298263,0.49185339001754036,-0.47942972878720286
1127,-0.2035142382358247,0.04475926712841162,0.08155451109053971,0.1677304805129673,0.14964180959990794,-0.1637199688029825
4023,0.25807403708721044,-0.13054094507886224,0.3058881140886865,0.6859443401765383,-0.020972408811771093,0.7070184106735142
05000_0,,,,,,
08000_0,,,,,,
12000_0,,,,,,
13000_0,,,,,,
13015,0.327035592035694,-0.3016142472393198,-0.18704766140822954,0.02659085560847003,-0.016655843680191303,0.024397717454880008
13045,-0.14365688315107583,-0.6086505337430964,-0.27882495448551203,-0.24617777153751425,0.3451429948731188,-0.3211573316050004
13137,-0.3711398624981179,-0.741714418615185,-0.1865665079364422,-0.5865408865363549,0.6067948320385678,-0.2698270442189651
13261,0.3182720969052374,-0.18593351818438328,0.040793664880779304,0.03288862262557969,-0.06921345866563858,0.03896848735136616
13285,0.28048565837193423,0.4190895120794272,0.09152117706709469,-0.4149971596407912,-0.43558255897475795,0.6783152044216454
16000_0,,,,,,
17000_0,,,,,,
18000_0,,,,,,
18067,-0.6106863017356488,-0.8037318740645567,-0.6845807913070385,-0.5885507727360304,0.696105390818574,-0.305022893569299
18095,0.2021372415244055,-0.39814241777834386,-0.376412457260694,0.2620777976042683,0.11813529819920995,0.06328532703836476
19000_0,,,,,,
21000_0,,,,,,
22001,0.009556639420335904,0.3315671982674295,0.38068294277024206,-0.2741985484559085,-0.3212276855226709,0.6178771350462604
22000_0,,,,,,
22063,-0.35406227343905416,-0.5794395585423987,0.048759155293321386,-0.532246056402332,0.4721661453300713,-0.36784734244538103
22079,0.21929174287853312,0.2882343268344492,0.028234505275573644,-0.03725296274957436,-0.37937428862846617,0.49161237453404666
22089,0.28667258428182035,0.1200618497596555,0.07455028189763252,0.5551203681271787,-0.11877016951053142,0.05779325498455539
22095,0.3038928528123624,0.11251516937821822,0.06444908866816093,0.5663864143076165,-0.10501924246090068,-0.04531083296347485
22097,0.19313169539539926,-0.2337758952830173,-0.20920538835013788,0.057793028658303706,0.022211895403355938,-0.14443413269782168
22117,-0.045495483000164344,-0.3368844063675963,-0.49036864144298237,0.11743982551831765,0.2825867243862097,-0.38388456930436665
26000_0,,,,,,
27000_0,,,,,,
28000_0,,,,,,
28095,-0.22575683970845933,-0.2031718621245974,0.018162122511001133,0.4668362624685836,0.16138945954245743,-0.2870665743862534
28099,-0.30108487062292055,-0.6263864219323658,-0.5770443543873848,-0.23084918592089082,0.6650326712795368,-0.6170537206139771
29000_0,,,,,,
31000_0,,,,,,
36073,-0.4782265488508723,-0.7345932220831599,-0.6557465725355037,-0.6393491567302307,0.6360067494518027,-0.622755302714675
37000_0,,,,,,
37037,-0.2968714909692696,-0.6864226877721779,-0.3224404860113604,-0.6190384088102027,0.38160350853795766,-0.815871437430238
37155,-0.18681846643475344,-0.5288448543520686,-0.5041410463313578,-0.08021460084192239,0.4484829451001635,-0.6960631235186423
39000_0,,,,,,
39169,-0.22588706167764203,-0.6418069030110047,-0.48453324607304615,-0.42648104307835366,0.48006807003947644,-0.4827292180773755
40000_0,,,,,,
45000_0,,,,,,
45027,-0.38426197779476967,-0.646953457720032,-0.5798102841599324,-0.24191939825427106,0.49556832543105694,-0.5119565283330085
45075,-0.29159058600476123,-0.4504813545362925,-0.0011454139039058968,-0.455240537070228,0.18943465489867486,-0.0968318280258526
47000_0,,,,,,
48000_0,,,,,,
48091,0.16678346212603934,0.37085018829362426,0.5490495233798586,0.461517822433309,-0.212419835281906,0.296219151208905
51000_0,,,,,,
55000_0,,,,,,
