,index,Cluster,County,R_0 (std),R_8/2 (std),# (\%) infected as predicted,Measured cases,Population,Fatality rate (measured death/cases)
0,1064,1,"Kenedy County, TX",3.777 (0.083),1.235 (0.028),204 (46.3),6,442,16.67\%
1,659,1,"Issaquena County, MS",3.376 (0.067),1.058 (0.020),160 (12.2),21,"1,308",4.76\%
2,1015,1,"Cottle County, TX",3.777 (0.083),1.235 (0.028),409 (29.5),14,"1,389",14.29\%
3,999,1,"Briscoe County, TX",3.777 (0.083),1.235 (0.028),204 (13.5),11,"1,516",9.09\%
4,1092,1,"Oldham County, TX",3.777 (0.083),1.235 (0.028),204 (9.6),13,"2,131",7.69\%
5,1019,1,"Culberson County, TX",3.777 (0.083),1.235 (0.028),409 (18.6),15,"2,204",13.33\%
6,1024,1,"Dickens County, TX",3.777 (0.083),1.235 (0.028),204 (9.1),4,"2,249",25.00\%
7,22,1,"Sedgwick County, CO",2.912 (0.092),0.810 (0.238),105 (4.6),11,"2,303",9.09\%
8,311,1,"Clay County, GA",3.128 (0.064),1.014 (0.014),286 (9.9),80,"2,887",2.50\%
9,1110,1,"Schleicher County, TX",3.777 (0.083),1.235 (0.028),204 (7.1),35,"2,895",2.86\%
10,142,1,"Perkins County, NE",0.970 (0.028),0.939 (0.027),129 (4.4),17,"2,929",5.88\%
11,332,1,"Glascock County, GA",3.128 (0.064),1.014 (0.014),0 (0.0),22,"2,995",0.00\%
12,1043,1,"Hall County, TX",3.777 (0.083),1.235 (0.028),204 (6.8),8,"3,028",12.50\%
13,294,1,"Baker County, GA",3.128 (0.064),1.014 (0.014),429 (13.9),58,"3,092",5.17\%
14,1011,1,"Coke County, TX",3.777 (0.083),1.235 (0.028),204 (6.1),39,"3,370",2.56\%
15,1017,1,"Crockett County, TX",3.777 (0.083),1.235 (0.028),614 (17.6),153,"3,499",1.96\%
16,1121,1,"Upton County, TX",3.777 (0.083),1.235 (0.028),204 (5.6),16,"3,671",6.25\%
17,1101,1,"Reagan County, TX",3.777 (0.083),1.235 (0.028),614 (16.4),58,"3,741",5.17\%
18,1114,1,"Sutton County, TX",3.777 (0.083),1.235 (0.028),204 (5.4),58,"3,758",1.72\%
19,1030,1,"Fisher County, TX",3.777 (0.083),1.235 (0.028),204 (5.3),24,"3,839",4.17\%
20,587,1,"Tyrrell County, NC",3.679 (0.104),1.032 (0.056),120 (2.9),91,"4,131",1.10\%
21,1014,1,"Concho County, TX",3.777 (0.083),1.235 (0.028),204 (4.8),26,"4,276",3.85\%
22,681,1,"Sharkey County, MS",3.376 (0.067),1.058 (0.020),160 (3.7),180,"4,377",0.56\%
23,135,1,"Furnas County, NE",0.970 (0.028),0.939 (0.027),129 (2.7),15,"4,715",6.67\%
24,921,1,"Putnam County, MO",3.517 (0.096),1.213 (0.041),151 (3.2),10,"4,757",10.00\%
25,737,1,"Carlisle County, KY",3.302 (0.115),1.076 (0.034),139 (2.9),26,"4,771",3.85\%
26,1016,1,"Crane County, TX",3.777 (0.083),1.235 (0.028),409 (8.5),75,"4,794",2.67\%
27,1055,1,"Hudspeth County, TX",3.777 (0.083),1.235 (0.028),409 (8.5),22,"4,795",9.09\%
28,17,1,"Ouray County, CO",2.912 (0.092),0.810 (0.238),105 (2.2),12,"4,833",8.33\%
29,926,1,"Scotland County, MO",3.517 (0.096),1.213 (0.041),151 (3.1),12,"4,966",8.33\%
30,78,1,"Ringgold County, IA",1.193 (0.333),0.914 (0.032),52 (1.1),21,"4,968",4.76\%
31,978,1,"Pickett County, TN",3.637 (0.079),1.226 (0.025),182 (3.6),22,"5,082",4.55\%
32,379,1,"Schley County, GA",3.128 (0.064),1.014 (0.014),143 (2.7),51,"5,236",1.96\%
33,1060,1,"Jim Hogg County, TX",3.777 (0.083),1.235 (0.028),204 (3.9),53,"5,248",1.89\%
34,1045,1,"Hansford County, TX",3.777 (0.083),1.235 (0.028),409 (7.5),59,"5,463",3.39\%
35,39,1,"Audubon County, IA",1.193 (0.333),0.914 (0.032),52 (1.0),28,"5,506",3.57\%
36,871,1,"Mahnomen County, MN",1.012 (0.032),1.172 (0.034),143 (2.6),23,"5,519",4.35\%
37,134,1,"Fillmore County, NE",0.970 (0.028),0.939 (0.027),129 (2.3),24,"5,527",4.17\%
38,1047,1,"Hartley County, TX",3.777 (0.083),1.235 (0.028),409 (7.3),82,"5,619",2.44\%
39,275,1,"Iron County, WI",1.463 (0.432),0.998 (0.030),109 (1.9),72,"5,676",1.39\%
40,132,1,"Dixon County, NE",0.970 (0.028),0.939 (0.027),258 (4.5),56,"5,709",3.57\%
41,1080,1,"Martin County, TX",3.777 (0.083),1.235 (0.028),614 (10.7),45,"5,753",6.67\%
42,790,1,"Cotton County, OK",2.922 (0.079),1.090 (0.027),264 (4.6),17,"5,776",11.76\%
43,1018,1,"Crosby County, TX",3.777 (0.083),1.235 (0.028),204 (3.5),52,"5,779",1.92\%
44,794,1,"Greer County, OK",2.922 (0.079),1.090 (0.027),"1,056 (18.2)",80,"5,821",10.00\%
45,1031,1,"Floyd County, TX",3.777 (0.083),1.235 (0.028),"1,023 (17.5)",83,"5,837",6.02\%
46,188,1,"Ohio County, IN",3.361 (0.085),0.954 (0.022),466 (8.0),50,"5,844",8.00\%
47,7,1,"Crowley County, CO",2.912 (0.092),0.810 (0.238),105 (1.8),72,"5,858",1.39\%
48,1076,1,"Lynn County, TX",3.777 (0.083),1.235 (0.028),819 (13.9),65,"5,877",6.15\%
49,864,1,"Grant County, MN",1.012 (0.032),1.172 (0.034),143 (2.4),49,"6,021",2.04\%
50,895,1,"Carter County, MO",3.517 (0.096),1.213 (0.041),151 (2.5),20,"6,054",5.00\%
51,382,1,"Stewart County, GA",3.128 (0.064),1.014 (0.014),715 (11.5),248,"6,199",2.02\%
52,886,1,"Wilkin County, MN",1.012 (0.032),1.172 (0.034),431 (6.9),28,"6,254",10.71\%
53,383,1,"Talbot County, GA",3.128 (0.064),1.014 (0.014),429 (6.8),126,"6,272",2.38\%
54,125,1,"Antelope County, NE",0.970 (0.028),0.939 (0.027),129 (2.0),18,"6,336",5.56\%
55,306,1,"Calhoun County, GA",3.128 (0.064),1.014 (0.014),858 (13.5),194,"6,352",3.09\%
56,84,1,"Wayne County, IA",1.193 (0.333),0.914 (0.032),52 (0.8),15,"6,401",6.67\%
57,139,1,"Howard County, NE",0.970 (0.028),0.939 (0.027),517 (8.0),55,"6,468",7.27\%
58,956,1,"Hancock County, TN",3.637 (0.079),1.226 (0.025),182 (2.8),74,"6,549",1.35\%
59,1035,1,"Garza County, TX",3.777 (0.083),1.235 (0.028),409 (6.2),97,"6,578",2.06\%
60,902,1,"Gentry County, MO",3.517 (0.096),1.213 (0.041),"1,365 (20.6)",79,"6,628",11.39\%
61,312,1,"Clinch County, GA",3.128 (0.064),1.014 (0.014),572 (8.6),174,"6,648",2.30\%
62,511,1,"Lafayette County, AR",3.130 (0.340),1.030 (0.207),309 (4.6),49,"6,682",4.08\%
63,76,1,"Pocahontas County, IA",1.193 (0.333),0.914 (0.032),52 (0.8),113,"6,740",0.88\%
64,392,1,"Treutlen County, GA",3.128 (0.064),1.014 (0.014),429 (6.3),99,"6,809",3.03\%
65,378,1,"Randolph County, GA",3.128 (0.064),1.014 (0.014),"3,719 (54.4)",259,"6,833",10.04\%
66,21,1,"Saguache County, CO",2.912 (0.092),0.810 (0.238),210 (3.1),107,"6,843",1.87\%
67,10,1,"Huerfano County, CO",2.912 (0.092),0.810 (0.238),105 (1.5),6,"6,889",16.67\%
68,597,1,"Charles City County, VA",0.929 (0.040),1.044 (0.028),612 (8.8),50,"6,941",10.00\%
69,82,1,"Van Buren County, IA",1.193 (0.333),0.914 (0.032),52 (0.8),31,"7,020",3.23\%
70,994,1,"Bailey County, TX",3.777 (0.083),1.235 (0.028),819 (11.7),158,"7,027",2.53\%
71,459,1,"East Carroll Parish, LA",3.373 (0.067),1.018 (0.130),137 (2.0),501,"7,037",0.20\%
72,609,1,"King and Queen County, VA",0.929 (0.040),1.044 (0.028),122 (1.7),35,"7,042",2.86\%
73,662,1,"Jefferson County, MS",3.376 (0.067),1.058 (0.020),961 (13.5),191,"7,106",3.14\%
74,1000,1,"Brooks County, TX",3.777 (0.083),1.235 (0.028),204 (2.9),85,"7,114",1.18\%
75,11,1,"Kit Carson County, CO",2.912 (0.092),0.810 (0.238),315 (4.4),43,"7,163",6.98\%
76,1020,1,"Dallam County, TX",3.777 (0.083),1.235 (0.028),"1,023 (14.2)",179,"7,200",2.79\%
77,627,1,"Rappahannock County, VA",0.929 (0.040),1.044 (0.028),245 (3.4),40,"7,252",5.00\%
78,149,1,"Thurston County, NE",0.970 (0.028),0.939 (0.027),517 (7.1),201,"7,303",1.99\%
79,823,1,"Tillman County, OK",2.922 (0.079),1.090 (0.027),132 (1.8),55,"7,348",1.82\%
80,1115,1,"Swisher County, TX",3.777 (0.083),1.235 (0.028),409 (5.5),75,"7,462",2.67\%
81,1070,1,"La Salle County, TX",3.777 (0.083),1.235 (0.028),204 (2.7),357,"7,531",0.28\%
82,1037,1,"Goliad County, TX",3.777 (0.083),1.235 (0.028),614 (8.1),77,"7,584",3.90\%
83,826,1,"Boise County, ID",1.387 (0.401),1.116 (0.039),156 (2.0),38,"7,634",2.63\%
84,805,1,"Major County, OK",2.922 (0.079),1.090 (0.027),132 (1.7),25,"7,644",4.00\%
85,1007,1,"Castro County, TX",3.777 (0.083),1.235 (0.028),614 (8.0),170,"7,665",1.76\%
86,1132,1,"Winkler County, TX",3.777 (0.083),1.235 (0.028),204 (2.7),68,"7,720",1.47\%
87,652,1,"Franklin County, MS",3.376 (0.067),1.058 (0.020),320 (4.1),114,"7,788",1.75\%
88,72,1,"Monroe County, IA",1.193 (0.333),0.914 (0.032),369 (4.7),66,"7,790",10.61\%
89,520,1,"Newton County, AR",3.130 (0.340),1.030 (0.207),463 (5.9),94,"7,805",3.19\%
90,400,1,"Wheeler County, GA",3.128 (0.064),1.014 (0.014),143 (1.8),83,"7,879",1.20\%
91,393,1,"Turner County, GA",3.128 (0.064),1.014 (0.014),"2,574 (32.5)",225,"7,912",8.00\%
92,354,1,"Lincoln County, GA",3.128 (0.064),1.014 (0.014),572 (7.2),129,"7,915",3.10\%
93,144,1,"Richardson County, NE",0.970 (0.028),0.939 (0.027),129 (1.6),20,"7,937",5.00\%
94,1077,1,"McCulloch County, TX",3.777 (0.083),1.235 (0.028),204 (2.6),41,"7,987",2.44\%
95,764,1,"Lyon County, KY",3.302 (0.115),1.076 (0.034),559 (7.0),30,"8,009",13.33\%
96,497,1,"Cleveland County, AR",3.130 (0.340),1.030 (0.207),309 (3.9),68,"8,018",2.94\%
97,385,1,"Taylor County, GA",3.128 (0.064),1.014 (0.014),286 (3.6),70,"8,039",2.86\%
98,394,1,"Twiggs County, GA",3.128 (0.064),1.014 (0.014),429 (5.2),93,"8,188",3.23\%
99,928,1,"Shannon County, MO",3.517 (0.096),1.213 (0.041),151 (1.9),43,"8,189",2.33\%
100,1108,1,"San Augustine County, TX",3.777 (0.083),1.235 (0.028),"2,252 (27.4)",155,"8,232",7.10\%
101,239,1,"Greene County, AL",3.438 (0.069),0.979 (0.238),"1,770 (21.5)",240,"8,233",4.58\%
102,658,1,"Humphreys County, MS",3.376 (0.067),1.058 (0.020),"1,762 (21.3)",269,"8,257",4.09\%
103,206,1,"Warren County, IN",3.361 (0.085),0.954 (0.022),116 (1.4),19,"8,263",5.26\%
104,876,1,"Murray County, MN",1.012 (0.032),1.172 (0.034),143 (1.7),122,"8,276",0.82\%
105,118,1,"Oscoda County, MI",2.875 (0.075),0.935 (0.074),110 (1.3),24,"8,276",4.17\%
106,646,1,"Choctaw County, MS",3.376 (0.067),1.058 (0.020),640 (7.7),126,"8,278",3.17\%
107,292,1,"Atkinson County, GA",3.128 (0.064),1.014 (0.014),286 (3.4),293,"8,297",0.68\%
108,381,1,"Seminole County, GA",3.128 (0.064),1.014 (0.014),286 (3.4),145,"8,315",1.38\%
109,519,1,"Nevada County, AR",3.130 (0.340),1.030 (0.207),"1,391 (16.7)",130,"8,326",6.92\%
110,337,1,"Hancock County, GA",3.128 (0.064),1.014 (0.014),"4,863 (58.3)",282,"8,348",12.06\%
111,362,1,"Marion County, GA",3.128 (0.064),1.014 (0.014),572 (6.9),143,"8,351",2.80\%
112,904,1,"Harrison County, MO",3.517 (0.096),1.213 (0.041),151 (1.8),60,"8,414",1.67\%
113,1157,1,"Liberty County, FL",3.647 (0.407),1.276 (0.029),319 (3.8),409,"8,457",0.49\%
114,473,1,"Red River Parish, LA",3.373 (0.067),1.018 (0.130),"1,513 (17.8)",189,"8,477",5.82\%
115,1044,1,"Hamilton County, TX",3.777 (0.083),1.235 (0.028),409 (4.8),55,"8,484",3.64\%
116,1134,1,"Yoakum County, TX",3.777 (0.083),1.235 (0.028),204 (2.4),85,"8,591",1.18\%
117,387,1,"Terrell County, GA",3.128 (0.064),1.014 (0.014),"4,291 (49.8)",292,"8,611",10.27\%
118,70,1,"Lucas County, IA",1.193 (0.333),0.914 (0.032),210 (2.4),43,"8,645",9.30\%
119,346,1,"Jenkins County, GA",3.128 (0.064),1.014 (0.014),"3,147 (36.2)",230,"8,683",9.57\%
120,798,1,"Kiowa County, OK",2.922 (0.079),1.090 (0.027),132 (1.5),27,"8,729",3.70\%
121,1155,1,"Lafayette County, FL",3.647 (0.407),1.276 (0.029),159 (1.8),110,"8,732",0.91\%
122,697,1,"Wilkinson County, MS",3.376 (0.067),1.058 (0.020),"1,922 (21.9)",187,"8,792",6.42\%
123,402,1,"Wilcox County, GA",3.128 (0.064),1.014 (0.014),"2,574 (29.2)",166,"8,812",10.84\%
124,747,1,"Gallatin County, KY",3.302 (0.115),1.076 (0.034),"1,118 (12.7)",79,"8,832",10.13\%
125,839,1,"Allendale County, SC",1.243 (0.034),1.159 (0.024),524 (5.9),189,"8,903",1.59\%
126,743,1,"Crittenden County, KY",3.302 (0.115),1.076 (0.034),139 (1.6),26,"8,915",3.85\%
127,129,1,"Cuming County, NE",0.970 (0.028),0.939 (0.027),0 (0.0),58,"8,940",0.00\%
128,512,1,"Lee County, AR",3.130 (0.340),1.030 (0.207),927 (10.3),885,"8,985",0.68\%
129,273,1,"Forest County, WI",1.463 (0.432),0.998 (0.030),436 (4.9),59,"8,991",6.78\%
130,647,1,"Claiborne County, MS",3.376 (0.067),1.058 (0.020),"2,082 (23.1)",400,"9,002",3.25\%
131,53,1,"Davis County, IA",1.193 (0.333),0.914 (0.032),52 (0.6),49,"9,017",2.04\%
