FIPS,workplaces,retail_and_recreation,parks,grocery_and_pharmacy,residential,transit_stations
01000_0,,,,,,
1123,0.34957517705213365,0.18293212600532252,0.2057175968024391,0.32199290924153473,-0.2095797572830906,0.31949843818703466
1127,-0.002607570334879794,0.22441427904533534,-0.03537863406040845,0.22924212968032406,0.05203306843858358,-0.1453099594645606
4023,0.2798410689522317,-0.11834549884102052,0.30967552712265656,0.740623358342104,-0.04449352345763878,0.8723509233484743
05000_0,,,,,,
08000_0,,,,,,
12000_0,,,,,,
13000_0,,,,,,
13015,0.6178668239944167,0.3441012822669127,-0.08962825951385384,0.4093361950472104,-0.4656688867791381,0.31756083862664847
13045,0.457851256570259,0.8255103660940218,0.4745349501955362,0.5872815700310227,-0.6447412604919274,0.6721546157148994
13137,0.3927421196823576,0.678222131323064,0.23209241104114223,0.5320504223126439,-0.5052825304358681,0.4829915670490842
13261,0.5523036255248828,0.3933256194198562,0.1134735873874781,0.2685097981133966,-0.5378822223368509,0.41529880102877925
13285,-0.226633087295238,-0.23716350910047795,-0.10879385399620575,0.5117662706199798,0.37194735070839224,-0.4998142452770194
16000_0,,,,,,
17000_0,,,,,,
18000_0,,,,,,
18067,0.40687963951714956,0.6016659857684771,0.34792308774766234,0.495251761669446,-0.3833731113842715,0.13532268858754015
18095,0.5942948018191371,0.23750966826469075,-0.015014505235348481,0.4869102571168934,-0.3610416595946921,0.43363983181513105
19000_0,,,,,,
21000_0,,,,,,
22001,0.4568923958355033,0.58303196921758,0.41107442793910526,0.3973768847954347,-0.465657264788231,0.5405673769960173
22000_0,,,,,,
22063,0.5473636471359198,0.7211926261899014,0.047289107686221146,0.39214962569497036,-0.6402924567411046,0.7442916701571874
22079,0.4545577442066071,0.5742090896574822,0.2351570885156627,0.47145646125822954,-0.5799771589889213,0.43891071636453766
22089,0.7193493674879935,0.7119307952622689,0.2693249043733803,0.40836615026686646,-0.6260744213777706,0.469949165667877
22095,0.8086446234152495,0.7259616616906615,0.2802797327526605,0.4183221356689003,-0.6697074925398998,0.5495388049721672
22097,0.5455331881249678,0.3939902316441424,0.26480534610070466,0.18257025656085354,-0.5451285539838466,0.45562099956652413
22117,0.4233270588050921,0.32613941065839674,0.23806448926359797,0.22323698238174386,-0.37322415305145407,0.40119255016376726
26000_0,,,,,,
27000_0,,,,,,
28000_0,,,,,,
28095,0.596231716226126,0.6056612185954725,0.5375360573844535,0.3815834147099286,-0.573765708827779,0.2376241912433554
28099,-0.07677436784589163,-0.22278207815726,-0.28101793203514824,-0.002896829902485465,0.2555040843241793,-0.2361717068784284
29000_0,,,,,,
31000_0,,,,,,
36073,0.009508326547361293,0.10633630423838271,0.08610229236677397,0.0747823502723817,-0.16824381802749638,-0.05386833157953759
37000_0,,,,,,
37037,0.13311406273530332,0.09339435291907124,-0.0592859481947349,0.11013447043483382,-0.0635289041983291,0.16229175031484225
37155,0.1156949010175885,-0.05389898023521205,-0.011447557525300045,0.2792681473451192,0.15126876039127352,-0.0500735661537476
39000_0,,,,,,
39169,0.3377782439272959,0.21993223937549566,-0.14906054898152657,0.3489462839137123,-0.283297749751691,0.39707821835994855
40000_0,,,,,,
45000_0,,,,,,
45027,0.44239521027351525,0.5183703102748417,0.4070132370073941,0.47914332735054876,-0.45411902233980994,0.5382609517648288
45075,0.29370890305029274,0.42552464706186954,0.020859087745220085,0.47180333830871685,-0.19000308717217346,0.11196927478807026
47000_0,,,,,,
48000_0,,,,,,
48091,0.15601551043845902,0.48525569458660595,0.5114109525220752,0.5205202176848167,-0.22824877330118754,0.32419045967384863
51000_0,,,,,,
55000_0,,,,,,
