,County,R_0 (std),R_8/2 (std),# (\%) infected as predicted,Measured cases,Population,Fatality rate (measured death/cases)
0,"Arlington County, VA",0.921 (0.046),0.500 (0.142),"26,549 (11.2)","2,925","237,521",4.65\%
1,"Orleans Parish, LA",2.795 (0.084),0.649 (0.187),"62,440 (16.0)","10,384","391,006",5.39\%
2,"District of Columbia, DC",3.296 (0.134),0.659 (0.059),"89,004 (12.7)","12,057","702,455",4.84\%
3,"Nassau County, NY",2.903 (0.209),0.660 (0.048),"199,291 (14.7)","43,322","1,358,343",5.06\%
4,"Fairfax County, VA",3.187 (0.155),0.700 (0.105),"68,253 (5.9)","15,768","1,150,795",3.32\%
5,"New York County, NY",3.039 (0.122),0.700 (0.013),"2,021,551 (24.1)","225,723","8,398,748",10.43\%
6,"Rockland County, NY",2.934 (0.161),0.705 (0.044),"81,195 (24.9)","13,882","325,695",4.86\%
7,"Alexandria city, VA",0.880 (0.050),0.728 (0.147),"9,116 (5.7)","2,820","160,530",2.09\%
8,"Denver County, CO",2.866 (0.079),0.730 (0.186),"66,282 (9.3)","9,777","716,492",4.21\%
9,"Wayne County, MI",2.806 (0.095),0.744 (0.072),"317,363 (18.1)","27,234","1,753,893",10.29\%
10,"Cook County, IL",3.745 (0.133),0.750 (0.028),"564,263 (10.9)","106,713","5,180,493",4.59\%
11,"Barnstable County, MA",3.413 (0.186),0.750 (0.056),"10,755 (5.0)","1,757","213,413",8.94\%
12,"Suffolk County, MA",3.213 (0.109),0.774 (0.023),"158,216 (19.6)","21,355","807,252",4.95\%
13,"Delaware County, PA",3.872 (0.219),0.802 (0.039),"73,809 (13.1)","8,804","564,751",7.80\%
14,"DuPage County, IL",3.433 (0.179),0.811 (0.038),"60,464 (6.5)","11,470","928,589",4.45\%
15,"Marion County, IN",3.018 (0.084),0.812 (0.020),"104,163 (10.9)","14,710","954,670",4.89\%
16,"Hudson County, NJ",3.607 (0.147),0.837 (0.026),"205,172 (30.3)","19,511","676,061",7.69\%
