,index,Cluster,County,R_0,R_{end_date},# (\%) infected as predicted,Measured cases,Population,Fatality rate (measured death/cases)
0,183,5,"Fulton County, KY","1.335 (1.113,~1.825)","1.029 (0.941,~1.108)",257 (4.2),84,"6,120",2.38\%
1,125,5,"Surry County, VA","0.992 (0.898,~1.110)","0.943 (0.798,~1.018)",308 (4.8),52,"6,474",3.85\%
2,300,5,"Quitman County, MS","3.292 (3.130,~3.450)","1.129 (1.072,~1.183)",180 (2.6),269,"7,051",0.37\%
3,75,5,"Clarke County, IA","0.988 (0.867,~1.235)","0.924 (0.863,~0.985)",177 (1.9),201,"9,423",1.49\%
4,126,5,"Sussex County, VA","0.992 (0.898,~1.110)","0.943 (0.798,~1.018)","1,387 (12.3)",302,"11,237",2.98\%
5,86,5,"Union County, IA","0.988 (0.867,~1.235)","0.924 (0.863,~0.985)",59 (0.5),77,"12,359",1.30\%
6,167,5,"Pamlico County, NC","3.545 (3.310,~3.852)","0.988 (0.677,~1.084)",127 (1.0),68,"12,670",1.47\%
7,121,5,"Madison County, VA","0.992 (0.898,~1.110)","0.943 (0.798,~1.018)",154 (1.2),69,"13,295",1.45\%
8,323,5,"Bamberg County, SC","3.662 (3.492,~3.832)","1.256 (1.202,~1.309)","4,045 (28.3)",473,"14,275",4.65\%
9,109,5,"Alleghany County, VA","0.992 (0.898,~1.110)","0.943 (0.798,~1.018)",616 (4.1),62,"14,910",6.45\%
10,319,5,"Union County, FL","3.837 (3.667,~4.022)","1.178 (1.117,~1.243)",406 (2.7),310,"14,940",1.61\%
11,153,5,"Lawrence County, AR","0.967 (0.889,~1.052)","0.986 (0.282,~1.177)",945 (5.8),212,"16,434",4.25\%
12,112,5,"Buckingham County, VA","0.992 (0.898,~1.110)","0.943 (0.798,~1.018)","1,233 (7.3)",605,"16,999",1.32\%
13,267,5,"Lee County, TX","3.729 (3.543,~3.921)","1.081 (0.704,~1.171)","1,163 (6.8)",173,"17,144",5.78\%
14,187,5,"Mason County, KY","1.335 (1.113,~1.825)","1.029 (0.941,~1.108)",128 (0.7),54,"17,150",1.85\%
15,260,5,"Falls County, TX","3.729 (3.543,~3.921)","1.081 (0.704,~1.171)",349 (2.0),127,"17,335",2.36\%
16,335,5,"Andrew County, MO","1.094 (0.981,~1.281)","1.352 (1.255,~1.448)",172 (1.0),87,"17,607",1.15\%
17,328,5,"Hampton County, SC","3.662 (3.492,~3.832)","1.256 (1.202,~1.309)","1,654 (8.6)",432,"19,351",2.08\%
18,37,5,"Kent County, MD","0.961 (0.796,~1.153)","0.857 (0.777,~0.933)","2,686 (13.9)",243,"19,383",9.47\%
19,119,5,"Greene County, VA","0.992 (0.898,~1.110)","0.943 (0.798,~1.018)",308 (1.6),163,"19,779",1.23\%
20,79,5,"Henry County, IA","0.988 (0.867,~1.235)","0.924 (0.863,~0.985)",236 (1.2),125,"20,067",3.20\%
21,19,5,"Dakota County, NE","0.773 (0.677,~0.863)","0.771 (0.659,~0.856)","5,821 (29.0)","1,924","20,083",2.13\%
22,242,5,"Fillmore County, MN","1.207 (1.037,~1.645)","1.081 (1.011,~1.150)",0 (0.0),63,"21,058",0.00\%
23,68,5,"Perry County, IL","4.041 (3.590,~4.475)","0.920 (0.820,~1.018)",99 (0.5),184,"21,174",0.54\%
24,60,5,"Jo Daviess County, IL","4.041 (3.590,~4.475)","0.920 (0.820,~1.018)",99 (0.5),125,"21,366",0.80\%
25,151,5,"Hempstead County, AR","0.967 (0.889,~1.052)","0.986 (0.282,~1.177)",210 (1.0),239,"21,741",0.84\%
26,82,5,"Mahaska County, IA","0.988 (0.867,~1.235)","0.924 (0.863,~0.985)","1,005 (4.6)",139,"22,000",12.23\%
27,130,5,"Bibb County, AL","3.505 (3.300,~3.715)","0.970 (0.281,~1.133)",514 (2.3),438,"22,400",1.14\%
28,141,5,"Fayette County, IN","3.240 (3.038,~3.460)","0.981 (0.913,~1.050)",986 (4.3),189,"23,047",3.70\%
29,30,5,"Plaquemines Parish, LA","2.914 (2.621,~3.194)","0.830 (0.230,~1.033)","3,692 (15.8)",458,"23,410",4.15\%
30,132,5,"Clarke County, AL","3.505 (3.300,~3.715)","0.970 (0.281,~1.133)",925 (3.9),662,"23,920",1.36\%
31,261,5,"Fayette County, TX","3.729 (3.543,~3.921)","1.081 (0.704,~1.171)","1,628 (6.4)",378,"25,349",3.70\%
32,73,5,"Benton County, IA","0.988 (0.867,~1.235)","0.924 (0.863,~0.985)",59 (0.2),156,"25,642",0.64\%
33,38,5,"Somerset County, MD","0.961 (0.796,~1.153)","0.857 (0.777,~0.933)",350 (1.4),136,"25,675",2.21\%
34,117,5,"Fluvanna County, VA","0.992 (0.898,~1.110)","0.943 (0.798,~1.018)","1,387 (5.2)",192,"26,783",4.69\%
35,58,5,"Iroquois County, IL","4.041 (3.590,~4.475)","0.920 (0.820,~1.018)","1,095 (4.0)",263,"27,604",4.18\%
36,1,5,"Del Norte County, CA","1.049 (0.823,~1.310)","0.666 (0.119,~1.046)",0 (0.0),99,"27,828",0.00\%
37,302,5,"Yazoo County, MS","3.292 (3.130,~3.450)","1.129 (1.072,~1.183)","2,164 (7.7)",831,"28,248",1.44\%
38,292,5,"Copiah County, MS","3.292 (3.130,~3.450)","1.129 (1.072,~1.183)","5,051 (17.7)",954,"28,543",2.94\%
39,49,5,"Leflore County, MS","1.287 (1.173,~1.416)","0.906 (0.841,~0.971)","8,530 (29.5)",933,"28,919",6.75\%
40,115,5,"Carroll County, VA","0.992 (0.898,~1.110)","0.943 (0.798,~1.018)","2,004 (6.8)",334,"29,636",3.89\%
41,64,5,"McDonough County, IL","4.041 (3.590,~4.475)","0.920 (0.820,~1.018)","1,493 (5.0)",143,"29,955",10.49\%
42,325,5,"Dillon County, SC","3.662 (3.492,~3.832)","1.256 (1.202,~1.309)","4,413 (14.4)",642,"30,599",3.74\%
