,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
"E_deaths[1,1]",2.0147785380241025e-13,2.281991346873092e-15,5.722551773689887e-14,1.0785617875831616e-13,1.614517478185767e-13,1.9393148156441104e-13,2.3508402255657415e-13,3.3231757637946014e-13,628.8563846375451,1.0096131661934369
"E_deaths[2,1]",1.7833516947351774e-06,1.784898645217045e-08,4.835307986500784e-07,9.960152836451193e-07,1.4372810258005697e-06,1.7226267661585833e-06,2.0671518791050362e-06,2.871669199634236e-06,733.8734292591183,1.0061280096532814
"E_deaths[3,1]",3.566703373728072e-06,3.569797274678151e-08,9.670615930318577e-07,1.9920305584980556e-06,2.874562038913746e-06,3.4452535171109246e-06,4.134303739962584e-06,5.743338373919222e-06,733.8734292591183,1.0061280096532814
"E_deaths[4,1]",5.849393508670922e-05,5.854467506208019e-07,1.5859810059990655e-05,3.266930102396849e-05,4.714281724279957e-05,5.650215744644302e-05,6.780258105437505e-05,9.419074894189677e-05,733.8734292591191,1.0061280096532814
"E_deaths[5,1]",0.0003705804789104659,3.709019352177737e-06,0.00010047769907680203,0.00020697197412323238,0.00029866699453760543,0.00035796183886310274,0.00042955415670444593,0.0005967328544417693,733.8734292591191,1.0061280096532814
"E_deaths[6,1]",0.0014705517945132834,1.4718274098693838e-05,0.00039871949305148345,0.0008213141956525236,0.0011851819234258128,0.001420478018850507,0.0017045734244813815,0.0023679784011407484,733.8734292591189,1.0061280096532814
"E_deaths[7,1]",0.004227613490236299,4.231280691016253e-05,0.0011462581011657143,0.0023611538105751634,0.003407218369698784,0.0040836589758228275,0.004900390201367151,0.006807578944585337,733.8734292591191,1.0061280096532814
"E_deaths[8,1]",0.009704931348531424,9.713216035918518e-05,0.0026313234525827713,0.005420330026183028,0.007821598840221874,0.009374509623118199,0.011249369498965432,0.01562740421700041,733.8754788058703,1.0061280055847017
"E_deaths[9,1]",0.019241678011574104,0.0001925807524978008,0.005217039548718437,0.01074673803730968,0.015507645355842842,0.0185865688409379,0.02230379088660553,0.030983965556545937,733.8756858519531,1.0061280050385049
"E_deaths[10,1]",0.033984368130760625,0.00034009382481162343,0.009213297707880949,0.018982298625097527,0.027388513425308403,0.0328285327873756,0.03939287559381033,0.05472020420603346,733.8929514128935,1.0061279706585722
