,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
"Rt_adj[1,1]",0.0017937308341770782,0.0021580556133027136,0.0030557736519913003,1.3078739486839162e-05,2.03265489015471e-05,3.925630071393115e-05,0.003917383587069789,0.007084131089472375,2.005012568021205,8209.428198029776
"Rt_adj[2,1]",0.0017937308341770782,0.0021580556133027136,0.0030557736519913003,1.3078739486839162e-05,2.03265489015471e-05,3.925630071393115e-05,0.003917383587069789,0.007084131089472375,2.005012568021205,8209.428198029776
"Rt_adj[3,1]",0.0017937308341770782,0.0021580556133027136,0.0030557736519913003,1.3078739486839162e-05,2.03265489015471e-05,3.925630071393115e-05,0.003917383587069789,0.007084131089472375,2.005012568021205,8209.428198029776
"Rt_adj[4,1]",0.0017937308341770782,0.0021580556133027136,0.0030557736519913003,1.3078739486839162e-05,2.03265489015471e-05,3.925630071393115e-05,0.003917383587069789,0.007084131089472375,2.005012568021205,8209.428198029776
"Rt_adj[5,1]",0.0017937308341770782,0.0021580556133027136,0.0030557736519913003,1.3078739486839162e-05,2.03265489015471e-05,3.925630071393115e-05,0.003917383587069789,0.007084131089472375,2.005012568021205,8209.428198029776
"Rt_adj[6,1]",0.0017937308341770782,0.0021580556133027136,0.0030557736519913003,1.3078739486839162e-05,2.03265489015471e-05,3.925630071393115e-05,0.003917383587069789,0.007084131089472375,2.005012568021205,8209.428198029776
"Rt_adj[7,1]",0.0017936491471639308,0.0021579597307603135,0.0030556378837811194,1.3074564402860682e-05,2.0322763095164958e-05,3.925337544071631e-05,0.003917208260907446,0.007083814345698304,2.0050125680203927,8209.470060478436
"Rt_adj[8,1]",0.001793649097381312,0.002157959669838076,0.00305563779751616,1.3074564398015415e-05,2.0322763088689117e-05,3.925337543083631e-05,0.003917208151438501,0.007083814146539153,2.005012568020385,8209.470285618741
"Rt_adj[9,1]",0.0017936490403200561,0.0021579596000084896,0.003055637698638535,1.3074564392462362e-05,2.032276308126729e-05,3.925337541951306e-05,0.003917208025964275,0.007083813918261253,2.0050125680203834,8209.470543704489
"Rt_adj[10,1]",0.0017936489818824743,0.0021579595284945984,0.0030556375973759607,1.3074564386777724e-05,2.032276307366959e-05,3.9253375407921477e-05,0.003917207897463602,0.007083813684477231,2.005012568020382,8209.470808122951
"Rt_adj[11,1]",0.0017936489267266367,0.002157959460996784,0.0030556375018000897,1.3074564381416334e-05,2.0322763066503918e-05,3.925337539698899e-05,0.003917207776179294,0.007083813463822033,2.0050125680203816,8209.47105787511
"Rt_adj[12,1]",0.0017936488775593818,0.002157959400827579,0.0030556374166014187,1.3074564376642368e-05,2.0322763060123347e-05,3.925337538725429e-05,0.0039172076680635305,0.0070838132671245686,2.005012568020381,8209.471280751599
