,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],3.2899576694485404,0.010157409866233466,0.45421841725158124,2.328309084439791,3.10619452053351,3.279262768091484,3.463722585988144,4.273902564318913,1999.693913927324,1.0021556683894512
mu[2],3.2746443687590836,0.009780609382024972,0.4374321572163095,2.300930603877095,3.09885737635567,3.2763206652855015,3.454616939962283,4.243014720180385,2000.2744335314399,1.0010556547696883
mu[3],3.001035795264877,0.01758589528117192,0.36741614137396716,2.152862337448454,2.764523731134619,3.087596487878233,3.273920772011448,3.561893562865494,436.50326675029305,1.0046170473677314
mu[4],3.2695032251753737,0.01272377853724314,0.4755305180741175,2.1830358330087876,3.1045057005202668,3.282782898445867,3.453356375492871,4.310250532587412,1396.7689907884558,1.0003514099338602
mu[5],3.280712047765893,0.009690190038076155,0.4434318210290788,2.328332702190772,3.0874963692472415,3.2781783775445374,3.4631722558048486,4.267523106361557,2094.060003903811,0.9990670737097732
mu[6],3.2746638100394283,0.013828475146918708,0.490313683006164,2.258021200921434,3.1063384661589932,3.280201716132739,3.4539994875121343,4.2504430452095665,1257.1857196355872,1.000308928550634
mu[7],3.2745293697906437,0.010403228228441778,0.4506317723361153,2.3530350731813745,3.0808932447857336,3.277203420607028,3.445891462128107,4.284362921173491,1876.3219767804321,1.002399035608517
mu[8],3.2726027960818076,0.010287830449728455,0.4408834722722602,2.2569501451623744,3.085943638856448,3.278008404372549,3.45571845389062,4.228417547460433,1836.5385144637864,1.0015615988844142
mu[9],3.3247953970515347,0.011693522213704207,0.4410962166113598,2.391877123059145,3.1187632094980478,3.2900743542806827,3.4912048604072163,4.390667669845364,1422.9052294514388,1.000220582985116
mu[10],3.2911191485497793,0.010153426604436142,0.4496787618253424,2.338677574532718,3.1108641452192716,3.2760390392021934,3.4664413866049353,4.3509572823931055,1961.4601325131148,0.9991844851591698
mu[11],3.385330734377101,0.009182642919134171,0.3479137403966279,2.7348541175885606,3.20546914298943,3.3278891645580497,3.5437678870454055,4.210452540534817,1435.5151129085143,0.9999343392618779
mu[12],3.2111707674751204,0.00978074125451073,0.4223466956320519,2.2214244126870013,3.032062705905325,3.249223593704034,3.3975772320052693,4.1005447683326555,1864.6385617265378,0.9993401268782512
mu[13],3.283907586094545,0.011783368218676043,0.46877784144140894,2.300844861475271,3.0969307143625273,3.2753111229127576,3.473381427383506,4.2731717140106245,1582.6877885338597,1.0008927780733867
mu[14],3.272657424318608,0.010155982178759619,0.43860791937163984,2.2774026689617717,3.104272982546234,3.2766947740945707,3.453067112453534,4.172199717096636,1865.129870863946,0.9993484067040561
mu[15],3.2945604520863627,0.010766846383578242,0.44348852895542257,2.338142102332191,3.1035258696245425,3.2833639553586025,3.472088117965483,4.2861143071190995,1696.6323698110652,1.0020953919455313
mu[16],3.3449018084688595,0.010756497823554607,0.44345486697882014,2.4943072866007157,3.152947356530236,3.294560987463074,3.505889944901668,4.442965593752036,1699.6404721406007,0.9997459179891883
mu[17],3.270460428810359,0.009406838689799916,0.42077378196810156,2.314575738734703,3.0872278497261814,3.279633290617369,3.45919381537069,4.152999975712879,2000.8288899156407,1.0013051059600797
mu[18],3.29625452352214,0.00982951882408145,0.4422572469452989,2.3879879910650743,3.11350730701964,3.2850356181197626,3.467601505021768,4.339390167103818,2024.3490527586516,0.9997809567392038
mu[19],3.2144331949123837,0.010701471142935869,0.4437187823503521,2.1545848432813863,3.0457942252315044,3.254325784603706,3.41427941557171,4.111209010876507,1719.208919256222,0.9986410602446769
mu[20],3.258792728977945,0.010622836170458979,0.4495404621749921,2.1776302416995628,3.0760231819897728,3.2789083548723434,3.4476563228763815,4.200631444653935,1790.8392659202882,1.0032746762837894
alpha_hier[1],0.2555557373212406,0.012142375720001439,0.5260628312764954,1.0379975439633517e-09,0.0002856653160543454,0.019044987099068413,0.25753279813830954,1.900665564872735,1877.0156855756757,1.0003458654167836
alpha_hier[2],0.28533270861390525,0.012261191581188116,0.5596881137103886,8.507812877621387e-10,0.0004679455206650948,0.02644384372015536,0.2924731930827565,2.024154291506417,2083.659789610706,1.000035221955642
alpha_hier[3],1.8326892497894076,0.051013002125996146,1.3973385585161107,6.96304026276317e-07,0.5170008012373856,1.8602197066777975,2.780654309299205,4.851204533660299,750.3113589786833,1.0009377343808548
alpha_hier[4],0.4669814108895112,0.019642744722384597,0.8370800107958808,9.441237229036391e-10,0.0008559255410464203,0.05473066081246836,0.5773672222880681,2.7414393754049575,1816.057509555647,1.0005495919570444
alpha_hier[5],0.45501550142894676,0.019115927469474058,0.8078425125086942,4.6266247740821726e-09,0.0015531316729051952,0.05223856900746754,0.5743432900909597,2.7744253233291243,1785.9227109738906,1.0023248550660324
alpha_hier[6],0.4669170540417763,0.019562244674181332,0.8706014145094766,9.393354713977918e-10,0.000830172911650129,0.05129860795834153,0.5220461180377229,3.056725994333204,1980.620928752522,0.9995892019725882
