,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],5.040539441381359,1.178803767627334,1.69072090187255,3.682253187652145,3.9300285509701745,4.1628853302581685,6.577274555928893,7.966591007868425,2.0571256197613845,7.559575895224309
mu[2],12.583831944943721,11.138057839297854,15.832775660978879,3.1344734200365543,3.340595521905785,3.5096072005742016,23.454905039905498,40.20331033627129,2.0206689994580596,67.33632573986907
mu[3],4.595207116089836,1.2429829557755114,1.7778608656332688,3.1914141879056723,3.475116808305957,3.6120348957433706,6.1123646763587,7.719667831649177,2.0458095127585825,8.974516151598285
mu[4],4.046974025251323,0.7187141503351354,1.0399553454369734,3.1420619730483956,3.337590112328839,3.514114625937288,5.091907716747844,5.826624673407251,2.0937122406694053,5.444319628238636
mu[5],4.518611039887334,1.0173745278379285,1.4745378613694131,3.1913916012144368,3.545412299623411,3.800379782013054,5.664900346657975,7.291734576426808,2.100632772568698,5.44202134218828
mu[6],4.412263967081171,1.6831475024813083,2.399613039632551,2.6962859265229597,2.9227340657749417,3.0707293199762535,6.368884945208248,8.668181949482854,2.0325351856777467,13.048787075721583
mu[7],2.533103674062072,0.6453950859190242,0.9246767042062081,1.8090611428393912,1.9336990389983022,2.0367003756093407,3.437723163477491,4.13394729182383,2.0527143771719305,8.003352996313513
mu[8],5.25150938091874,2.8118349250424512,4.002785149920812,2.586328039645508,2.8328621249891275,2.999228288896475,8.235601603567256,12.372328675760368,2.0264921140547196,18.155159151106016
mu[9],4.70824461099907,1.3892099775598836,2.003797374362437,2.8817347908041997,3.3764395211412994,3.7356500222610505,6.3326985389778505,8.352332223854088,2.0805196345879375,6.07885801591982
mu[10],2.7960738577968685,0.8672161734200168,1.27316817493623,0.6618719696486441,1.6035210741330481,3.2934157657265075,3.605784689706563,4.3760718019122375,2.1553450712333038,3.940150885880559
mu[11],2.8278892079026874,0.5862141529802042,0.957862227733761,1.3676679570077608,1.607484467839444,3.0688233888924374,3.54844346160593,4.390659125722386,2.669890785604786,2.016839043150739
mu[12],3.7625011027444435,0.6805541645188992,1.0944668679992013,1.9925021977397894,2.9562590202276504,3.478545988757049,5.323075335748598,5.488391604495824,2.586305636039557,2.1091133111015967
mu[13],2.6433366724971745,0.8365559939741356,1.2639684181982618,0.5947842229802026,1.1189664422259051,3.0927954693951767,3.5225059049091856,4.288634596525174,2.2828764858660513,2.9637906948156867
mu[14],2.6408413985245693,0.8804253259743888,1.3406708535718532,0.4878478798225562,0.7730515643435707,3.1177295093811206,3.5714135514595498,4.440237789477544,2.3187785917361388,2.760392460868446
mu[15],3.322247078099406,0.05361877085888946,0.5466625956777114,1.9046936003750818,3.055613699721258,3.4388877092777603,3.598725708668786,4.265915316402244,103.94533663276586,1.0461930594630064
mu[16],2.7239572568369574,0.6630512871079822,1.0567871174690615,1.0274196302619325,1.4507304871395101,3.061003530572389,3.4985114829479165,4.381906969920427,2.540275245108343,2.160401806021188
mu[17],2.966972887305524,0.4099596628328852,0.7746990578834637,1.8907242808500864,2.0579365401864855,3.004484315918763,3.6415498412560448,4.349170637806555,3.5709502613300903,1.5543692362186123
mu[18],3.185749194048898,0.08897647626405147,0.5358929152425015,2.2072043185701253,2.8403239722991684,3.0736009311373444,3.507796001475019,4.402968001426609,36.27485008116672,1.1068832942294242
mu[19],2.797142691087271,0.6414884837496126,1.012027325399799,1.2281703996228424,1.6144421548689851,3.090251344890719,3.495392682845229,4.427692146496221,2.4888959985356824,2.271468109435508
mu[20],3.866592297265161,0.7463729289340472,1.2039017955365638,1.4866343608438646,3.13338318084043,3.6692127609641636,5.15239145064476,5.705220662658414,2.6017787733022035,2.099093954624344
alpha_hier[1],0.053484638445949584,0.018725237575399577,0.0685682809905975,5.384155868911046e-10,0.00021855403331354095,0.013575692494524363,0.10527228465480246,0.28131658920906466,13.408859822947443,1.1312891167030639
alpha_hier[2],0.12843756287613414,0.06718051891216968,0.14448451057551362,1.3698844179630164e-08,0.000976533604057187,0.05500261062673974,0.28873955896871206,0.4415209433570265,4.625470060000901,1.3573983279048245
alpha_hier[3],0.09789145066905416,0.00796113365736037,0.13013329500175774,4.024832780253037e-09,0.002062719857882238,0.0787962567548182,0.11003282633373564,0.48230706149262026,267.19419728133863,1.0102070647731651
alpha_hier[4],0.19836459774590612,0.021810881617137033,0.24854326600269191,2.2486316084910222e-09,0.0009613821302438942,0.17609056998497613,0.2271830869015101,0.9037208007332358,129.85466636896118,1.0101639823282678
alpha_hier[5],0.198870518665312,0.020742811181865002,0.23212505512191148,1.4440668770997171e-09,0.002533957582434147,0.14373863910364998,0.3107156665197055,0.9358994683704495,125.23012429553378,1.0401009630064988
alpha_hier[6],0.30830270385878683,0.15814556073259434,0.313722113655427,8.886051599348503e-08,0.0032045365402622833,0.1742557776107738,0.6814280304604563,0.8297956616447413,3.9352855764948393,1.439121074793997
alpha_hier[7],0.16477406295025226,0.01723496487074159,0.23855013838152359,4.810790971054059e-09,0.0026796258925972094,0.0980120388412716,0.13429167991057267,0.8419568935654321,191.57487046182652,1.017963701083664
alpha_hier[8],0.08433127254029736,0.016933431166221504,0.1695841785862717,2.85174748550841e-11,0.00029969729372548775,0.011708474587558491,0.05763439902764786,0.7057331007499283,100.2953344438738,1.0410961717686484
gamma,0.23873863285020605,0.09622910717634608,0.16717633707788507,0.0032435349504433587,0.0952676044918354,0.2002826730943011,0.4524029966923083,0.48858020789315887,3.0181213532075155,1.7581161617786836
kappa,1.600142150769894,1.233939014010662,1.7573732338874148,0.39097564039949173,0.5246812528848829,0.626389631454122,2.947847292459092,4.711810944142664,2.0283393846033393,15.715713197721005
y[1],60.12542219412831,21.991945280802437,37.63684702129314,6.71437198969847,17.104635553802204,66.07236497693458,89.31130541491049,125.01227181660735,2.928863792153165,1.8362068594237202
y[2],35.53321441886335,14.105487037299671,22.49382042298382,1.332118504906418,10.196720190912629,40.161676154121984,51.16109179086223,74.18150253129008,2.543022923389606,2.2091123505783092
y[3],48.87423020240962,18.808122721149193,29.544981228379743,3.438488785780226,16.956306679522676,57.03748418068088,69.61239276227644,93.79445465551316,2.467610088078883,2.296263461460756
y[4],77.12228838960544,19.8766690682532,36.257855881678154,28.436615514934605,36.995095025632466,80.85310872898324,103.37370436389334,145.29256197818756,3.3274920197598714,1.637479991465433
y[5],258.33858372848505,19.252125588913486,74.8595651085255,136.07808445064762,190.12277928522977,264.14316114748544,298.36573763610295,397.7174599158336,15.11949296974289,1.1096892492519856
y[6],104.51672830037006,41.801972175734235,67.49184740250612,2.5229988485255603,27.55020800024552,119.71834236652421,149.92085527459525,244.5508482941674,2.6068082581914545,2.1148347155099723
y[7],142.78156560462386,57.60478977670533,90.9109070266522,2.3111545848308084,26.630833026262433,172.0911219272919,205.3347786219102,274.73326845377517,2.490661969562743,2.343885078034358
y[8],66.91667750312826,27.43573514101735,45.58353547251764,0.4797264178681767,12.929446012017117,74.99731720405336,94.98481777002218,152.1197448364046,2.7604685849316386,1.9672017008380032
y[9],119.75537199936083,21.938742219905187,55.71202377346362,61.442677080565275,68.22706119822966,107.05198782890244,156.26348960244485,257.08829099053946,6.44873334272377,1.2259752206014658
y[10],150.37013709610628,12.331152680875695,57.05075165909232,58.31016510444422,107.81405628599171,144.97184131418683,187.26299002890389,275.78792583746707,21.405007842036987,1.1429646659134096
y[11],83.43964810921968,31.498192039917825,103.61955114722848,0.781217056108756,0.8246766490016122,42.26386666138236,116.36745135627615,350.4109556104523,10.822115393897464,1.1374749517964107
y[12],84.72185964338092,30.344046197553872,111.98073597464993,0.1950596262238523,0.6209109050564583,47.18081703351814,116.3379458618533,441.10208485816156,13.61882543646096,1.1333432200012494
y[13],87.9345625500306,32.122065806936604,125.88291802615562,0.10715218054020104,0.8686012011966864,38.555840224943125,118.8258203410671,490.5441912829158,15.357717267762387,1.1206533004342272
y[14],89.53762895490978,30.371479636218435,127.5154303071027,0.6754847332857978,0.9606060358040356,36.81091178201397,124.68734702712038,509.9530674185229,17.627615982023723,1.112169695135628
y[15],72.28496599330603,24.298537986558216,105.8127325833266,0.43115406855066185,0.456677328558365,37.062359258412826,90.49546684275477,353.83744113356363,18.963372380388034,1.0941522659560174
y[16],70.07941604803358,24.108233130267102,100.28086032520041,0.31961850842949113,1.0911829371057016,30.655900391111132,96.09103379681225,405.31942721980045,17.302359739493998,1.0976704093620064
y[17],71.0223528709767,25.41912466929092,95.59855056499161,1.0499210787829425,1.4924086468803925,34.67679768591037,98.13189018631252,342.61449876505765,14.14429915151533,1.0958358366051744
y[18],70.04987860520694,24.233039559485803,83.5283889518054,2.904732532373721,3.7119997446059516,37.343582770399564,108.45572751951599,313.7509503116408,11.880984452586246,1.142032842245571
y[19],85.73243350836474,22.267857867549314,145.9147246791874,0.4922500329702511,0.5385439859567357,36.121557066533974,114.4824585847828,391.1969400606964,42.93795522993628,1.0561981113047572
y[20],100.67860335734196,35.002864161620025,149.40727697206623,1.518921965008821,1.9206621205509014,52.9374833795222,136.3050636829334,528.1042198424321,18.219495030414166,1.0918508847961144
phi,27.303380723959393,9.95524273302632,14.370651433871044,2.714808859052881,14.81631951494832,34.160246577174576,36.96707837840323,40.01066878549125,2.083767229281671,5.657688564551429
tau,92.15638950130636,19.738358341118673,38.48910561965049,43.383219957497076,48.28859421564934,89.61674890559357,117.28134733999866,177.1056359634592,3.802363046197514,1.4672103435684496
ifr_noise[1],1.0282666257497461,0.008790163892070916,0.08243794280535449,0.8632158521212004,0.9805974907985828,1.0304645292778236,1.0789812387115494,1.2016241109485921,87.95496218542577,1.0399997324964694
ifr_noise[2],0.9169072049524916,0.1342752484671201,0.2060327909740022,0.5685607848666794,0.7095911504799179,0.9940891245376469,1.0675395346731982,1.2067794022450347,2.35440278014421,2.5914775981956932
ifr_noise[3],0.9775220180142474,0.020352475458645953,0.0926159017355793,0.8136449072453076,0.9194781569450484,0.9470474657115211,1.0386473683037332,1.1700085452604556,20.70792767724792,1.1388022620846114
ifr_noise[4],0.9847002098777962,0.010484990102796472,0.10076439516081269,0.7981883072847336,0.9252814116825907,0.9653069665383784,1.052458008872596,1.2288796601597114,92.3587730925882,1.0159845561400653
ifr_noise[5],1.0023094911146206,0.006183827296569055,0.08654054873582147,0.8280001704042198,0.9607271819731961,0.9959857408637298,1.046022744525406,1.2204939489355864,195.85045520413863,1.0066318551342184
ifr_noise[6],1.032297674290815,0.03968623818297766,0.09905942168698945,0.8510287735524076,0.9583723989882795,1.0360785002565411,1.1264492704460918,1.1771048123742216,6.230339424670531,1.2464530572548713
ifr_noise[7],0.99444983356495,0.00701784974843548,0.08771982581995362,0.783695364655298,0.9435898266186602,1.0085318644732775,1.0348582123945906,1.17251246311963,156.23825860595917,1.0134974231257678
ifr_noise[8],0.9352253400757662,0.08356430597015464,0.14685425188305914,0.7259620656131636,0.7487510789977794,0.9632826497412428,1.0357557873031087,1.190622107802605,3.0883849631214897,1.7350423237564079
ifr_noise[9],1.0395495452930859,0.048939779564838186,0.11539891314652276,0.8141452602842746,0.9452997227107744,1.0437102721366847,1.1486139170477099,1.2072199043392966,5.560059247064947,1.2949675218361585
ifr_noise[10],1.064476247025139,0.06903046941868372,0.1260315764381838,0.8329960263067516,0.9614290138873891,1.063662512985771,1.1950758850852805,1.2528467466464952,3.333320580952278,1.6393547950406417
ifr_noise[11],0.9995368533348771,0.006496722369536707,0.07986327244183929,0.8135006055045455,0.9526828275512023,1.0116669074967346,1.0376477175681265,1.1670543856648605,151.11430818695288,1.0019126940651213
ifr_noise[12],1.0161313062788886,0.03037741301357186,0.10099730045615916,0.8097637250817822,0.9407340286039149,1.0365914267471372,1.1028495883895622,1.1757046589144995,11.053961804962928,1.1457124795837639
ifr_noise[13],0.9919313465439461,0.00789255861253155,0.09661169184393352,0.8130416089835173,0.9451287768802853,0.9671261124051147,1.046531626405642,1.220460548412267,149.83861267595464,1.0217660211124937
ifr_noise[14],1.008709157884029,0.005270500578958028,0.072501435344324,0.862796665226392,0.9722381053558504,1.002193954614654,1.052643022957555,1.1704376921993083,189.22977737010208,1.0009658766945955
ifr_noise[15],0.9879052665338398,0.01925242238793724,0.08977353834642612,0.8583566912513302,0.9248949342228197,0.9591458365377346,1.0450502127353416,1.1694950870028098,21.743323286173123,1.1017635656909615
ifr_noise[16],0.9943241199097832,0.004983150156334034,0.07931410975641993,0.8428206643823118,0.9498794372567451,1.0026101338300717,1.0266875551247037,1.163533575688033,253.33369649859526,0.9932545183555095
ifr_noise[17],0.9881893579156592,0.005843949660013384,0.08654378402636262,0.8007416179805265,0.9386826059262439,0.9832990508171521,1.0497559380653874,1.1516607297240784,219.3101985589757,0.9966602076654019
ifr_noise[18],1.0272067905761082,0.04031123288399365,0.1019107340009182,0.8128781952615867,0.9542774613707148,1.0388086678108985,1.1055537988343458,1.1921275877198196,6.391277838098649,1.2271246049144544
ifr_noise[19],0.9817824167352265,0.03349924160646225,0.10211833275045569,0.8154049830391085,0.900940615353455,0.9691581118894441,1.0612446256403611,1.1866004482496357,9.292605085897378,1.1757238551853875
ifr_noise[20],1.0078817402151505,0.009676590578883294,0.10035026132305466,0.7633544553051199,0.9453163961450133,1.0289527061842074,1.0602204373554436,1.1963638236179472,107.54550991920873,1.046326558537977
