,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],3.3056048323160376,0.030299540807119586,0.44357244883439906,2.485062474202791,3.0961835206966857,3.2899662897667503,3.474454704057406,4.319723140876437,214.31720326280507,1.0020254659504357
mu[2],3.345695875016685,0.03712951255256319,0.5005736271332999,2.3733349675402287,3.119606741548302,3.296823246515324,3.4996453721292267,4.635375905714399,181.75963188384438,1.0175912333533543
mu[3],2.966505973840607,0.061462989212398955,0.361250019444775,2.212614774560299,2.730865408348122,3.0138371788127127,3.239250912027381,3.560722955083657,34.54525494647616,1.169116443889161
mu[4],3.2864449027102127,0.024159178427928227,0.41670845940896356,2.4827383883197633,3.0787634565882733,3.2781784222983887,3.465031667841173,4.300980767125863,297.50913914109105,1.0057827822255916
mu[5],3.2793330786966295,0.034228655502476286,0.4646697511510702,2.4163507634084698,3.0718054312031455,3.2608369382298807,3.4761350810874223,4.139281666465799,184.29312017934447,1.0010568971481792
mu[6],3.267382850999419,0.030641907051927493,0.4191233454726235,2.384638672376064,3.0775243473819947,3.2699862501976993,3.4961023271665903,4.163798696182411,187.09066657338911,0.9977893450061619
mu[7],3.304580200228607,0.03451725936628963,0.44842469200882396,2.337592368207301,3.1206573427841544,3.3037395515516748,3.5218859883612064,4.264866307622086,168.77434269429313,0.9973133368976705
mu[8],3.2955870529728486,0.030647458893128043,0.4407811079762768,2.153233015120524,3.1308130374451286,3.2750319540152826,3.456897714920622,4.1450393349878265,206.8507034017312,0.987033545971404
mu[9],3.278191386246366,0.03291507928834282,0.41847035814331146,2.490869358783791,3.0604339434178938,3.2677325076287356,3.4960992833008753,4.156842211788049,161.63655668697677,1.0195670244753041
mu[10],3.3124378229737714,0.0439330339526385,0.5542796563960596,2.017655887097917,3.1047121506501076,3.3191230658349378,3.54617960290188,4.41737180524961,159.1752299834928,1.0165675268677976
mu[11],3.4070504250426996,0.029594077769226318,0.43678847557901646,2.6041061080304315,3.144731280127596,3.3461855085321703,3.6478421577449094,4.274701939387869,217.83753851075073,1.00676915955003
mu[12],3.2626160739614294,0.029300334659800645,0.4613646958032329,2.027930870173592,3.0804440683687577,3.2637632955709535,3.4563535727948427,4.216710882797555,247.9382638966105,0.9989499251259712
