,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],4.094363223430361,0.06650657138991363,0.2366814689420953,3.6443835856034217,3.9270574080274843,4.0750905355550735,4.265346473247046,4.528036160901754,12.664830843267476,1.1979081314629751
mu[2],3.384985651460963,0.062214653008309785,0.19865973357594652,3.0184107319929927,3.2394767509905913,3.383951519983701,3.523979209925847,3.7638548468267587,10.196105743492492,1.2310379051776053
mu[3],3.6334711825349317,0.048239708482539674,0.21849698128816578,3.2287357692311405,3.47236634645463,3.618167321302569,3.8010272307502166,4.035992313510975,20.515472939500736,1.147382107189955
mu[4],3.586913668671714,0.06675549006277552,0.22506938009277114,3.1930247331965855,3.4247651712238096,3.563774410316446,3.7340472294721105,4.09978391410071,11.367340066134133,1.2112719022646903
mu[5],2.1222209895078676,0.019072539733517874,0.13637003057329103,1.8745182814095704,2.0177096447428435,2.118958528752476,2.224369960382342,2.38933289833411,51.123528297406715,1.0872718193740647
mu[6],3.7092138011840303,0.0858942382203411,0.2983903562928943,3.1850987440087635,3.497771834983485,3.6819447788363373,3.904508865249511,4.39743729130708,12.068172279114654,1.1476199605277724
mu[7],2.9800001911847867,0.028133150888916783,0.21260454670060353,2.581354962041757,2.8279862092134005,2.975864543791019,3.123234456362535,3.4041677694945935,57.10949830149539,1.0728338067815557
mu[8],2.769153298966603,0.02758581112302327,0.21558032869587174,2.3799873041074524,2.6231308541036276,2.7588317147569534,2.887481835408435,3.2144775224661086,61.07264691073633,1.0596942412310553
mu[9],3.3050420360399593,0.028578087141524253,0.3896565692264136,2.550658477747229,3.0509387012446245,3.2974087012762405,3.5515509423373386,4.160414879349736,185.90783465662477,1.0077374724437451
mu[10],3.0442118263831026,0.23359181573936316,0.8656450691331274,0.7012296519640709,2.599641480530392,3.1653864943798045,3.5960285044690696,4.5282199807662264,13.732970087168889,1.1740263336042835
mu[11],3.256286363650135,0.04850994708170411,0.6489902625878228,1.94147090780685,2.8277104322147553,3.264094247835303,3.6944917935764616,4.493281395665099,178.98422670371832,1.0021513712601748
mu[12],3.3217050673604156,0.04732615163891108,0.6832119347597546,2.091139279229989,2.864242059958662,3.3014667411510175,3.7413268073256,4.878075604922514,208.40517872503332,1.0078575666993383
mu[13],3.378315464735751,0.03339429083404305,0.5953434199749791,2.2691401252282746,2.9742971344008464,3.3808675083628854,3.7786599048505733,4.607432672270179,317.8269100032873,0.9995806469596425
mu[14],3.3437036775974383,0.05231242917238793,0.7131576663680339,2.0005791946455864,2.9125229520563245,3.3211396114008265,3.800138074406883,4.7900508173713074,185.84947375972337,0.9971594403678424
mu[15],3.3282176250691156,0.04007523200750431,0.6008099985323548,2.2816108271440543,2.905638021821045,3.3413725629651365,3.724570265835648,4.5430800591842795,224.76165037792182,1.00553437403043
mu[16],3.313054884580991,0.045233991393556286,0.6345543396021608,2.0898583103301642,2.8769139241828956,3.3042578976705785,3.7096413118893796,4.640375842904643,196.79217011219708,1.0091003281160105
mu[17],3.3038957751909366,0.04266986908801195,0.6556045216349801,2.025716310277572,2.837391150389667,3.2744385406413627,3.7336238142237876,4.712616047524027,236.07024975979442,1.003199731625242
mu[18],3.2832796868001615,0.04414454415603747,0.6421549947916296,1.9267273248028385,2.886158173693752,3.2768255600687963,3.701360467331857,4.523543833741828,211.60486906911308,1.00500129054735
mu[19],3.350604515515656,0.051179585082638236,0.6979622611511712,2.0816199545860727,2.868681135431707,3.3443465438512927,3.7695931481898812,4.757305986574392,185.98176309122417,1.0089719542091387
mu[20],3.2654487416605,0.0531008448052945,0.6556102558562877,1.9935691866671796,2.8536494299761825,3.225595109794467,3.630049909799669,4.613684279013833,152.4363763567349,0.9985129244348914
alpha_hier[1],0.051350784608884384,0.006402966502239893,0.10061355012256187,9.242148647644812e-13,0.00010463024164042469,0.004115814122617023,0.05298601048816132,0.36664693162097894,246.9167129978732,1.0220737225292986
alpha_hier[2],0.5100610687742319,0.026124153028087804,0.26698884703986286,0.00033798637947894786,0.3363185227888498,0.5305588386909628,0.7028813199984494,0.9732375282020953,104.44840241986583,1.0180974243664782
alpha_hier[3],0.05884327460723841,0.005665007186895498,0.10000971587699063,7.489675118634358e-12,0.00015058301874868916,0.00889681031041583,0.07148920882636742,0.36399328261409847,311.6617153200774,1.0039838919392026
alpha_hier[4],0.1343545695197667,0.026015557509112868,0.2042059389212588,2.580747789914262e-12,2.24745377038562e-05,0.017333044320805582,0.19742091266477305,0.6827561904367516,61.61273145767745,1.0684940634553266
alpha_hier[5],0.171444067055847,0.02328608805155743,0.2649442418140163,1.2016556947805078e-19,0.0002234592621529798,0.022531673938583366,0.2637606325671155,0.8857394754995309,129.4541268238252,1.0422184751983452
alpha_hier[6],0.157117013328733,0.01936647924705684,0.2522724566489788,1.770445498261179e-11,0.00029212762720766383,0.020742777063359273,0.2241808203397131,0.9767948700070157,169.6829958287158,1.0149554044316496
alpha_hier[7],0.10779083818864528,0.01228246589620052,0.19171246943650752,7.723751527525594e-12,4.3074092306012925e-05,0.010857280715226882,0.1311001305806943,0.6686659419659806,243.62934007172657,1.0031226555194641
alpha_hier[8],0.08021059036431885,0.009999013137286088,0.11897466351941427,1.0662899259872794e-07,0.0008217226727568438,0.019871733624857363,0.11973004986970423,0.4093342859248861,141.57764775709552,1.016374646351811
gamma,0.15353197045806763,0.006343063003088854,0.1137333260678251,0.00933321302948251,0.06445084728793013,0.1270570195901547,0.2229215171900484,0.432398567471158,321.49737395402343,0.9984013792482016
kappa,0.6356782622013893,0.035244586363051625,0.15699574275819292,0.3929836175446785,0.5177290760486016,0.6088854469430507,0.7326644451674786,0.9612424357404595,19.842249934032342,1.105069258478309
y[1],65.4501375823648,2.184677728332178,21.4926758211083,31.39917906916462,50.85536274520002,61.702025902297734,77.27841272849423,117.84149636000919,96.78458980641693,1.0511472682732235
y[2],58.06040982701255,2.654806737309082,14.487613373752582,34.1297399737961,47.91095586488103,55.8369776254776,66.26905135933704,91.079759833575,29.78021802390528,1.1284182783006722
y[3],89.7640055716851,2.291834330110842,26.123731228713474,46.74991310926365,71.30577349205578,86.49085054337763,104.0108087331839,152.80297268989898,129.92836479231678,1.0102616235747506
y[4],62.12038427403084,1.9207133512630346,15.637783035120824,36.07936367388607,51.327170673397035,60.07332963262963,72.29896122953289,96.68993717822869,66.28652558256842,1.0480612410873644
y[5],149.50340355466741,4.922936273431625,40.939809163616026,86.70826413664167,118.18555446699794,144.67312262679934,172.97100848747172,241.71962857763918,69.15812335730517,1.057069828870448
y[6],233.38498282285173,5.048848172415044,70.5729051331322,122.56012037584523,186.28556627631878,220.48781459850528,272.40214116998,405.2032623103678,195.3850674956073,1.0152297665962562
y[7],112.95160870633178,2.6262112797273818,33.123106785136805,61.96620923835896,88.9881241392099,109.20507090640301,134.36227219586485,184.94207306908177,159.07531972462147,1.0112840599127255
y[8],91.25023807247507,2.1918193233537386,29.776724533350638,39.86663557055029,70.32069638712369,88.0421634328351,107.04573174629968,166.85263288267896,184.5628737162088,1.0085490236106291
y[9],168.59109466213263,5.300996207564207,62.121346832734545,72.3133927991704,123.60360302263535,160.0329291018163,200.92253411315136,304.3938975279806,137.3304170259746,1.0368867915352111
y[10],106.49186275590732,8.132868455428543,115.25497922741857,3.043521216074243,27.88433840867204,72.33144394807535,134.26672225772705,421.39408232188487,200.83153043074896,1.0095026635025837
y[11],105.54056480139724,6.213313481238363,104.66529819091059,3.0496114193464576,30.06662088580987,73.27985029210949,145.99020038165173,399.59320966320166,283.7650463239081,1.011051377407502
y[12],106.75251727346735,6.50962963092891,116.36886632808437,3.494518418423132,26.774877745201493,66.30367228771229,147.5200386000077,436.80485532838435,319.566353576639,1.0001967514866907
y[13],95.52771927174001,5.097684108140569,99.67607763322746,2.722863228441893,24.881541024302706,66.70804530504333,132.82179662815537,384.4547750425341,382.32794269588294,1.001701948317252
y[14],95.24779820167865,6.364304699356847,99.42687680116208,1.7998657875032809,28.106996063497178,66.91395269294401,128.95332187680629,372.9265031579426,244.06509172780082,1.0011465532188426
y[15],100.4360412971952,7.40518549705396,108.87301491599126,2.308372216749925,24.474959366372396,56.669176227159056,138.23436826780846,414.4191118248849,216.1566571382254,1.0259758777566146
y[16],102.79345011004087,7.5317782949468,117.73706133963476,3.901441783986014,29.066669997451562,63.338722122880455,135.62693278767517,436.0756914185571,244.3606818751469,1.0198413153688948
y[17],105.06096545450832,9.824815127506575,123.41457246055668,2.7039172913268144,27.473722879084242,63.86334068019222,134.17458278446708,434.1646707858086,157.79168431885432,1.0041098917253357
y[18],96.17197076708818,7.175769484618578,115.71217862260262,3.1354541013770203,24.731240700393922,60.331724128586934,119.89628757723301,413.0272615915881,260.028639206991,1.0008221878145298
y[19],101.84105302422728,6.217889946318334,114.23068775780601,1.7748558957458374,25.67787557541788,66.83497640938452,127.99204401444106,424.78135466769567,337.50446388314157,1.003503606251412
y[20],105.32115500015286,8.329670881082246,114.0139955782478,2.545675053821137,30.07944316675863,66.94195872324391,139.23094966940218,480.85808770920255,187.35299805318456,1.0185817174065788
phi,32.63802832800698,0.224765054723341,3.093814410379054,26.632992725101182,30.4953934369891,32.53481708582048,34.48375621842148,39.09131802647069,189.4658468167744,1.0201479750080336
tau,101.50596007298532,2.363054610023427,31.033579849023845,57.24671422614154,77.91907958960535,97.54674753447742,118.72071322924495,182.47657356053384,172.4710612487108,1.0145062974802046
ifr_noise[1],1.00217060279087,0.008434774841699973,0.10668027143941042,0.8068049441068531,0.9249177437952824,1.0050153596842735,1.0758781223270084,1.2122086547274238,159.9636245565701,1.0182195582819689
ifr_noise[2],0.999893506879958,0.005622455290895286,0.0989549790533486,0.8088633107164998,0.9305895332524011,0.9970936015994192,1.0674374821480153,1.1937348497378588,309.75853460322827,1.0067255139530404
ifr_noise[3],0.9982139604306098,0.005305600813311908,0.0937822559517348,0.8133665575867264,0.9311376735746407,0.9948262241323886,1.0657784988460592,1.1800708823638264,312.4440142402202,0.9941416939878005
ifr_noise[4],1.0080046337497015,0.005993731669858528,0.10143093378847776,0.8054450395725156,0.9414479308520725,1.006626570305301,1.0840420501859254,1.1823858838208965,286.3823540661529,1.0004328268207414
ifr_noise[5],1.004541492769385,0.007795363867967281,0.09999808126348342,0.8159644554535593,0.9363547205489979,1.009173112257854,1.0709399674426834,1.2030460754964778,164.55479823660121,1.0069033142719277
ifr_noise[6],1.0200574969462173,0.006092777980063627,0.10001837262568032,0.8229507157620279,0.9513709464926092,1.0210509220345776,1.0815385823269246,1.2106150170808074,269.4814418545424,1.0062886771418853
ifr_noise[7],0.9944548251094631,0.007183710250462312,0.10538431081799203,0.7795961859531817,0.9289952657695566,0.9983225229455783,1.064898094589791,1.2010677901898943,215.2059652533382,1.0152039645000224
ifr_noise[8],0.9938162858617116,0.006220221625807925,0.09419091393211286,0.8096714838029723,0.9247726191115457,0.9989228643631194,1.0609302861185332,1.1794654956706083,229.30118761658505,1.0079954411288885
ifr_noise[9],1.0062799311065889,0.009243648639207182,0.09766577175235454,0.8009061430793052,0.9444571704775655,1.0065944498835528,1.0703450742426552,1.1992882530465407,111.63436699836882,1.0169759584546216
ifr_noise[10],0.9901139750034945,0.008011219472789053,0.10324077726358745,0.7806918809408296,0.920034646545381,0.9926152907320716,1.0681045849141229,1.1789329430818007,166.0753864456748,1.0046494872479994
ifr_noise[11],0.9912384942313631,0.006095196548544859,0.09877536152934847,0.777735685945832,0.9220121466550835,0.9953623646679531,1.0657340335251493,1.1621038911227417,262.61638967569553,0.9968871324298793
ifr_noise[12],1.0049580198993664,0.005584887528217072,0.0966443245069697,0.8126995237170623,0.9413091333480031,1.0063992997178994,1.066294886332284,1.1995033013172858,299.44967559021813,1.0008077262510502
ifr_noise[13],1.0085369344168624,0.0066168200080279635,0.09950785226203449,0.8094354313329264,0.9414422126973085,1.0077628455580894,1.0758590507263623,1.2060892101493317,226.16013947340514,1.0062951869234602
ifr_noise[14],1.0106384318776995,0.0051055029797315455,0.0978651856494544,0.8260184706555929,0.9379323579878742,1.0064915874178681,1.0776268658387125,1.2104298553280801,367.434033774029,1.0064948111856984
ifr_noise[15],0.9994847779157539,0.006333708441021673,0.10061225424354103,0.7940927512750026,0.935807835191952,0.9986117791488337,1.065341229761605,1.219307764032916,252.3397240861652,1.0017011696492502
ifr_noise[16],1.0059230553498073,0.005686617382250613,0.1028165720508093,0.8026019694035397,0.9381408327477194,1.0032079084486594,1.06925951658885,1.2170677538910064,326.90248653332435,1.0020454051246361
ifr_noise[17],0.9971108974633196,0.007652856826751459,0.09721761032901434,0.8135143667722673,0.9276451590634396,0.9967362892716343,1.0588936311915313,1.192521282771743,161.37739713531087,1.037571822602078
ifr_noise[18],0.9921358177057122,0.004976636740672099,0.09650342590176539,0.8088184346001223,0.9263309979012215,0.9911613139128324,1.0555025815364871,1.1917616584157478,376.02228090741863,1.0034994149548644
ifr_noise[19],0.9964320770853922,0.00760146266689999,0.09783398295654265,0.7984339749876824,0.9345131422399593,0.995806098031258,1.0581494025427072,1.198232618854236,165.64759523001248,1.0284912979477236
ifr_noise[20],1.004534043536415,0.006734297858085875,0.10378992916767296,0.7948410252879434,0.9341653399948926,1.0040238687017622,1.0752524593603878,1.2166561958087343,237.5340034330954,1.0040152007159782
