,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],4.21598813098824,0.026416447869089598,0.26021172479925336,3.795265433012435,4.040804068315319,4.192772232810153,4.377917498236077,4.721387750284375,97.02974379599824,0.9894262533253112
mu[2],3.511878448421891,0.027310315794443697,0.22518227824903922,3.142099644873069,3.356132270233657,3.5072147665776834,3.6616718115441502,4.018477307657497,67.98529297956172,1.0160892266998798
mu[3],3.677386419945775,0.027345231550373224,0.22956210787917825,3.2743338278252527,3.5245076757237017,3.650910978155136,3.8227086827710064,4.140185296937199,70.4753428549902,1.0157210830634766
mu[4],3.6049796993122505,0.025318578198323914,0.22407788581068414,3.225209225442942,3.4470350878667926,3.5811824092377758,3.7443290055041603,4.1060142041539205,78.32842054593986,0.9982144117236709
mu[5],3.1013670391656905,0.0286737330398174,0.21694481397275048,2.663457604987629,2.990777735801073,3.073094612509986,3.248765030708734,3.5551539926181226,57.24401286678743,1.01912162915208
mu[6],3.609582290397759,0.025119645825897992,0.2737411917020048,3.1205238551432464,3.4027323614356515,3.5915417974002555,3.8036053920229866,4.137682995237256,118.75537724323057,0.9919077140623267
mu[7],2.0829792196244568,0.011826540753101465,0.13027647993809882,1.8623467205220212,1.9883684416844236,2.0779726392980047,2.1639751426746154,2.4037451216466885,121.34351343754686,0.9977391277152748
mu[8],2.9598245840129542,0.022480822203923265,0.2450295427235585,2.5333584827156908,2.810203293790928,2.931325689895594,3.0720974578095253,3.5377544822508176,118.7989267874682,1.0016878863467233
mu[9],3.3761632746048096,0.036502385929786475,0.3472550902678989,2.75490526362462,3.142752668807332,3.3587201041824617,3.554816369360578,4.1527300622103915,90.5012830423479,1.0037145056757801
mu[10],3.2789013298510237,0.056660443403762244,0.7399390183051635,1.883748058560609,2.816235888326238,3.2907923559366594,3.7404660572008055,4.925169910717958,170.54222330529706,0.9806512508041785
mu[11],3.1964075293413003,0.09326985847182749,0.8653540170185582,0.5705612640692206,2.7720267673231502,3.225314162631258,3.6649335590213816,4.901203218339027,86.08054194289832,1.0171267531940809
mu[12],3.2538064809457445,0.057129697041213595,0.7626599403987748,1.6801129049907875,2.717778949436792,3.2408629195307803,3.8023663751920473,4.68706301459535,178.21244489494543,1.0021035061203654
mu[13],3.272688126145301,0.05467347114782206,0.7146350355292936,1.9769184170199021,2.742488769381405,3.242240614361962,3.7180601063132515,4.793500593182514,170.85012972615084,0.9773385527040513
mu[14],3.3079214795812883,0.054650093474817606,0.6752909877961449,1.9607173439881218,2.7688229502427237,3.3396927821422087,3.7531760870934194,4.672040133330894,152.68630643219066,0.9962165269876225
mu[15],3.2635367493752145,0.05580893213428464,0.656864537267625,2.1166625517183233,2.8431230364431537,3.2178243890415654,3.7013278294946605,4.574152128636642,138.53011870914992,1.013112735429694
mu[16],3.2570430033045064,0.0557599764576669,0.671360585187961,1.9581313336181483,2.8693633279624153,3.223530368232856,3.715655383258477,4.459706329536171,144.9661209265874,1.0043198749990037
mu[17],3.2827839283498825,0.05643616332566123,0.6527084977890323,2.123398349972474,2.8571147751936925,3.2868964219600407,3.644781969684145,4.55764582618282,133.75917164949286,0.9899517202393273
mu[18],3.2164864315732378,0.05244871189044391,0.6890818897658236,1.9553758404212398,2.739209482282355,3.1605882667854006,3.7360818936350944,4.4391578903646804,172.61241106489953,0.9828087560345554
