,mean,se_mean,sd,n_eff,Rhat
mu[1],3.6439043508506814,0.12961248516005772,0.23450953089286652,3.2736128767276633,1.7264996601933222
mu[2],5.642197906318326,2.7078136202772183,3.8773743333251995,2.0503968474175194,6.803856497751939
mu[3],3.6392243841915275,0.5679799300305838,0.8162786770532734,2.065432108487853,5.947120290474829
mu[4],3.1693821614373805,0.2986300880305492,0.4422439132081154,2.1930907538985585,3.547802240746582
mu[5],3.8727622092460647,1.2013058631764968,1.7518373143807733,2.126573275485193,4.723053980307274
mu[6],4.90736577950726,1.7119138588438083,2.4292399362908905,2.013617648189576,16.053276997335846
mu[7],5.136455410363585,1.6549029801401232,2.3698275774427664,2.0506352661154126,6.828233041834248
mu[8],6.353468370887341,3.17200913931767,4.503097783984036,2.0153658510808588,14.366813558851796
mu[9],4.082102165178302,1.0963864427360752,1.568920009629682,2.0477375328241303,7.103776411470767
mu[10],5.23226394941333,2.2559670579505626,3.2258908231449244,2.044719895213699,7.281817342703962
mu[11],5.698601716902144,3.1353150692766274,4.747239851954979,2.29255608980264,2.9274052051822643
mu[12],5.55950487323453,2.912090762781827,4.126180733678363,2.007643884648048,29.901844743652088
mu[13],4.546981715703529,0.8018511685488092,1.1592790056750235,2.0902027221502006,5.117507223879385
mu[14],4.158550670533087,0.7723094355296557,1.1259026911870536,2.125294081802186,4.302576487510068
mu[15],3.875715751716446,1.3856834962809907,1.965019949357957,2.010971143125007,18.843249622983084
mu[16],2.766797921289863,0.2723042063882434,0.3945712150245532,2.099626754610368,4.846364821825248
mu[17],2.9273679501288665,0.2876323679388431,0.41683217681150536,2.1001337752487923,4.945480404301465
mu[18],2.9134840228775682,1.1103594758992605,1.7036023443615684,2.354015139621069,2.717112782968167
mu[19],6.241506556138779,2.7502244302057877,3.919683031667211,2.0312605153378382,8.882554949089897
mu[20],3.9594062053276002,1.2762600750607822,2.004974164939269,2.467966127437483,2.4055567003311684
mu[21],2.5425280916622213,0.7185693821763482,1.394837954403598,3.7679930764176115,1.5060233578395312
mu[22],3.1700260599778813,0.3608663454927524,0.5949214358872026,2.717856182194635,2.043360452107631
mu[23],2.8768367933531356,0.7699220764551246,1.1538999917856354,2.246170893886949,3.1267544551770494
mu[24],5.4492689054979095,2.920896423846035,5.13912710860147,3.0956111687855605,1.7514032574527794
mu[25],10.869290549854146,10.46254617705256,14.81870744311656,2.006069027036245,46.12197423722781
mu[26],2.405242692904035,0.924861898880803,1.6364037250008658,3.1305968368210615,1.7701128420952976
mu[27],2.1354304532178965,0.7883302675719884,1.1885045293568277,2.2729259105377895,3.0824764860969367
mu[28],5.005413619400829,1.2937883113772928,1.8671556219356573,2.082737740582093,5.4476557306678215
mu[29],9.48786861702055,7.932760744194192,11.240499572966494,2.0078095472348494,26.945865514895363
mu[30],1.8928173839751303,0.4635503794976768,0.6701602045507516,2.090082303121589,4.9988755128843
mu[31],2.7379920337012145,0.14623265203080402,0.8426653282049718,33.20638031094713,1.0641621490321853
mu[32],3.1923992874855043,1.0354035247186695,1.476734036708721,2.034160850600265,8.519555193620723
mu[33],2.388834501902535,0.502063084824299,0.7510621682069396,2.2378717447217484,3.154048561509724
mu[34],3.2990158294507284,0.49188876596638115,0.7670107237812649,2.4314708309458184,2.4374018229062524
mu[35],4.574591371504015,1.518897327729791,2.1703911486584486,2.0418281319337503,7.603567406855554
mu[36],2.7715226279281215,0.5073020317969232,1.1604945138904843,5.2330270542346495,1.313348834734558
mu[37],6.016250031534278,2.825180389319586,4.013319409422075,2.0179717628948435,12.758439514012135
mu[38],9.917023088299038,7.523531932469205,10.749181427739712,2.0413019431045294,7.465335970103201
mu[39],2.9041019410894067,0.2853731474278958,1.1686452124997926,16.770235378463816,1.2641091106274
mu[40],6.69123800734563,4.068813671972036,5.7723647055849145,2.012666976759602,16.651355899849356
mu[41],4.6622505559238325,3.1373237664297484,4.472805747264494,2.0325507384515245,8.893144082875956
mu[42],5.159312517955864,4.132904302166458,5.876341560295774,2.021637866589786,11.1703047786983
mu[43],5.4892872970110815,1.93761777389169,2.8292382071061772,2.1320766279122796,4.304829960586695
mu[44],6.424033973173756,3.0681795247938672,4.370296566636317,2.028898323500061,9.393993927768383
mu[45],2.7471182233951925,0.4157726317559733,1.5818518944000957,14.475042279639508,1.1484733403054737
mu[46],6.9196989505609965,4.027814539021569,5.798357286903233,2.072387740582688,5.587753589557222
mu[47],5.319365804409772,1.8598984702292172,2.657991316215912,2.042342811310209,7.912893635524912
mu[48],3.891695548876712,1.306638968635915,2.5579405533342494,3.832389855976878,1.4836080983695596
mu[49],4.435794921560845,1.5830372832914392,2.247815545369223,2.016225271824192,13.916915217770326
mu[50],2.2167884289974595,0.8768067085348457,1.533177093389177,3.0575735728355973,1.7605984636069603
mu[51],4.174135103077215,0.7291580878538466,1.0616304639688803,2.1198413039145674,4.548888556852225
mu[52],2.7486010500103193,1.1118251132703516,1.6018407576741422,2.075705426668351,5.517220680486116
mu[53],2.962098848840287,0.5424223531077802,1.169224252881313,4.646441499977447,1.4218729480097703
mu[54],5.363434081804566,1.6625538358474932,2.383149603134086,2.054713043437334,6.591646488300112
mu[55],6.006997338392336,2.1422639523895284,3.058571913106741,2.0384094877993575,7.984397652938562
mu[56],5.368914650498018,1.79354077969115,2.5547968865708843,2.0290383013918634,9.70784051210038
mu[57],5.9609550866881795,2.3336920683281313,3.323601571359171,2.0282935563708864,9.843826534769939
mu[58],4.967242474267009,1.481480612574039,2.1233104621011263,2.0541637190618145,6.709813268230909
mu[59],5.935594734965845,3.3771569294036357,4.78404084638922,2.0067222883181652,35.75485573886105
mu[60],3.899665207678374,0.09410916768981963,1.0703392447492874,129.35375307744627,1.0474422121007634
mu[61],6.074605647245464,1.2787690486793786,1.9316334865850262,2.2817350789967388,2.9501724313664655
mu[62],2.874340459189412,0.8721369009774371,1.6288073304766293,3.4879488365833704,1.6762218684304475
mu[63],2.9375237589298804,0.48741389775735033,0.7093019348987089,2.117709928672158,4.516561981824057
