,mean,se_mean,sd,n_eff,Rhat
"prediction[1,1]",102.26941560698822,3.2876516213660256,23.857123503219302,52.658026137637705,1.068948360319597
"prediction[2,1]",102.26941560698822,3.2876516213660256,23.857123503219302,52.658026137637705,1.068948360319597
"prediction[3,1]",102.26941560698822,3.2876516213660256,23.857123503219302,52.658026137637705,1.068948360319597
"prediction[4,1]",102.26941560698822,3.2876516213660256,23.857123503219302,52.658026137637705,1.068948360319597
"prediction[5,1]",102.26941560698822,3.2876516213660256,23.857123503219302,52.658026137637705,1.068948360319597
"prediction[6,1]",102.26941560698822,3.2876516213660256,23.857123503219302,52.658026137637705,1.068948360319597
"prediction[7,1]",187.7222875220985,5.974955576088332,39.62071535689461,43.971903250501626,1.0805465410021275
"prediction[8,1]",222.11237726054875,4.847131745122634,41.556671031293085,73.50414880374085,1.066218756200705
"prediction[9,1]",271.59163838779807,5.788409950120854,49.983691150995135,74.56552602469546,1.0664461652390713
"prediction[10,1]",335.0917913744268,6.761550286174897,60.36187821606904,79.69533950032843,1.0647777736021913
"prediction[11,1]",414.92406802432276,7.935480156635847,73.49363218214826,85.77347454548128,1.061570871764692
"prediction[12,1]",514.3429383608019,9.377760047517445,90.38479183886228,92.89503274533891,1.057468306154316
"prediction[13,1]",341.7589418700274,11.666058586592937,73.36527878609229,39.54875698037525,1.0922859930880844
"prediction[14,1]",310.75144236749975,4.490828952330931,50.472427671371946,126.31512638633947,1.0451714012506204
"prediction[15,1]",355.2768789161343,5.0704566606467,57.42886739069392,128.282186173276,1.0446227224361058
"prediction[16,1]",383.81384101952966,4.936191969901531,59.74710043377338,146.50403450685468,1.0422628267008092
"prediction[17,1]",408.9734607112463,4.915588755719955,62.939228189815886,163.94257104443045,1.0395180056358804
"prediction[18,1]",430.765752722514,4.941862730704106,65.5325567379547,175.8461517436329,1.0359008028394663
"prediction[19,1]",451.6205137785444,4.993712337901254,68.02571562858722,185.56633738947986,1.0319228054857654
"prediction[20,1]",472.78090339783637,5.059764817287862,70.71265356404291,195.314105063934,1.0279600332474064
"prediction[21,1]",494.7977294050392,5.164355877503611,73.7491185057715,203.93010528357595,1.0242564144997113
"prediction[22,1]",517.891223478772,5.32329678617437,77.21884194612176,210.4191242971837,1.0209592613087028
"prediction[23,1]",542.1498957735389,5.562463853784357,81.17574970950874,212.9698931021278,1.0181520798604828
"prediction[24,1]",567.6221791107527,5.875494842242003,85.66456764962922,212.5756696959171,1.0158765030669115
"prediction[25,1]",594.3518993750791,6.267593397467746,90.72870960681753,209.55008413138802,1.0141444067346792
"prediction[26,1]",622.3888326223906,6.74440432353425,96.41241408253343,204.35191809253632,1.0129445394833667
"prediction[27,1]",651.7900699326027,7.310516216620764,102.76092391042798,197.5877022966345,1.0122472539057992
"prediction[28,1]",172.46769843024958,1.7796747890129363,25.869087827297857,211.2909686353238,1.0074617577800111
"prediction[29,1]",177.37618679386196,1.8561537944375328,26.776360573544963,208.10148546528933,1.0064850419929965
"prediction[30,1]",174.06070094710267,1.8518779362664013,26.471920327913598,204.336607759715,1.0060418524723636
"prediction[31,1]",164.28968962031374,1.777407546755955,25.17893491313553,200.6784189390146,1.0058492551641751
"prediction[32,1]",150.95221886266023,1.6614390532992827,23.325258400260022,197.09885344904927,1.0057934924066747
"prediction[33,1]",136.28137638818657,1.5278358764846711,21.250811273470855,193.46286769499247,1.0058461237076737
"prediction[34,1]",121.6813203490093,1.391944825021372,19.17081955886162,189.68689062800948,1.00600889974553
"prediction[35,1]",107.91586359063389,1.2621261281935612,17.201859237666092,185.75703231814674,1.0062899178087616
"prediction[36,1]",95.33164734246893,1.1424004273516695,15.39599569298258,181.62634695112843,1.0066938267030183
"prediction[37,1]",84.03092071348911,1.0345046050190243,13.767861832170988,177.12021938411266,1.007218825786405
"prediction[38,1]",73.98580587542754,0.9370763930932461,12.312658746482537,172.64487521321936,1.007857102309548
"prediction[39,1]",65.10704645651693,0.8492884689910929,11.016896588489166,168.2705408347913,1.008596703109007
"prediction[40,1]",57.28241228702476,0.7701496064443812,9.864251725120404,164.05070355769774,1.0094235991730423
"prediction[41,1]",50.39657884120395,0.698694884560369,8.838458687425215,160.0213556724063,1.0103233278842354
"prediction[42,1]",44.340467530825244,0.6340586248794574,7.924549674415154,156.20335414488565,1.0112820488894625
"prediction[43,1]",39.014944631174565,0.5754901527067401,7.109245626146559,152.60587221426948,1.0122870898840692
"prediction[44,1]",34.33169003889006,0.5223454001531357,6.380952327603228,149.22976352890583,1.0133271436723892
"prediction[45,1]",30.212773382899453,0.4740710189508893,5.729601089134894,146.07031271277853,1.0143922712647024
"prediction[46,1]",26.58971820549188,0.4301879847324131,5.146445731373288,143.11931290993,1.015473809240756
"prediction[47,1]",23.40244522561802,0.3902778278683224,4.623869790030617,140.36648768769504,1.016564257460746
"prediction[48,1]",20.598257382707388,0.35397152403116666,4.155217333219022,137.80051365158025,1.0176571496848228
"prediction[49,1]",18.130907746135854,0.3209407521246265,3.7346484350477622,135.4096821126298,1.018746940784679
"prediction[50,1]",15.959781001028968,0.29089137971146944,3.357020913063073,133.18226312387597,1.0198289303716164
"prediction[51,1]",14.049204894346412,0.2635586308784534,3.0177956993764115,131.10679018576013,1.0208991708307416
"prediction[52,1]",12.367829166401814,0.23870278074615886,2.712952455082449,129.17230485580592,1.0219543620406557
"prediction[53,1]",10.888091589695557,0.21610616807877692,2.4389224122870057,127.36838554889084,1.0229918029692224
