FIPS,County,State,Not_enough_data,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
01001,Autauga County,Alabama,False,4.73,1.663,3.024,3.585,1.796,2.301,5.202000000000001,2.702,4.574,3.628,2.789,2.794,3.974,10.404000000000002,8.783,3.534,-1.6130000000000002,3.585,2.195,2.51,2.889,-6.081,-12.89,-18.347,-22.709,-25.749,-29.498,-17.919,-31.757,-33.68,-34.476,-36.654,-36.128,-35.984,-19.076,-35.135,-35.759,-38.912,-38.646,-37.925,-38.703,-24.856,-37.838
01003,Baldwin County,Alabama,False,4.32,-14.893,-22.939,1.948,0.92,1.526,9.072,8.189,3.7,4.292,3.033,3.378,4.393,12.009,7.7429999999999986,4.99,3.886,6.404,3.435,-3.448,10.222,6.403,-1.814,-7.237,-14.624,-18.063,-23.694000000000006,-15.449000000000002,-24.996,-27.444000000000006,-29.485,-30.396,-31.499,-32.646,-23.112,-32.436,-33.133,-35.221,-34.224000000000004,-34.758,-36.216,-27.199,-34.965
01005,Barbour County,Alabama,False,4.548,6.455,1.821,3.684,6.792999999999998,-1.945,0.003,-1.5119999999999998,9.68,1.215,-9.2,1.237,5.198,3.849,4.548,7.745,3.639,3.07,4.324,3.899,-7.69,-1.5119999999999998,3.229,-7.876,-5.518,-12.343,-14.932,-8.971,-21.209,-16.771,-20.603,-20.856,-22.836,-24.672,-24.356,-22.724,-18.707,-23.633000000000006,-25.15,-22.836,-28.568,-29.484,-30.3
01007,Bibb County,Alabama,False,-1.666,1.9,4.376,5.522,6.2120000000000015,5.37,6.4529999999999985,3.334,1.9,3.1260000000000003,-1.226,1.864,2.685,11.291,1.6669999999999998,5.697,4.376,1.841,8.697000000000001,10.739,16.13,-3.332,-7.5939999999999985,-8.749,-11.655,-17.391,-18.12,-9.677,-31.666,-31.012,-29.999,-30.674,-29.813,-33.556,-16.128,-31.666,-29.746,-33.124,-30.674,-33.54,-30.871,-20.967,-34.999
01009,Blount County,Alabama,False,1.31,1.109,1.499,0.419,1.6909999999999998,2.898,7.65,0.6559999999999999,3.321,1.285,1.459,1.269,0.6709999999999999,7.061,-1.958,3.542,0.003,1.666,2.324,1.117,10.003,-11.108,-6.4129999999999985,-16.877,-21.411,-25.735,-28.505,-17.644000000000005,-28.755,-31.192,-32.048,-33.885,-34.174,-33.85,-18.232,-28.755,-31.192,-36.963,-37.003,-35.86199999999999,-36.3,-21.762,-32.677
01011,Bullock County,Alabama,True,,-2.983,1.518,-1.469,0.002,-4.76,,,-1.49,-1.513,-11.763,-1.49,1.59,,,-4.476,1.518,-2.939,-4.476,-3.172,,,-13.431,-10.604,-20.586,-20.894,-25.395,,,-22.386,-19.695,-24.998,-22.386,-23.807,,,-28.356,-24.241,-23.527,-26.863000000000003,-28.569000000000006,,
01013,Butler County,Alabama,False,-2.002,-3.706,-2.16,-0.002,-0.002,-1.462,-0.002,-4.002,-0.742,-1.44,-2.838,-0.002,-2.191,19.67,13.998,-1.483,0.718,-0.711,1.4269999999999998,-0.002,3.277,-0.002,-6.667999999999998,-7.1960000000000015,-6.385,-18.573,-27.739,-19.674,-26.002,-23.706,-28.059,-26.952,-30.002,-31.389,-18.034,-30.002,-36.298,-36.69300000000001,-34.754,-35.716,-35.038000000000004,-27.87,-30.002
01015,Calhoun County,Alabama,False,3.2310000000000003,0.315,2.758,0.898,1.413,-0.423,4.744,2.938,-0.304,1.331,-0.986,0.408,1.612,4.494,3.2310000000000003,-0.922,0.515,0.501,1.01,-2.6710000000000003,1.5019999999999998,-2.927,-4.118,-10.494000000000002,-16.149,-20.095,-24.406,-15.705,-28.147,-31.85,-31.085,-32.501999999999995,-32.758,-35.969,-21.69,-32.546,-33.706,-36.488,-37.061,-36.678,-37.36,-26.429,-35.772
01017,Chambers County,Alabama,False,-1.908,2.131,4.556,2.668,2.732,3.192,5.381,2.854,2.741,2.732,1.481,1.821,2.872,12.304,5.711,-0.003,1.517,-1.784,1.821,1.275,6.15,2.854,-5.186,-8.818,-16.62,-27.663,-33.869,-16.926,-25.717,-25.918000000000006,-24.015,-25.819000000000006,-24.319000000000006,-26.202,-17.695999999999994,-27.622,-44.515,-47.42,-46.591,-46.508,-47.607,-31.542,-36.19300000000001
01019,Cherokee County,Alabama,False,1.431,0.002,-1.051,-2.028,0.529,-0.556,1.252,5.716,1.615,0.002,-1.52,-1.577,1.119,7.502000000000002,4.288,3.228,-0.524,-1.52,0.529,-0.556,6.252000000000002,0.002,-6.449,-13.682,-18.272,-19.471,-20.668000000000006,-16.248,-25.712,-29.03,-31.051,-32.993,-29.471,-30.165,-16.248,-28.569000000000006,-31.18,-36.314,-34.008,-33.156,-32.4,-22.498,-31.426
