FIPS,State,County,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07
01001,Alabama,Autauga County,-4,-4,-27,2,2,1,3,8,5,2,3,4,2,2,5,3,5,4,3,3,4,10,9,4,-2,4,2,3,3,-6,-13,-18,-23,-26,-29,-18,-32,-34,-34,-37,-36,-36,-19,-35,-36,-39,-39,-38,-39,-25,-38,-40,-42,-43,-43,-49,-30,-46,-40,-40,-41,-40,-40,-25,-43,-38,-38,-40,-41,-38,-19,-31,-38,-36,-38,-37,-34,-20,-29,-31,-33,-33,-34,-34,-18,-24,-27,-29,-29,-30,-30,-13,-24,-27,-27,-30,-29,-30,-15,-23,-70,-30,-27,-26,-27,-6,-12,-30,-27,-27,-26,-26,-4,-8,-25,-26,-27,-25,-25,-3,-12,-24,-26,-27,-26,-26,-4,-13,-28,-29,-28,-29,-28,-9,-11,-27,-30,-32,-33,-56,-28,-21,-32,-30
01003,Alabama,Baldwin County,6,-3,-3,2,3,0,1,4,4,-15,-23,2,1,2,9,8,4,4,3,3,4,12,8,5,4,6,3,-3,10,6,-2,-7,-15,-18,-24,-15,-25,-27,-29,-30,-32,-33,-23,-32,-33,-35,-34,-35,-36,-27,-35,-37,-37,-38,-40,-45,-28,-47,-37,-36,-37,-36,-37,-27,-33,-35,-35,-35,-39,-36,-23,-31,-35,-35,-38,-34,-35,-20,-26,-31,-30,-31,-31,-32,-16,-22,-27,-26,-26,-27,-28,-11,-13,-27,-24,-25,-25,-28,-7,-13,-60,-25,-23,-22,-24,-1,-6,-23,-22,-23,-22,-22,-6,-19,-26,-22,-22,-22,-23,-3,-8,-22,-21,-21,-22,-23,-4,-8,-26,-24,-23,-24,-25,-5,-7,-24,-24,-26,-27,-45,-19,-14,-30,-27
01005,Alabama,Barbour County,-5,-8,-14,1,0,2,1,-4,5,6,2,4,7,-2,0,-2,10,1,-9,1,5,4,5,8,4,3,4,4,-8,-2,3,-8,-6,-12,-15,-9,-21,-17,-21,-21,-23,-25,-24,-23,-19,-24,-25,-23,-29,-29,-30,-26,-26,-30,-29,-37,-31,-31,-26,-26,-24,-23,-25,-27,-27,-28,-25,-21,-29,-25,-23,-24,-21,-25,-25,-21,-25,-24,-16,-20,-21,-21,-23,-23,-15,-14,-16,-18,-18,-18,-18,-18,-18,-17,-20,-19,-20,-21,-11,-15,-60,-21,-19,-17,-17,-10,-13,-17,-17,-16,-20,-22,-10,-12,-11,-19,-17,-18,-19,-7,-11,-19,-19,-18,-20,-21,-5,-9,-16,-25,-21,-17,-20,-11,-11,-18,-20,-23,-23,-44,-30,-16,-23,-25
01007,Alabama,Bibb County,3,-3,-13,1,0,1,4,19,-2,2,4,6,6,5,6,3,2,3,-1,2,3,11,2,6,4,2,9,11,16,-3,-8,-9,-12,-17,-18,-10,-32,-31,-30,-31,-30,-34,-16,-32,-30,-33,-31,-34,-31,-21,-35,-32,-33,-36,-36,-42,-19,-42,-29,-29,-33,-31,-30,-15,-41,-29,-32,-31,-33,-30,-18,-34,-30,-31,-32,-29,-31,-21,-29,-29,-27,-28,-25,-26,-14,-24,-25,-22,-24,-23,-25,-8,-23,-24,-24,-21,-25,-27,-18,-21,-68,-25,-24,-19,-21,-7,-22,-20,-18,-21,-21,-22,-9,-15,-25,-24,-22,-24,-24,-8,-22,-25,-24,-21,-23,-22,6,-15,-27,-26,-24,-25,-25,-4,-9,-26,-25,-24,-27,-53,-35,-33,-30,-28
01009,Alabama,Blount County,8,0,-13,1,1,-1,0,6,1,1,1,0,2,3,8,1,3,1,1,1,1,7,-2,4,0,2,2,1,10,-11,-6,-17,-21,-26,-29,-18,-29,-31,-32,-34,-34,-34,-18,-29,-31,-37,-37,-36,-36,-22,-33,-37,-39,-40,-38,-45,-24,-44,-40,-37,-36,-35,-35,-22,-40,-33,-35,-35,-37,-35,-20,-28,-31,-33,-34,-33,-33,-19,-26,-28,-29,-32,-31,-33,-18,-24,-26,-28,-29,-29,-30,-11,-26,-26,-25,-28,-27,-30,-12,-24,-71,-28,-29,-27,-28,-9,-21,-26,-27,-27,-25,-29,-8,-22,-26,-26,-28,-27,-27,-2,-17,-22,-24,-26,-25,-25,-6,-20,-27,-27,-28,-29,-28,-6,-13,-27,-30,-33,-33,-58,-30,-21,-31,-30
01011,Alabama,Bullock County,,,-24,2,-1,-4,0,,,-3,2,-1,0,-5,,,-1,-2,-12,-1,2,,,-4,2,-3,-4,-3,,,-13,-11,-21,-21,-25,,,-22,-20,-25,-22,-24,,,-28,-24,-24,-27,-29,,,-31,-30,-34,-31,-33,-45,-31,-28,-28,-29,-32,-31,-33,-38,-30,-31,-27,-33,-29,-28,-23,-21,-25,-20,-25,-27,-21,-25,-23,-29,-28,-24,-21,-24,-30,-71,-27,-30,-26,-29,-29,-23,-27,-26,-31,-32,-22,-31,-24,-23,-19,-19,-28,-27,-31,-31,-24,-27,-24,-29,-26,-29,-29,-33,-56,-29,-20
01013,Alabama,Butler County,0,-8,-16,-2,-1,-1,-2,15,-2,-4,-2,0,0,-1,0,-4,-1,-1,-3,0,-2,20,14,-1,1,-1,1,0,3,0,-7,-7,-6,-19,-28,-20,-26,-24,-28,-27,-30,-31,-18,-30,-36,-37,-35,-36,-35,-28,-30,-41,-42,-40,-40,-50,-33,-36,-41,-38,-40,-39,-38,-24,-35,-37,-38,-37,-42,-39,-20,-23,-31,-33,-36,-31,-37,-29,-25,-27,-28,-26,-29,-37,-24,-22,-31,-30,-28,-30,-34,-18,-22,-23,-29,-25,-26,-35,-22,-25,-63,-31,-28,-27,-33,-14,-18,-24,-23,-25,-23,-28,-15,-27,-22,-23,-23,-21,-26,-11,-16,-24,-26,-29,-26,-30,-19,-25,-29,-26,-27,-27,-30,-18,-19,-31,-31,-30,-33,-51,-27,-22,-30,-28
01015,Alabama,Calhoun County,2,2,-21,0,2,0,3,6,3,0,3,1,1,0,5,3,0,1,-1,0,2,4,3,-1,1,0,1,-3,1,-3,-4,-10,-16,-20,-24,-16,-28,-32,-31,-33,-33,-36,-22,-33,-34,-36,-37,-37,-37,-26,-36,-41,-42,-44,-43,-52,-29,-44,-40,-39,-40,-38,-39,-25,-37,-39,-38,-41,-43,-41,-24,-29,-38,-37,-40,-37,-37,-22,-27,-33,-32,-35,-34,-39,-22,-22,-27,-27,-28,-27,-27,-18,-22,-25,-24,-25,-26,-31,-17,-22,-67,-23,-25,-22,-22,-7,-10,-20,-20,-23,-22,-26,-9,-13,-22,-22,-24,-21,-22,-8,-13,-21,-21,-23,-23,-26,-11,-14,-25,-24,-24,-23,-24,-1,-10,-27,-26,-33,-39,-57,-31,-21,-29,-26
01017,Alabama,Chambers County,2,-3,-12,1,3,4,5,7,-2,2,5,3,3,3,5,3,3,3,1,2,3,12,6,0,2,-2,2,1,6,3,-5,-9,-17,-28,-34,-17,-26,-26,-24,-26,-24,-26,-18,-28,-45,-47,-47,-47,-48,-32,-36,-49,-50,-53,-51,-56,-32,-46,-49,-48,-50,-46,-47,-28,-41,-44,-45,-46,-48,-43,-22,-29,-43,-45,-46,-42,-42,-17,-25,-34,-34,-36,-35,-34,-20,-21,-31,-32,-33,-32,-31,-16,-19,-30,-27,-29,-30,-32,-12,-22,-70,-37,-37,-32,-34,-8,-9,-29,-27,-30,-29,-31,-11,-8,-23,-25,-27,-23,-25,-6,-14,-26,-24,-26,-26,-27,-6,-9,-30,-27,-30,-27,-26,-7,-7,-36,-36,-39,-42,-55,-34,-22,-33,-29
01019,Alabama,Cherokee County,0,3,-9,-3,1,-3,-1,2,1,0,-1,-2,1,-1,1,6,2,0,-2,-2,1,7,4,3,-1,-2,1,-1,6,0,-6,-14,-18,-19,-21,-16,-26,-29,-31,-33,-29,-30,-16,-29,-31,-36,-34,-33,-32,-22,-31,-30,-33,-35,-33,-40,-18,-31,-32,-29,-32,-32,-29,-7,-26,-26,-31,-32,-36,-28,-12,-17,-25,-27,-30,-26,-26,-7,-10,-23,-23,-27,-25,-27,-10,-16,-18,-21,-23,-24,-20,-5,-9,-17,-19,-19,-19,-21,-3,-7,-60,-20,-24,-19,-16,5,-1,-16,-16,-17,-21,-21,-5,-8,-19,-17,-19,-20,-17,-3,-9,-17,-20,-18,-17,-19,4,-9,-21,-24,-22,-19,-21,2,-3,-24,-23,-28,-29,-46,-24,-13,-27,-26
01021,Alabama,Chilton County,3,-1,-14,3,4,2,5,9,5,3,6,5,5,2,10,3,4,4,2,3,6,14,9,4,7,4,5,4,9,2,-8,-13,-20,-18,-23,1,-23,-30,-30,-33,-31,-35,-12,-26,-32,-36,-34,-34,-35,-14,-32,-37,-38,-40,-36,-44,-25,-38,-34,-35,-36,-32,-33,-11,-38,-34,-34,-35,-38,-33,-13,-29,-33,-33,-36,-32,-32,-13,-27,-30,-32,-33,-32,-33,-12,-17,-28,-28,-29,-28,-29,-7,-20,-23,-24,-28,-25,-28,-7,-20,-65,-27,-27,-23,-22,3,-12,-21,-23,-25,-22,-25,-3,-15,-25,-23,-25,-22,-23,-4,-13,-22,-22,-24,-23,-23,-5,-11,-25,-24,-26,-24,-25,0,-13,-26,-25,-30,-32,-53,-29,-20,-31,-29
