,fit
1,0.018326182452383
2,0.06659230695498
3,0.10191389126982
4,0.11771677925845
5,0.118385594423979
6,0.1096347062151
7,0.096123216708667
8,0.08105485073177
9,0.066383128712314
10,0.053148956497981
11,0.041789499049187
12,0.032375057352243
13,0.024774230989459
14,0.018761275804708
15,0.014081398146147
16,0.010487427707594
17,0.007758058519291
18,0.005704854567349
19,0.004172844951851
20,0.003037799255704
21,0.002202072078279
22,0.00159010774804
23,0.001144186714269
24,0.00082068287317
25,0.000586918953808
26,0.000418607884427
27,0.000297819806188
28,0.000211396110753
29,0.000149730189134
30,0.000105841261787
31,7.46778409554949E-05
32,5.25983179138212E-05
33,3.69864509106588E-05
34,2.59685201488002E-05
35,1.82064265847881E-05
36,1.27470903972249E-05
37,8.91331245966853E-06
38,6.22499658997633E-06
39,4.34249018810284E-06
40,3.02596564560886E-06
41,2.10638769937432E-06
42,1.46481847063118E-06
43,1.01770269167467E-06
44,7.06429240437956E-07
45,4.89942092563034E-07
46,3.39520272563121E-07
47,2.35096949685598E-07
48,1.62668352343687E-07
49,1.12472796187646E-07
50,7.77128786877412E-08
51,5.36601084677457E-08
52,3.70283537165506E-08
53,2.55359592360449E-08
54,1.76000896079387E-08
55,1.21236100047994E-08
56,8.34665303539595E-09
57,5.7433400257878E-09
58,3.94999455366474E-09
59,2.71528766138118E-09
60,1.86564841353487E-09
61,1.28128341270184E-09
62,8.79566308675805E-10
63,6.0353999575824E-10
64,4.13964973411396E-10
65,2.83822632063391E-10
66,1.94518623430895E-10
67,1.33263733381739E-10
68,9.12647735162864E-11
69,6.24800211568299E-11
70,4.27590185481108E-11
71,2.92530444312433E-11
72,2.00064409483502E-11
73,1.36783917525918E-11
74,9.34896604576352E-12
75,6.38800123908823E-12
76,4.36350955368425E-12
77,2.97972757579146E-12
78,2.03426164802067E-12
79,1.38844491459622E-12
80,9.47464329215109E-13
81,6.46260822634304E-13
82,4.40758540776187E-13
83,3.00426350463567E-13
84,2.04947170345804E-13
85,1.39555034195382E-13
86,9.51461132103759E-14
87,6.47260023356466E-14
88,4.41868763800812E-14
89,3.00870439673417E-14
90,2.04281036531029E-14
91,1.38777878078145E-14
92,9.54791801177635E-15
93,6.43929354282591E-15
94,4.32986979603811E-15
95,2.99760216648792E-15
96,1.99840144432528E-15
97,1.4432899320127E-15
98,8.88178419700125E-16
99,6.66133814775094E-16
100,4.44089209850063E-16
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
