FIPS,County,State,Not_enough_data,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
01001,Autauga County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01003,Baldwin County,Alabama,False,18.656,1.13,1.6669999999999998,7.909,7.104,9.326,15.663,35.821,3.39,5.555,1.695,3.825,9.844,14.458,29.851,7.909,10.0,20.339,16.94,19.171,21.084,35.074,4.52,10.0,10.169,1.639,-6.7360000000000015,-11.446,-2.985,-12.994000000000002,-11.111,-9.04,-16.394000000000002,-20.208,-26.506,-23.881,-24.294,-15.556,-14.689,-25.683000000000003,-27.979,-36.144,-38.806
01005,Barbour County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01007,Bibb County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01009,Blount County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01011,Bullock County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01013,Butler County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.382999999999999,,-36.365,,,-34.209,-44.44300000000001,-46.807,-45.237,-47.726000000000006,,,-34.209,-44.44300000000001,-61.7,-64.28399999999999
01015,Calhoun County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01017,Chambers County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.905,,,,,,,,,,,-22.499,,,-28.572,,
01019,Cherokee County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01021,Chilton County,Alabama,False,9.997,-9.927,8.127,8.868,18.397,11.640999999999998,32.74,44.542,-0.767,1.6230000000000002,4.836,6.397,14.38,25.661,23.633000000000006,3.814,1.6230000000000002,-0.003,15.997,14.38,46.9,24.542,16.791,12.192,15.319,24.797,14.38,23.006,-0.912,-12.98,-8.946,-2.423,-7.2029999999999985,-20.551,-10.623,-27.276,-22.904,-19.516,-8.874,-17.602999999999994,-25.346,-29.207,-44.549
01023,Choctaw County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01025,Clarke County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01027,Clay County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01029,Cleburne County,Alabama,True,-6.812,-2.122,-5.876,,-1.994,0.006,,,-2.122,11.771,,-1.994,16.078,,,10.644,5.888,,12.005999999999998,7.149,,-9.084,10.644,0.006,,-35.994,-10.708,-16.273,-36.357,-19.143,-15.68,-13.327,-33.994,-19.637,-23.25,-36.357,-21.27,-17.641,-13.327,-31.994,-26.779,-37.203,-47.721
01031,Coffee County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01033,Colbert County,Alabama,False,-4.058,-0.004,10.866,5.315,2.967,9.17,38.663,41.88800000000001,14.429,23.909,18.081,2.967,12.84,54.663,32.429,20.615,28.257,15.954,18.808,16.51,19.996,16.212,3.089,10.866,5.315,2.967,-11.013,-0.004,-17.570999999999998,-7.22,-10.873,1.06,0.986,-11.013,-16.004,-20.274,-5.158,-5.438,10.635,-5.944,-14.683,-22.67,-22.977
01035,Conecuh County,Alabama,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01037,Coosa County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01039,Covington County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01041,Crenshaw County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01043,Cullman County,Alabama,False,8.888,2.884,9.434,13.636,14.545,10.568,30.208,34.444,6.73,7.5470000000000015,-3.637,9.09,14.634,31.25,24.444000000000006,15.384,14.15,12.727,15.454,12.195,19.791,11.111,20.192,2.83,0.908,11.818,-7.317,4.166,-12.223,-15.385,-14.151,-15.455,-13.637,-20.326,-29.167,-33.334,-21.154,-17.925,-15.455,-14.546,-28.456,-33.334,-37.778
01045,Dale County,Alabama,True,-10.87,-15.0,1.666,13.559,17.543,1.694,,,1.666,-5.0,-0.001,10.526,3.389,,6.521,3.333,-3.334,8.474,14.035,-3.39,,-0.001,3.333,9.999,13.559,10.526,6.779,,-13.044,-16.667,-5.0,-10.17,-10.527,-10.17,-11.364,-17.392,-16.667,-13.334,-16.95,-22.808000000000003,-23.729,-20.455,-39.131
01047,Dallas County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01049,DeKalb County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.29,,,,,,,-33.336,,,,,,,-28.572,,
01051,Elmore County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
