,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],3.591880959568785,0.06447019198190981,0.6680114355800773,2.6799475611973533,3.0742542552087495,3.432344847325451,4.051565141856182,5.138516984349145,107.36182057122379,0.9892871355664283
mu[2],3.754919502249449,0.057189196373486705,0.7017638552393991,2.6170105950410587,3.260239002839808,3.7151503593802593,4.177650244040221,5.260329225013935,150.57539253882408,0.9898287065196968
mu[3],3.289435273370427,0.06580093519174138,0.7132344362220083,2.26975046475683,2.821418682759206,3.2281168309078536,3.5999884959339568,5.517997405594724,117.48988398233227,0.9752835682860798
mu[4],3.8728479751575713,0.043617498195573014,0.43492960529570357,3.143656797408124,3.5542928452386366,3.8243498170375796,4.227455800701354,4.737184794105089,99.42977071235656,1.0115073862376973
mu[5],3.9981190885288562,0.06585277479581501,0.5946222216454122,2.9141160688479544,3.5787288936688038,4.000234270445853,4.397158973048349,5.29525248509796,81.53312943012098,1.0323247152361772
mu[6],3.338514647907998,0.02766493867933445,0.2853891000905443,2.898760060179986,3.1053246063740785,3.3272043126660953,3.5375339305294182,3.948687695668804,106.41806066872557,0.9839394153269331
mu[7],2.8956919265175056,0.047313082796756896,0.5294596956626487,1.9920659991640566,2.4758188484767647,2.888848577018953,3.1977235642134705,4.215696555973948,125.2285403217842,1.0018005330153017
mu[8],4.31146241321263,0.056686178383475935,0.5069969594364081,3.4586188878443735,3.891246879700425,4.300477067404472,4.691838090323231,5.163369271954677,79.99380432617126,0.9932896789274777
mu[9],3.603745393722666,0.06152056465176487,0.7276375778897725,2.4509469723616597,3.103273267727916,3.5551717638904456,3.9831343544647346,5.6083438772579255,139.890948016422,0.9772615414960454
mu[10],3.5899130363228617,0.04338533087225929,0.532017820302825,2.6773315756454914,3.209187667670213,3.537361862981683,3.9058083033052693,4.966829318638722,150.37184600949033,0.9719828841813044
mu[11],3.6284056039689916,0.04488925422004666,0.45662248484824197,2.751469494350956,3.294243867399147,3.5201996137809903,3.983914476031763,4.599102948062822,103.47365876398686,0.9799882860798457
alpha[1],0.019200581900464784,0.002804268695976756,0.031310818766590275,1.4779969473133501e-05,0.001265935614437058,0.008414463773155315,0.02075207005566755,0.1336294610295906,124.66645234228838,0.9787807232303857
alpha[2],0.0330234220389316,0.0044845795831703235,0.046334984608353405,1.7123730221555293e-05,0.0033076484135175725,0.017877697473053726,0.039762039769208,0.21091535902294498,106.75164483992077,1.0260644857113441
alpha[3],0.03296937935575626,0.004094212962899513,0.041581670336303465,5.274846752778368e-05,0.004611211403935025,0.015648957781396418,0.05186283190618686,0.1524549218010898,103.14852069757177,0.9942086693550007
alpha[4],0.016862165192562673,0.0021121045951251064,0.025680494511151376,0.00011194655812462085,0.001782101182905883,0.006495360428757452,0.023535235182751656,0.07447758728564371,147.83454259592529,0.9802587900749481
alpha[5],0.06578642691318345,0.007122154493204901,0.07809106018889093,6.848031012806542e-05,0.0058905553501551605,0.030085536818576952,0.10516766223623591,0.2646188818836954,120.22086757465942,0.972711452158143
alpha[6],0.0233332452601861,0.0026609947166354227,0.03216287998101842,2.5395157037583065e-05,0.0030314713300334754,0.013337438537561464,0.029228331944536556,0.12742827098731846,146.09045298632157,0.9928164676551764
kappa,1.1670003660919597,0.025635966482779347,0.26072395250803415,0.709779931066637,0.9774042731754349,1.1496237956283037,1.3242793042041954,1.7609891112158036,103.43379811837724,1.0275819074080719
y[1],6.538910762337025,0.572251707223637,5.370154185916296,0.5551496854899021,2.5375829540601065,5.604367009086451,8.776304500403942,19.731120760280106,88.06418421870593,1.0055746546002384
y[2],7.7680109294771125,0.9211445490483091,8.513975369646714,0.6148110641474345,2.2885716985380675,4.593700951757575,10.183840629479977,31.774620324716828,85.42976387229943,1.0273616431147508
y[3],6.901580634703547,0.7524008835289286,7.4481700181117985,0.2573682920835739,2.2593720257691716,4.149466327629412,9.326798080268897,23.110397392282167,97.99424463003247,0.9883002597905337
y[4],1.7292880056795021,0.14129690823306085,1.4702932025692483,0.2820918506049577,0.6497432717856078,1.3949842928699776,2.2000170349610393,5.939974742826803,108.27858727134812,1.0058117427362236
y[5],1.9680825832090423,0.2668379503917141,2.569378700536888,0.19695544999904904,0.6213957476477419,1.071614376041913,2.2830752546757496,8.500716572202993,92.71735781617133,0.9975742365115855
y[6],4.209439717886589,0.25894371189983867,2.5905383571812948,0.8658924683714478,2.197709226327011,3.51823476233099,5.917224936326947,10.908003985050748,100.08507426904609,0.9930255041730138
y[7],5.394299595217143,0.41151132585100386,5.008580807988853,0.6188154596405647,2.0481363237451897,3.770130673814526,7.756908774803119,19.782608290132643,148.1377639113321,0.9849059655671683
y[8],3.7623813298918627,0.27794413029282633,2.7875490266605416,0.6847848129749275,1.5188938711876983,2.8976330566227517,4.920240362246076,11.499041579062853,100.58425763300617,0.98686543754301
y[9],3.366691970004455,0.3976077298646486,4.788115583307034,0.08381818756272487,0.8132341036644677,1.7967351649271366,3.9317592125034073,17.71882617229754,145.0172326729727,0.983280768491536
y[10],2.547968716461784,0.23229571856631562,2.591844184546198,0.2506317689992139,0.897590174655702,1.6405586023608376,3.3465033425186537,10.243381008401558,124.49025819200745,0.987252644136533
y[11],4.400842214190623,0.48880118483923635,4.546434435876737,0.4993360656085569,1.5752642057370805,3.4258186343481123,5.791602422042215,16.912361740823822,86.51220176730297,1.008853583187127
phi,4.485832280319481,0.061321368291827376,0.7286380735414749,3.41161849857296,3.943626660191225,4.389905063174418,4.792571229366645,6.311163177735007,141.18873515218147,0.9729139995228397
tau,5.388365994101397,0.29237872624185146,3.5478383623718397,1.3530119772106841,2.5906860911406766,4.112595761906156,7.923933080821026,15.460463523127029,147.24349292346358,1.000914144628579
convolution,2584455.6141773714,171549.4551402766,1978194.5121878379,372165.06435990747,942836.3617450821,2089030.4491155385,3913201.126396294,7640956.627727309,132.97172397322706,1.0049252164397868
"prediction[1,1]",6.538910762337025,0.572251707223637,5.370154185916296,0.5551496854899021,2.5375829540601065,5.604367009086451,8.776304500403942,19.731120760280106,88.06418421870593,1.0055746546002384
"prediction[2,1]",6.538910762337025,0.572251707223637,5.370154185916296,0.5551496854899021,2.5375829540601065,5.604367009086451,8.776304500403942,19.731120760280106,88.06418421870593,1.0055746546002384
"prediction[3,1]",6.538910762337025,0.572251707223637,5.370154185916296,0.5551496854899021,2.5375829540601065,5.604367009086451,8.776304500403942,19.731120760280106,88.06418421870593,1.0055746546002384
"prediction[4,1]",6.538910762337025,0.572251707223637,5.370154185916296,0.5551496854899021,2.5375829540601065,5.604367009086451,8.776304500403942,19.731120760280106,88.06418421870593,1.0055746546002384
"prediction[5,1]",6.538910762337025,0.572251707223637,5.370154185916296,0.5551496854899021,2.5375829540601065,5.604367009086451,8.776304500403942,19.731120760280106,88.06418421870593,1.0055746546002384
"prediction[6,1]",6.538910762337025,0.572251707223637,5.370154185916296,0.5551496854899021,2.5375829540601065,5.604367009086451,8.776304500403942,19.731120760280106,88.06418421870593,1.0055746546002384
"prediction[7,1]",11.071065281047602,0.8182755225540854,7.786436508446332,1.4649623201801971,5.611719891517295,10.037267103637703,13.693155808054883,28.070845183806497,90.54789802450748,1.004732131877568
"prediction[8,1]",13.346030784757872,0.9776676342921488,9.306594309511004,1.81200443679566,6.853130213029258,12.124153205194457,16.512684218965255,33.57231081399269,90.61479018017155,1.0047611801787353
"prediction[9,1]",16.17267504576118,1.1527440967749545,10.985426759391386,2.366745067570635,8.630996906062228,14.71369898911553,19.93129675902965,39.69979956822384,90.81718833504868,1.0048597334186231
"prediction[10,1]",19.757332905646585,1.357552313945436,12.955299746239968,3.173786499116654,11.074081257403549,17.796519396111506,24.082179380175752,46.92187035806324,91.07135174221399,1.0050238591671252
"prediction[11,1]",24.23813486031101,1.60037436431788,15.292249091198192,4.282429557434953,14.176398579599896,21.6513226279286,29.364876487280362,55.51833010843323,91.30604997814613,1.005263693465462
"prediction[12,1]",29.793236189553344,1.8880742580580177,18.05889461962088,5.780890270026584,18.130281794268285,26.961222579737473,36.16995967811796,66.84656904618905,91.48379777752972,1.0055956930040686
"prediction[13,1]",36.664912575283914,2.2282562498800713,21.324623606402692,7.809398934071827,22.97418252317169,33.930036696317416,44.56076016606459,81.67743071504921,91.58671496508816,1.0060334454324489
"prediction[14,1]",45.16790225474359,2.630191538284524,25.1736667794121,10.55250012702057,28.83966971087682,42.24805075033143,54.89712919301027,100.45220419775245,91.604794737444,1.0065854331306952
