,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],3.7336619376212723,0.06466519289497366,0.8223800014733191,2.154430869717046,3.203096375590881,3.573971115371382,4.283178732842787,5.465108883477986,161.7349678439137,1.0162082739715834
mu[2],4.125608791022534,0.07813849808377622,0.739937323450089,2.9932786048731503,3.5338673280001007,4.133018372370486,4.597745099500052,5.476528648700536,89.67259750560493,1.0492092182424073
mu[3],3.469378875759109,0.08526624062316214,0.878847752075325,2.151091755163443,2.7942270038523183,3.3259526595843805,3.971873453531345,5.54070005791656,106.23633056052174,1.0660269148779555
mu[4],3.870912023484629,0.041930452325799054,0.3631313535130174,3.3102410001127778,3.587231848723653,3.8640015255263584,4.1201063637983255,4.638025708531389,75.00123281285342,1.0336262057993832
mu[5],4.388397854535814,0.09062621834531728,0.853798715497175,3.0980828164472474,3.6351468823160795,4.346717962007734,4.885629114570094,6.7113184343678345,88.75713557314506,0.9769031339627198
mu[6],3.568986589750014,0.029398041376799144,0.31072112714749356,3.0445099979932313,3.349273181979421,3.4967517455439237,3.7400223049186776,4.3805319618637615,111.71327238029637,0.9977551075525427
mu[7],2.9900765167696135,0.08199129076156257,0.9629965143449497,1.3013133294460795,2.3699221917432913,2.8758053088943374,3.606957691963855,5.171127424509982,137.9475474037131,1.0064746869143721
mu[8],4.594125932249004,0.04105352514843417,0.4068605795659856,3.850675198719209,4.312580025236216,4.588377264238121,4.84605615015859,5.38881507111026,98.21782609835628,1.0065558285109626
mu[9],3.8057069964297883,0.07470151562020441,0.8244385280312369,2.3708942645512887,3.146190204125608,3.827968287060324,4.335341736571668,5.451975983179608,121.8029289742083,0.9909924923721776
mu[10],3.828727022537332,0.06442824506287567,0.6108056727486905,2.7233174427576037,3.361063593143892,3.8095559151744744,4.173800675002912,5.114697989305286,89.8780248474064,1.0000384479828808
mu[11],3.653802641978587,0.035457314491340375,0.37916269798386976,2.9727801411208086,3.3919180755468936,3.6318715016999557,3.9167027488999473,4.4223531712742705,114.35088523221799,0.9902016974817847
alpha[1],0.2811745116374733,0.02897066790170587,0.2949597459899141,0.0008337632338261568,0.0579021764322457,0.16858172444310154,0.41741001380524656,1.0518359537388386,103.65935107344872,0.9946522566048988
alpha[2],0.03705320543034423,0.004555199573867764,0.04547100455002712,0.00043774167751946984,0.00710160874616088,0.02230964890539594,0.05017823809165674,0.1615718212065638,99.64471726692737,0.9771078019885276
alpha[3],0.08073471196998115,0.010283627211692509,0.10205764213387102,3.881688610603445e-05,0.007457324341466023,0.04196584402459773,0.10990033995194615,0.3755348886529804,98.49142282360864,0.985009332563706
alpha[4],0.037905055230757274,0.0053152895767446156,0.05958047214126436,3.9514852233787984e-05,0.003521663654806006,0.011276196562250535,0.05145008302041021,0.21077434804872824,125.64754897363265,0.9807054431813432
alpha[5],0.8170398700087739,0.07818919409467263,0.713826643696575,0.007197628854773251,0.15585708029911066,0.6856921722220221,1.342777312409956,2.510095332703504,83.3473957278868,1.0362023999141148
alpha[6],0.09019551162513259,0.00973500213792043,0.12154095017807985,0.0008160576038573276,0.010479553581915619,0.031334125316347425,0.14138179113439425,0.4406130459885028,155.8738103860572,0.9874919755531932
kappa,1.3106849727429872,0.02259778325606049,0.2582864992575953,0.8100259906061467,1.09744639471852,1.3074532196502022,1.4568477879025972,1.8281815709502156,130.63866519775573,0.9970770333361146
y[1],147.86290321443005,8.690150558198399,105.26528729427022,28.219275639050945,75.06302813995796,121.10672663732154,196.43864237871736,356.7244661833143,146.72893277066072,0.9908960830753941
y[2],122.6108144330702,8.170517884115444,83.42947760593603,31.954929136995666,60.313888462322254,95.56930500104957,148.21115466774125,348.97236850108567,104.26531956167634,1.0298601960025084
y[3],103.97416582455611,7.225421857844635,70.77982502905923,15.516423183413142,56.833840552170656,82.48450397293419,137.1998327083719,263.7951346704983,95.96051107784672,1.0618984115051133
